tier,model,n_cplx,blend_1,blend_12,blend_13,gain_12,g12_lo,g12_hi,gain_plm,gplm_lo,gplm_hi
fullSK clustered-SP,esmc6b,95,0.4182,0.4193,0.4348,0.0011,-0.0156,0.0174,0.0154,-0.0007,0.0311
fullSK clustered-SP,ankh,95,0.4182,0.4193,0.4264,0.0011,-0.0156,0.0174,0.0070,-0.0014,0.0157
fullSK clustered-SP,ankh3_xl,95,0.4182,0.4193,0.4257,0.0011,-0.0156,0.0174,0.0064,-0.0087,0.0215
fullSK clustered-SP,ankh3_large,95,0.4182,0.4193,0.4195,0.0011,-0.0156,0.0174,0.0002,-0.0045,0.0048
fullSK clustered-SP,saprot,95,0.4182,0.4193,0.4225,0.0011,-0.0156,0.0174,0.0031,-0.0005,0.0072
fullSK clustered-SP,prostt5,95,0.4182,0.4193,0.4215,0.0011,-0.0156,0.0174,0.0022,-0.0038,0.0084
fullSK clustered-SP,esmc600m,95,0.4182,0.4193,0.4197,0.0011,-0.0156,0.0174,0.0003,-0.0152,0.0158
fullSK clustered-SP,esm2,95,0.4182,0.4193,0.4235,0.0011,-0.0156,0.0174,0.0042,-0.0069,0.0156
fullSK clustered-SP,aido,95,0.4182,0.4193,0.4205,0.0011,-0.0156,0.0174,0.0011,-0.0085,0.0107
fullSK bycomplex-SP,esmc6b,95,0.4182,0.4193,0.4595,0.0011,-0.0156,0.0174,0.0401,0.0150,0.0648
fullSK bycomplex-SP,ankh,95,0.4182,0.4193,0.4483,0.0011,-0.0156,0.0174,0.0289,0.0038,0.0533
fullSK bycomplex-SP,ankh3_xl,95,0.4182,0.4193,0.4466,0.0011,-0.0156,0.0174,0.0272,0.0015,0.0518
fullSK bycomplex-SP,ankh3_large,95,0.4182,0.4193,0.4241,0.0011,-0.0156,0.0174,0.0048,-0.0189,0.0277
fullSK bycomplex-SP,saprot,95,0.4182,0.4193,0.4235,0.0011,-0.0156,0.0174,0.0041,-0.0044,0.0127
fullSK bycomplex-SP,prostt5,95,0.4182,0.4193,0.4226,0.0011,-0.0156,0.0174,0.0032,-0.0160,0.0217
fullSK bycomplex-SP,esmc600m,95,0.4182,0.4193,0.4280,0.0011,-0.0156,0.0174,0.0087,-0.0150,0.0328
fullSK bycomplex-SP,esm2,95,0.4182,0.4193,0.4429,0.0011,-0.0156,0.0174,0.0235,-0.0008,0.0477
fullSK bycomplex-SP,aido,95,0.4182,0.4193,0.4398,0.0011,-0.0156,0.0174,0.0204,-0.0004,0.0404
fullSK MP-clustered,esmc6b,42,0.3933,0.3859,0.3916,-0.0074,-0.0354,0.0185,0.0057,-0.0218,0.0338
fullSK MP-clustered,ankh,42,0.3933,0.3859,0.3831,-0.0074,-0.0354,0.0185,-0.0028,-0.0096,0.0039
fullSK MP-clustered,ankh3_xl,42,0.3933,0.3859,0.3928,-0.0074,-0.0354,0.0185,0.0069,-0.0004,0.0148
fullSK MP-clustered,ankh3_large,42,0.3933,0.3859,0.3951,-0.0074,-0.0354,0.0185,0.0092,0.0002,0.0198
fullSK MP-clustered,saprot,42,0.3933,0.3859,0.3862,-0.0074,-0.0354,0.0185,0.0003,-0.0116,0.0127
fullSK MP-clustered,prostt5,42,0.3933,0.3859,0.3816,-0.0074,-0.0354,0.0185,-0.0043,-0.0134,0.0016
fullSK MP-clustered,aido,42,0.3933,0.3859,0.3864,-0.0074,-0.0354,0.0185,0.0006,-0.0057,0.0091
fullSK MP-bycomplex,esmc6b,42,0.3933,0.3875,0.4527,-0.0058,-0.0349,0.0212,0.0652,0.0034,0.1266
fullSK MP-bycomplex,ankh,42,0.3933,0.3875,0.4327,-0.0058,-0.0349,0.0212,0.0452,-0.0148,0.1034
fullSK MP-bycomplex,ankh3_xl,42,0.3933,0.3875,0.4393,-0.0058,-0.0349,0.0212,0.0518,-0.0053,0.1073
fullSK MP-bycomplex,ankh3_large,42,0.3933,0.3875,0.4050,-0.0058,-0.0349,0.0212,0.0175,-0.0404,0.0727
fullSK MP-bycomplex,saprot,42,0.3933,0.3875,0.3948,-0.0058,-0.0349,0.0212,0.0073,-0.0226,0.0345
fullSK MP-bycomplex,prostt5,42,0.3933,0.3875,0.4114,-0.0058,-0.0349,0.0212,0.0238,-0.0318,0.0756
fullSK MP-bycomplex,aido,42,0.3933,0.3875,0.4175,-0.0058,-0.0349,0.0212,0.0300,-0.0152,0.0741
fullSK CATH-all,esmc6b,13,0.3829,0.3668,0.4056,-0.0161,-0.1208,0.0695,0.0388,-0.0010,0.0747
fullSK CATH-all,ankh,13,0.3829,0.3668,0.4065,-0.0161,-0.1208,0.0695,0.0397,-0.0099,0.0978
fullSK CATH-all,ankh3_xl,13,0.3829,0.3668,0.3731,-0.0161,-0.1208,0.0695,0.0063,-0.0829,0.0941
fullSK CATH-all,ankh3_large,13,0.3829,0.3668,0.3683,-0.0161,-0.1208,0.0695,0.0015,-0.0084,0.0131
fullSK CATH-all,saprot,13,0.3829,0.3668,0.3688,-0.0161,-0.1208,0.0695,0.0020,-0.0246,0.0246
fullSK CATH-all,prostt5,13,0.3829,0.3668,0.3767,-0.0161,-0.1208,0.0695,0.0099,-0.0092,0.0287
fullSK CATH-all,esmc600m,13,0.3829,0.3668,0.3507,-0.0161,-0.1208,0.0695,-0.0161,-0.0431,0.0038
fullSK CATH-all,esm2,13,0.3829,0.3668,0.3688,-0.0161,-0.1208,0.0695,0.0020,-0.0489,0.0480
fullSK CATH-all,aido,13,0.3829,0.3668,0.3743,-0.0161,-0.1208,0.0695,0.0075,-0.0153,0.0270
