tier,model,n_cplx,blend_1,blend_12,blend_13,gain_12,g12_lo,g12_hi,gain_plm,gplm_lo,gplm_hi
fullSK clustered-SP,esmc6b,95,0.4182,0.4339,0.4548,0.0157,-0.0070,0.0377,0.0209,-0.0008,0.0426
fullSK clustered-SP,ankh,95,0.4182,0.4339,0.4391,0.0157,-0.0070,0.0377,0.0052,-0.0110,0.0221
fullSK clustered-SP,ankh3_xl,95,0.4182,0.4339,0.4449,0.0157,-0.0070,0.0377,0.0110,-0.0090,0.0306
fullSK clustered-SP,ankh3_large,95,0.4182,0.4339,0.4352,0.0157,-0.0070,0.0377,0.0014,-0.0041,0.0073
fullSK clustered-SP,saprot,95,0.4182,0.4339,0.4338,0.0157,-0.0070,0.0377,-0.0001,-0.0079,0.0080
fullSK clustered-SP,prostt5,95,0.4182,0.4339,0.4330,0.0157,-0.0070,0.0377,-0.0009,-0.0094,0.0081
fullSK clustered-SP,esmc600m,95,0.4182,0.4339,0.4356,0.0157,-0.0070,0.0377,0.0017,-0.0179,0.0215
fullSK clustered-SP,esm2,95,0.4182,0.4339,0.4387,0.0157,-0.0070,0.0377,0.0049,-0.0089,0.0191
fullSK clustered-SP,aido,95,0.4182,0.4339,0.4339,0.0157,-0.0070,0.0377,0.0001,-0.0131,0.0123
fullSK bycomplex-SP,esmc6b,95,0.4182,0.4339,0.4754,0.0157,-0.0070,0.0377,0.0415,0.0154,0.0675
fullSK bycomplex-SP,ankh,95,0.4182,0.4339,0.4722,0.0157,-0.0070,0.0377,0.0383,0.0137,0.0638
fullSK bycomplex-SP,ankh3_xl,95,0.4182,0.4339,0.4546,0.0157,-0.0070,0.0377,0.0208,-0.0065,0.0469
fullSK bycomplex-SP,ankh3_large,95,0.4182,0.4339,0.4464,0.0157,-0.0070,0.0377,0.0125,-0.0102,0.0341
fullSK bycomplex-SP,saprot,95,0.4182,0.4339,0.4393,0.0157,-0.0070,0.0377,0.0054,-0.0090,0.0194
fullSK bycomplex-SP,prostt5,95,0.4182,0.4339,0.4433,0.0157,-0.0070,0.0377,0.0094,-0.0118,0.0308
fullSK bycomplex-SP,esmc600m,95,0.4182,0.4339,0.4433,0.0157,-0.0070,0.0377,0.0094,-0.0176,0.0364
fullSK bycomplex-SP,esm2,95,0.4182,0.4339,0.4698,0.0157,-0.0070,0.0377,0.0359,0.0094,0.0625
fullSK bycomplex-SP,aido,95,0.4182,0.4339,0.4460,0.0157,-0.0070,0.0377,0.0121,-0.0118,0.0357
fullSK MP-clustered,esmc6b,42,0.3933,0.4039,0.3943,0.0106,-0.0262,0.0459,-0.0096,-0.0274,0.0073
fullSK MP-clustered,ankh,42,0.3933,0.4039,0.4075,0.0106,-0.0262,0.0459,0.0036,-0.0048,0.0124
fullSK MP-clustered,ankh3_xl,42,0.3933,0.4039,0.4023,0.0106,-0.0262,0.0459,-0.0015,-0.0114,0.0081
fullSK MP-clustered,ankh3_large,42,0.3933,0.4039,0.4041,0.0106,-0.0262,0.0459,0.0003,-0.0081,0.0102
fullSK MP-clustered,saprot,42,0.3933,0.4039,0.3897,0.0106,-0.0262,0.0459,-0.0141,-0.0356,0.0040
fullSK MP-clustered,prostt5,42,0.3933,0.4039,0.4042,0.0106,-0.0262,0.0459,0.0003,-0.0105,0.0113
fullSK MP-clustered,aido,42,0.3933,0.4039,0.3974,0.0106,-0.0262,0.0459,-0.0065,-0.0193,0.0055
fullSK MP-bycomplex,esmc6b,42,0.3933,0.4028,0.4603,0.0096,-0.0251,0.0429,0.0575,-0.0014,0.1170
fullSK MP-bycomplex,ankh,42,0.3933,0.4028,0.4716,0.0096,-0.0251,0.0429,0.0687,0.0122,0.1248
fullSK MP-bycomplex,ankh3_xl,42,0.3933,0.4028,0.4524,0.0096,-0.0251,0.0429,0.0495,-0.0073,0.1078
fullSK MP-bycomplex,ankh3_large,42,0.3933,0.4028,0.4084,0.0096,-0.0251,0.0429,0.0056,-0.0469,0.0563
fullSK MP-bycomplex,saprot,42,0.3933,0.4028,0.4038,0.0096,-0.0251,0.0429,0.0010,-0.0321,0.0341
fullSK MP-bycomplex,prostt5,42,0.3933,0.4028,0.4265,0.0096,-0.0251,0.0429,0.0236,-0.0268,0.0752
fullSK MP-bycomplex,aido,42,0.3933,0.4028,0.4206,0.0096,-0.0251,0.0429,0.0178,-0.0262,0.0623
fullSK CATH-all,esmc6b,13,0.3829,0.3448,0.3860,-0.0381,-0.1493,0.0630,0.0413,-0.0043,0.0914
fullSK CATH-all,ankh,13,0.3829,0.3448,0.4147,-0.0381,-0.1493,0.0630,0.0699,0.0158,0.1294
fullSK CATH-all,ankh3_xl,13,0.3829,0.3448,0.3616,-0.0381,-0.1493,0.0630,0.0168,-0.0936,0.1244
fullSK CATH-all,ankh3_large,13,0.3829,0.3448,0.3421,-0.0381,-0.1493,0.0630,-0.0027,-0.0093,0.0044
fullSK CATH-all,saprot,13,0.3829,0.3448,0.3757,-0.0381,-0.1493,0.0630,0.0309,-0.0082,0.0684
fullSK CATH-all,prostt5,13,0.3829,0.3448,0.3613,-0.0381,-0.1493,0.0630,0.0165,-0.0115,0.0466
fullSK CATH-all,esmc600m,13,0.3829,0.3448,0.3506,-0.0381,-0.1493,0.0630,0.0058,-0.0188,0.0363
fullSK CATH-all,esm2,13,0.3829,0.3448,0.3448,-0.0381,-0.1493,0.0630,-0.0000,-0.0396,0.0378
fullSK CATH-all,aido,13,0.3829,0.3448,0.3289,-0.0381,-0.1493,0.0630,-0.0158,-0.0443,0.0071
