tier,model,n_cplx,n_mut,rho_base,rho_fx,rho_base_fx,part_base,part_base_lo,part_base_hi,part_fx,blend_fx,blend_both,gain,gain_lo,gain_hi
fullSK clustered-SP,esmc6b,95,4131,0.1933,0.4182,0.1653,0.1304,0.0783,0.1812,0.3964,0.4182,0.4268,0.0086,-0.0076,0.0245
fullSK clustered-SP,ankh,95,4131,0.1451,0.4182,0.1766,0.0780,0.0198,0.1367,0.3997,0.4182,0.4144,-0.0038,-0.0129,0.0049
fullSK clustered-SP,ankh3_xl,95,4131,0.1469,0.4182,0.1276,0.0988,0.0396,0.1558,0.3997,0.4182,0.4200,0.0018,-0.0125,0.0159
fullSK clustered-SP,ankh3_large,95,4131,0.0967,0.4182,0.1628,0.0256,-0.0288,0.0808,0.4129,0.4182,0.4174,-0.0009,-0.0031,0.0013
fullSK clustered-SP,saprot,95,4131,0.0810,0.4182,0.0925,0.0485,-0.0030,0.1006,0.4058,0.4182,0.4171,-0.0012,-0.0025,0.0002
fullSK clustered-SP,saprot13b,95,4131,0.0796,0.4182,0.1197,0.0264,-0.0319,0.0823,0.4156,0.4182,0.4175,-0.0007,-0.0031,0.0016
fullSK clustered-SP,prostt5,95,4131,0.0522,0.4182,0.0437,0.0284,-0.0199,0.0773,0.4047,0.4182,0.4184,0.0001,-0.0034,0.0038
fullSK clustered-SP,esmc600m,95,4131,0.1487,0.4182,0.1571,0.0960,0.0398,0.1532,0.3974,0.4182,0.4184,0.0002,-0.0143,0.0147
fullSK clustered-SP,esm2,95,4131,0.1236,0.4182,0.1515,0.0724,0.0156,0.1297,0.4016,0.4182,0.4179,-0.0003,-0.0116,0.0105
fullSK clustered-SP,aido,95,4131,0.1223,0.4182,0.1561,0.0598,0.0139,0.1069,0.4003,0.4182,0.4181,-0.0001,-0.0063,0.0063
fullSK bycomplex-SP,esmc6b,95,4131,0.3106,0.4182,0.2439,0.2428,0.1799,0.3053,0.3648,0.4182,0.4525,0.0343,0.0046,0.0637
fullSK bycomplex-SP,ankh,95,4131,0.2851,0.4182,0.2310,0.2203,0.1524,0.2866,0.3640,0.4182,0.4474,0.0292,0.0015,0.0566
fullSK bycomplex-SP,ankh3_xl,95,4131,0.2661,0.4182,0.2158,0.2040,0.1325,0.2732,0.3759,0.4182,0.4374,0.0191,-0.0124,0.0493
fullSK bycomplex-SP,ankh3_large,95,4131,0.2101,0.4182,0.2122,0.1462,0.0796,0.2131,0.3644,0.4182,0.4307,0.0125,-0.0119,0.0368
fullSK bycomplex-SP,saprot,95,4131,0.1230,0.4182,0.1510,0.0619,0.0006,0.1236,0.3999,0.4182,0.4188,0.0006,-0.0073,0.0085
fullSK bycomplex-SP,prostt5,95,4131,0.1941,0.4182,0.1652,0.1373,0.0692,0.2044,0.3739,0.4182,0.4239,0.0056,-0.0152,0.0252
fullSK bycomplex-SP,esmc600m,95,4131,0.2274,0.4182,0.2348,0.1633,0.0939,0.2309,0.3726,0.4182,0.4249,0.0067,-0.0181,0.0318
fullSK bycomplex-SP,esm2,95,4131,0.2617,0.4182,0.2005,0.2151,0.1514,0.2776,0.3637,0.4182,0.4444,0.0262,-0.0007,0.0528
fullSK bycomplex-SP,aido,95,4131,0.1805,0.4182,0.1520,0.1428,0.0813,0.2042,0.3749,0.4182,0.4202,0.0019,-0.0207,0.0241
fullSK MP-clustered,esmc6b,42,1615,0.1461,0.3933,0.1685,0.0526,-0.0583,0.1655,0.3523,0.3933,0.3854,-0.0079,-0.0277,0.0127
fullSK MP-clustered,ankh,42,1615,0.0988,0.3933,0.1605,0.0048,-0.0739,0.0846,0.3798,0.3933,0.3922,-0.0011,-0.0043,0.0024
fullSK MP-clustered,ankh3_xl,42,1615,0.1364,0.3933,0.1800,0.0605,-0.0320,0.1559,0.3478,0.3933,0.3936,0.0004,-0.0044,0.0061
fullSK MP-clustered,ankh3_large,42,1615,0.2028,0.3933,0.2635,0.0985,-0.0121,0.2124,0.3312,0.3933,0.3933,0.0001,-0.0062,0.0091
fullSK MP-clustered,saprot,42,1615,-0.0058,0.3933,0.1366,-0.0632,-0.1820,0.0553,0.3331,0.3933,0.3907,-0.0026,-0.0149,0.0095
fullSK MP-clustered,prostt5,42,1615,0.0622,0.3933,0.1778,0.0077,-0.0904,0.1104,0.4130,0.3933,0.3889,-0.0043,-0.0127,0.0007
fullSK MP-clustered,aido,42,1615,0.0680,0.3933,0.1186,-0.0088,-0.1101,0.0913,0.3798,0.3933,0.3952,0.0019,-0.0027,0.0095
fullSK MP-bycomplex,esmc6b,42,1615,0.3790,0.3933,0.2532,0.2823,0.1711,0.3901,0.2873,0.3933,0.4426,0.0493,-0.0160,0.1154
fullSK MP-bycomplex,ankh,42,1615,0.3525,0.3933,0.2665,0.2835,0.1686,0.3973,0.2690,0.3933,0.4321,0.0388,-0.0204,0.0990
fullSK MP-bycomplex,ankh3_xl,42,1615,0.3452,0.3933,0.2187,0.3017,0.1861,0.4141,0.3016,0.3933,0.4435,0.0502,-0.0095,0.1117
fullSK MP-bycomplex,ankh3_large,42,1615,0.2803,0.3933,0.2696,0.2045,0.0887,0.3232,0.2892,0.3933,0.3964,0.0031,-0.0544,0.0614
fullSK MP-bycomplex,saprot,42,1615,0.1701,0.3933,0.1269,0.1535,0.0361,0.2691,0.3406,0.3933,0.3964,0.0031,-0.0199,0.0257
fullSK MP-bycomplex,prostt5,42,1615,0.2773,0.3933,0.1965,0.2456,0.1337,0.3578,0.3056,0.3933,0.4100,0.0167,-0.0368,0.0692
fullSK MP-bycomplex,aido,42,1615,0.2743,0.3933,0.1942,0.2109,0.0879,0.3337,0.3156,0.3933,0.4086,0.0153,-0.0310,0.0644
fullSK CATH-all,esmc6b,13,687,0.3596,0.3829,0.2854,0.2632,0.1656,0.3585,0.3024,0.3829,0.4289,0.0460,-0.0032,0.0944
fullSK CATH-all,ankh,13,687,0.3308,0.3829,0.3009,0.2292,0.1061,0.3472,0.2954,0.3829,0.4079,0.0250,-0.0340,0.0830
fullSK CATH-all,ankh3_xl,13,687,0.2664,0.3829,0.2251,0.2036,0.0407,0.3641,0.2852,0.3829,0.3668,-0.0161,-0.1029,0.0696
fullSK CATH-all,ankh3_large,13,687,0.1480,0.3829,0.2850,0.0181,-0.0898,0.1326,0.3482,0.3829,0.3775,-0.0054,-0.0189,0.0085
fullSK CATH-all,saprot,13,687,0.2285,0.3829,0.3698,0.0936,0.0018,0.1832,0.3139,0.3829,0.3856,0.0027,-0.0322,0.0364
fullSK CATH-all,prostt5,13,687,0.0704,0.3829,0.1972,-0.0067,-0.2217,0.1787,0.4231,0.3829,0.3770,-0.0059,-0.0292,0.0159
fullSK CATH-all,esmc600m,13,687,0.1172,0.3829,0.3096,-0.0122,-0.1815,0.1628,0.3505,0.3829,0.3497,-0.0332,-0.0629,-0.0051
fullSK CATH-all,esm2,13,687,0.2427,0.3829,0.3336,0.1438,-0.0223,0.2948,0.3051,0.3829,0.3775,-0.0054,-0.0623,0.0490
fullSK CATH-all,aido,13,687,0.2483,0.3829,0.2724,0.1457,0.0231,0.2625,0.3233,0.3829,0.3788,-0.0041,-0.0358,0.0246
