tier,model,n_cplx,n_mut,rho_base,rho_fx,rho_base_fx,part_base,part_base_lo,part_base_hi,part_fx,blend_fx,blend_both,gain,gain_lo,gain_hi
fullSK clustered-ALL,esmc6b,119,5746,0.2100,0.4309,0.1998,0.1269,0.0776,0.1747,0.3841,0.4309,0.4372,0.0062,-0.0116,0.0235
fullSK clustered-ALL,ankh,119,5746,0.1095,0.4309,0.1617,0.0331,-0.0179,0.0825,0.4039,0.4309,0.4336,0.0027,-0.0034,0.0089
fullSK clustered-ALL,ankh3_xl,119,5746,0.1541,0.4309,0.1824,0.0702,0.0161,0.1236,0.4025,0.4309,0.4288,-0.0022,-0.0100,0.0055
fullSK clustered-ALL,ankh3_large,119,5746,0.1567,0.4309,0.2431,0.0480,-0.0103,0.1041,0.3924,0.4309,0.4314,0.0004,-0.0052,0.0061
fullSK clustered-ALL,saprot,119,5746,0.1398,0.4309,0.1541,0.0757,0.0263,0.1254,0.3978,0.4309,0.4298,-0.0011,-0.0051,0.0031
fullSK clustered-ALL,prostt5,119,5746,0.0638,0.4309,0.1136,0.0157,-0.0396,0.0708,0.4011,0.4309,0.4304,-0.0006,-0.0021,0.0009
fullSK clustered-ALL,esmc600m,119,5746,0.0856,0.4309,0.1025,0.0428,-0.0109,0.0974,0.4102,0.4309,0.4283,-0.0027,-0.0093,0.0042
fullSK clustered-ALL,esm2,119,5746,0.1516,0.4309,0.1398,0.1012,0.0502,0.1525,0.4151,0.4309,0.4335,0.0025,-0.0096,0.0143
fullSK clustered-ALL,aido,119,5746,0.1627,0.4309,0.1882,0.0878,0.0364,0.1370,0.4061,0.4309,0.4328,0.0018,-0.0037,0.0073
fullSK clustered-ALL+aug,ankh,119,5746,0.1665,0.4309,0.1810,0.0805,0.0318,0.1282,0.4089,0.4309,0.4331,0.0021,-0.0058,0.0097
