# FoldX-arm PRE-coverage-fix baseline (captured 2026-07-23, before results_all union + #138 delta).
# Rerun each on the regenerated higher-coverage splits, then recompute + diff test_pcc / sha to confirm change.
tier	model	arm	fold	test_pcc	allresults_sha16	testpred_sha16
clustered-SP	aido	foldx	0	0.282579243183136	9d2d29e9566d742e	6cc019ea34b5a93d
clustered-SP	aido	foldx	1	0.1141061782836914	b951c4f264ddaff3	5be6168ee38d767c
clustered-SP	aido	foldx	2	0.2607973515987396	472a2921a3ce544a	5e022028d466d1bc
clustered-SP	aido	foldx_scalar	0	0.3398331105709076	7a6f92707007cb82	b1117e660462d34f
clustered-SP	aido	foldx_scalar	1	0.18181081116199493	9ccb4ce8c7e6a26c	7c29b43d1b9a3d94
clustered-SP	aido	foldx_scalar	2	0.22731073200702667	efc9d5243ce87fbc	30522b8c6344c500
clustered-SP	ankh3_large	foldx	0	0.23528464138507843	27b4abd25bcbd4aa	659e15f61c83ab26
clustered-SP	ankh3_large	foldx	1	0.12540540099143982	4f0a50d71a7cbbcc	cbf1c8bceedc07b2
clustered-SP	ankh3_large	foldx	2	0.24036464095115662	8a83a26324b36e65	7a945bd5a86f02d0
clustered-SP	ankh3_large	foldx_scalar	0	0.1647835671901703	3694d689821144e5	a9ea5006b285d396
clustered-SP	ankh3_large	foldx_scalar	1	0.18431517481803894	664f7c1b10757974	3ece5643535ea8a6
clustered-SP	ankh3_large	foldx_scalar	2	0.17064474523067474	618123fb57192429	6be37a0b3adeb167
clustered-SP	ankh3_xl	foldx	0	0.2585185766220093	8cd4569e2891b1cd	1c20c1a1346302a5
clustered-SP	ankh3_xl	foldx	1	0.15515097975730896	69f08e3e12e73dde	8007b62812126f57
clustered-SP	ankh3_xl	foldx	2	0.23078308999538422	1262835b94d8bc95	f4777dee17734ed0
clustered-SP	ankh3_xl	foldx_scalar	0	0.3120277225971222	32ae0512b211cfb2	5cd73186e289c783
clustered-SP	ankh3_xl	foldx_scalar	1	0.24890196323394775	08683c0baa2e09de	d9aceea067e4910e
clustered-SP	ankh3_xl	foldx_scalar	2	0.20733466744422913	76d5efbffa26793f	08fc5514e980c5b6
clustered-SP	ankh	foldx	0	0.2547433078289032	0b905215fa40b6de	076515857eb2437e
clustered-SP	ankh	foldx	1	0.13561351597309113	8dd690accff7d078	97d95b2869e68df9
clustered-SP	ankh	foldx	2	0.25307193398475647	e5f7bfdfa4199ccb	691ac96f2be8fbfd
clustered-SP	ankh	foldx_scalar	0	0.46257728338241577	ea4f58297addc82d	002d941da64e5bf6
clustered-SP	ankh	foldx_scalar	1	0.1863604187965393	6871d2a416d2f5aa	f8e94d47def08116
clustered-SP	ankh	foldx_scalar	2	0.25985682010650635	d5e28db64073971d	86e71dbc75c0c0b2
clustered-SP	esm2	foldx	0	0.32673531770706177	9d9f7ae0c27f3156	2dd0b7e61fe64ae2
clustered-SP	esm2	foldx	1	0.1058531105518341	6433d80c12889c36	81de03006e882922
clustered-SP	esm2	foldx	2	0.24975652992725372	e32ba3e1ac0a2160	027389d1a01173e5
clustered-SP	esm2	foldx_scalar	0	0.3597181439399719	7db1b01862e9beeb	f37bf4c93ca7c8c5
clustered-SP	esm2	foldx_scalar	1	0.16563859581947327	be881ca60730daa0	c3a95453766efe7a
clustered-SP	esm2	foldx_scalar	2	0.17532378435134888	b23c2c321dded791	50a32ef04e3f30e9
clustered-SP	esmc6b	foldx	0	0.48787885904312134	860f3936ea3c8542	f44bdedf26731571
