arm,n,pearson,spearman,rmse,mae,rmse_corr,mae_corr,ps_pearson_T10,ps_spearman_T10,ps_ncomplex_T10,ps_pearson_T5,ps_spearman_T5,ps_ncomplex_T5,auroc_destab,auroc_strong,prec_at50,recall_at50,spearman_foldavg,spearman_foldavg_sd,pearson_foldavg,pearson_foldavg_sd,n_folds_scored
esmc6b_base,5801,0.6160,0.4813,1.6957,1.1706,1.6558,1.1998,0.3271,0.2948,121,0.3212,0.2782,183,0.7071,0.7605,0.8800,0.0287,0.4852,0.0218,0.6204,0.0994,3
esmc6b_foldx,5801,0.6833,0.6155,1.5490,1.0775,1.5347,1.0960,0.5296,0.4794,121,0.4522,0.4051,183,0.7580,0.8458,1.0000,0.0326,0.6160,0.0546,0.6782,0.0889,3
esmc6b_foldx_scalar,5801,0.6858,0.5976,1.5618,1.0675,1.5297,1.0864,0.4872,0.4444,121,0.4165,0.3771,183,0.7544,0.8369,0.9400,0.0307,0.5991,0.0450,0.6798,0.1001,3
ankh3_xl_base,5801,0.5972,0.4607,1.7627,1.2092,1.6860,1.2293,0.2754,0.2457,121,0.2586,0.2251,183,0.7014,0.7489,0.9800,0.0320,0.4705,0.0447,0.5969,0.1133,3
ankh3_xl_foldx,5801,0.6707,0.6020,1.5702,1.0885,1.5590,1.1051,0.4936,0.4393,121,0.4419,0.3878,183,0.7528,0.8398,1.0000,0.0326,0.6029,0.0638,0.6582,0.1080,3
ankh3_xl_foldx_scalar,5801,0.6828,0.6063,1.5639,1.0722,1.5358,1.0947,0.4855,0.4584,121,0.4212,0.3894,183,0.7648,0.8343,1.0000,0.0326,0.6128,0.0625,0.6818,0.0963,3
ankh3_large_base,5801,0.5015,0.2813,1.9430,1.3251,1.8185,1.3328,0.1961,0.1579,121,0.1745,0.1545,183,0.6280,0.6483,0.9800,0.0320,0.3484,0.1180,0.4374,0.2748,3
ankh3_large_foldx,5801,0.6540,0.5781,1.6080,1.1027,1.5902,1.1213,0.4876,0.4421,121,0.4516,0.4034,183,0.7423,0.8311,0.9400,0.0307,0.5815,0.0799,0.6341,0.1323,3
ankh3_large_foldx_scalar,5801,0.6201,0.5022,1.7206,1.1636,1.6490,1.1769,0.4510,0.4063,121,0.4033,0.3552,183,0.7214,0.7791,0.9200,0.0300,0.5427,0.0911,0.6171,0.1341,3
ankh_base,5801,0.5565,0.4401,1.8346,1.2494,1.7464,1.2637,0.2619,0.2471,121,0.2521,0.2318,183,0.6900,0.7386,0.9000,0.0294,0.4497,0.0177,0.5661,0.0927,3
ankh_foldx,5801,0.6110,0.5609,1.6888,1.1507,1.6640,1.1726,0.4909,0.4578,121,0.4502,0.4062,183,0.7422,0.8103,0.9800,0.0320,0.5631,0.0593,0.6081,0.0954,3
ankh_foldx_scalar,5801,0.6597,0.5899,1.6238,1.1143,1.5797,1.1316,0.4767,0.4451,121,0.4030,0.3811,183,0.7541,0.8264,0.9800,0.0320,0.5934,0.0648,0.6497,0.1061,3
prostt5_base,5801,0.5651,0.4033,1.7835,1.2353,1.7342,1.2657,0.2095,0.2000,121,0.1746,0.1783,183,0.6798,0.7154,1.0000,0.0326,0.4094,0.0237,0.5621,0.0867,3
prostt5_foldx,5801,0.6186,0.5905,1.6699,1.1422,1.6515,1.1606,0.4965,0.4571,121,0.4168,0.3799,183,0.7465,0.8328,0.9600,0.0313,0.5943,0.0719,0.6301,0.0858,3
prostt5_foldx_scalar,5801,0.6461,0.6012,1.6278,1.1101,1.6042,1.1378,0.4889,0.4594,121,0.4046,0.3743,183,0.7619,0.8323,0.9600,0.0313,0.6054,0.0541,0.6449,0.0743,3
saprot_base,5801,0.3530,0.2327,2.0664,1.3864,1.9666,1.4237,0.2042,0.1907,121,0.1542,0.1170,183,0.6203,0.6120,0.7200,0.0235,0.2327,0.0476,0.3864,0.0762,3
saprot_foldx,5801,0.5480,0.5302,1.7844,1.1985,1.7582,1.2208,0.4922,0.4453,121,0.4154,0.3714,183,0.7220,0.8005,0.8000,0.0261,0.5360,0.0312,0.5778,0.0579,3
saprot_foldx_scalar,5801,0.5717,0.5225,1.8065,1.2086,1.7246,1.2204,0.4833,0.4553,121,0.4013,0.3786,183,0.7314,0.7863,0.8600,0.0280,0.5274,0.0465,0.5906,0.0522,3
esm2_base,5801,0.5853,0.4414,1.7641,1.2247,1.7043,1.2406,0.2819,0.2507,121,0.2411,0.2175,183,0.6927,0.7424,1.0000,0.0326,0.4488,0.0253,0.5811,0.0957,3
esm2_foldx,5801,0.6533,0.5945,1.6188,1.1154,1.5914,1.1308,0.5144,0.4597,121,0.4539,0.4018,183,0.7505,0.8359,0.9800,0.0320,0.5980,0.0414,0.6482,0.0954,3
