arm,n,pearson,spearman,rmse,mae,rmse_corr,mae_corr,ps_pearson_T10,ps_spearman_T10,ps_ncomplex_T10,ps_pearson_T5,ps_spearman_T5,ps_ncomplex_T5,auroc_destab,auroc_strong,prec_at50,recall_at50
esmc6b_foldx_scalar,687,0.6245,0.6137,2.2946,1.6254,2.0955,1.4969,0.4729,0.4378,13,0.4595,0.4106,21,0.7915,0.7946,0.8600,0.1654
esmc6b_foldx,687,0.6209,0.6130,2.3015,1.6186,2.1031,1.4764,0.4920,0.4310,13,0.4877,0.4162,21,0.7476,0.8172,0.9000,0.1731
ankh_foldx_scalar,687,0.6586,0.6418,2.4019,1.6993,2.0188,1.4472,0.4167,0.4210,13,0.3560,0.4057,21,0.8055,0.8194,0.8600,0.1654
aido_foldx_scalar,687,0.5646,0.5857,2.5119,1.7478,2.2144,1.6046,0.4537,0.4172,13,0.3914,0.3604,21,0.7800,0.7866,0.8400,0.1615
prostt5_foldx_scalar,687,0.5443,0.5836,2.5406,1.7622,2.2508,1.6035,0.4700,0.4150,13,0.3681,0.3603,21,0.7665,0.7944,0.8200,0.1577
ankh3_xl_foldx,687,0.5334,0.5999,2.3516,1.6258,2.2694,1.5822,0.4692,0.4145,13,0.3957,0.3458,21,0.7495,0.8154,0.8200,0.1577
ankh3_xl_foldx_scalar,687,0.5925,0.6062,2.5409,1.7904,2.1614,1.5391,0.4681,0.4141,13,0.4094,0.3375,21,0.7913,0.7976,0.8400,0.1615
prostt5_foldx,687,0.5142,0.5904,2.3358,1.6135,2.3012,1.6080,0.4740,0.3983,13,0.3974,0.3464,21,0.7445,0.8117,0.8200,0.1577
saprot_foldx_scalar,687,0.5465,0.5733,2.5121,1.7432,2.2468,1.6179,0.4144,0.3982,13,0.3501,0.3531,21,0.7743,0.7885,0.8800,0.1692
saprot_foldx,687,0.5286,0.5948,2.3472,1.6269,2.2774,1.5994,0.4729,0.3970,13,0.4170,0.3541,21,0.7505,0.8080,0.8200,0.1577
ankh3_large_foldx,687,0.4995,0.5651,2.4093,1.6518,2.3244,1.6156,0.4676,0.3922,13,0.4397,0.3680,21,0.7180,0.8074,0.8400,0.1615
ankh_foldx,687,0.5419,0.5943,2.3196,1.6042,2.2550,1.5847,0.4337,0.3870,13,0.4063,0.3530,21,0.7480,0.8087,0.8400,0.1615
aido_foldx,687,0.5424,0.5938,2.3509,1.6284,2.2540,1.5871,0.4575,0.3767,13,0.3840,0.2936,21,0.7542,0.8082,0.8200,0.1577
esm2_foldx_scalar,687,0.5855,0.5920,2.4716,1.7365,2.1751,1.5949,0.4733,0.3748,13,0.4257,0.3946,21,0.7861,0.7870,0.8200,0.1577
esmc600m_foldx,687,0.5740,0.6013,2.3116,1.6159,2.1969,1.5852,0.4545,0.3703,13,0.4576,0.4269,21,0.7773,0.7978,0.8200,0.1577
esmc6b_base,687,0.5200,0.5220,2.5307,1.8162,2.2918,1.7093,0.3195,0.3596,13,0.3366,0.3523,21,0.7875,0.7181,0.6800,0.1308
ankh3_large_foldx_scalar,687,0.5578,0.5693,2.5217,1.7600,2.2267,1.6138,0.3964,0.3552,13,0.3497,0.3527,21,0.7915,0.7803,0.8400,0.1615
esm2_foldx,687,0.5393,0.5785,2.4223,1.6719,2.2594,1.5690,0.4601,0.3522,13,0.3993,0.3274,21,0.7361,0.8070,0.9000,0.1731
esmc600m_foldx_scalar,687,0.6103,0.5967,2.3287,1.6600,2.1253,1.5834,0.3956,0.3513,13,0.3563,0.3476,21,0.7790,0.7866,0.8800,0.1692
ankh_base,687,0.5165,0.5444,2.7351,1.9786,2.2975,1.7192,0.3474,0.3308,13,0.2820,0.2364,21,0.8063,0.7325,0.7000,0.1346
ankh3_xl_base,687,0.6162,0.5423,2.6787,1.9151,2.1130,1.5637,0.3019,0.2664,13,0.2226,0.1829,21,0.7811,0.7659,0.8400,0.1615
aido_base,687,0.4870,0.3678,2.7514,1.9614,2.3434,1.7939,0.2650,0.2483,13,0.1241,0.1125,21,0.6797,0.6577,0.6400,0.1231
esm2_base,687,0.4531,0.4451,2.7686,1.9838,2.3918,1.7726,0.2733,0.2427,13,0.2160,0.1772,21,0.7451,0.7020,0.7400,0.1423
saprot_base,687,0.3803,0.3652,2.7514,1.9312,2.4814,1.8056,0.2749,0.2285,13,0.2085,0.1646,21,0.7156,0.6844,0.7400,0.1423
ankh3_large_base,687,0.2673,0.3086,2.9250,2.0852,2.5854,1.9150,0.1717,0.1480,13,0.1005,0.1185,21,0.7243,0.6181,0.4400,0.0846
esmc600m_base,687,0.5704,0.4432,2.4304,1.7763,2.2038,1.6369,0.1474,0.1172,13,0.0855,0.1348,21,0.7316,0.6835,0.7600,0.1462
prostt5_base,687,0.2971,0.3494,2.8085,1.9787,2.5618,1.8510,0.0984,0.0704,13,0.1418,0.0700,21,0.7001,0.6683,0.6800,0.1308
