arm,n,pearson,spearman,rmse,mae,rmse_corr,mae_corr,ps_pearson_T10,ps_spearman_T10,ps_ncomplex_T10,ps_pearson_T5,ps_spearman_T5,ps_ncomplex_T5,auroc_destab,auroc_strong,prec_at50,recall_at50
esm2_base,266,0.6118,0.5774,3.7341,2.9708,2.7270,2.0216,0.5737,0.6043,5,0.2928,0.2958,9,0.8238,0.7658,0.8200,0.2733
saprot_foldx,266,0.4967,0.5125,3.0930,2.3115,2.9920,2.2849,0.6203,0.5966,5,0.2671,0.2613,9,0.8023,0.7745,0.8200,0.2733
ankh3_xl_base,266,0.6878,0.6441,3.5809,2.8309,2.5025,1.9099,0.5898,0.5866,5,0.3655,0.4174,9,0.8829,0.8317,0.9600,0.3200
aido_foldx,266,0.5229,0.5424,3.0856,2.2960,2.9384,2.2453,0.6233,0.5834,5,0.2383,0.2038,9,0.8081,0.7886,0.8600,0.2867
ankh3_large_foldx_scalar,266,0.5622,0.5061,3.3417,2.5263,2.8511,2.2099,0.5893,0.5814,5,0.2241,0.1857,9,0.8225,0.7626,0.8800,0.2933
prostt5_foldx,266,0.4710,0.5102,3.0856,2.2940,3.0410,2.2994,0.6022,0.5776,5,0.2930,0.2873,9,0.7981,0.7818,0.8200,0.2733
ankh3_large_foldx,266,0.4556,0.5016,3.1870,2.3444,3.0688,2.2957,0.6013,0.5766,5,0.3796,0.3679,9,0.7804,0.7786,0.8600,0.2867
esmc600m_foldx,266,0.5637,0.5248,3.0314,2.2865,2.8475,2.2590,0.6042,0.5763,5,0.1961,0.2313,9,0.8342,0.7575,0.8400,0.2800
ankh3_xl_foldx_scalar,266,0.6310,0.5832,3.3440,2.5634,2.6745,2.0213,0.5837,0.5732,5,0.3554,0.3282,9,0.8641,0.7856,0.9200,0.3067
ankh3_xl_foldx,266,0.5052,0.5478,3.0950,2.3043,2.9750,2.2452,0.5976,0.5726,5,0.2378,0.2057,9,0.7994,0.7961,0.8600,0.2867
prostt5_foldx_scalar,266,0.5363,0.4971,3.3767,2.5362,2.9096,2.2396,0.5856,0.5679,5,0.2260,0.1936,9,0.8427,0.7580,0.8400,0.2800
aido_foldx_scalar,266,0.5581,0.4901,3.3307,2.5092,2.8605,2.2277,0.5844,0.5579,5,0.3217,0.2636,9,0.8493,0.7454,0.8400,0.2800
ankh_foldx_scalar,266,0.7024,0.6707,3.1564,2.4334,2.4538,1.8492,0.5575,0.5558,5,0.2440,0.2524,9,0.8530,0.8293,0.9400,0.3133
saprot_foldx_scalar,266,0.5364,0.4902,3.3282,2.4795,2.9094,2.2441,0.5892,0.5425,5,0.3300,0.2654,9,0.8332,0.7578,0.9000,0.3000
esm2_foldx_scalar,266,0.6040,0.5449,3.2638,2.4907,2.7475,2.1442,0.5571,0.5401,5,0.1658,0.1709,9,0.8605,0.7584,0.8400,0.2800
ankh_foldx,266,0.5196,0.5503,3.0482,2.2694,2.9454,2.2362,0.5938,0.5375,5,0.2013,0.1695,9,0.8065,0.7901,0.8600,0.2867
esmc6b_foldx_scalar,266,0.6338,0.5841,3.0127,2.3055,2.6665,2.0208,0.5128,0.5258,5,0.2209,0.2051,9,0.8835,0.7643,0.9200,0.3067
esm2_foldx,266,0.5168,0.5479,3.2069,2.3911,2.9513,2.2095,0.5596,0.5252,5,0.1876,0.1122,9,0.8017,0.7878,0.9200,0.3067
esmc600m_foldx_scalar,266,0.6427,0.5991,3.0217,2.3021,2.6410,2.1236,0.5205,0.5131,5,0.1791,0.2094,9,0.8666,0.7711,0.8800,0.2933
esmc6b_foldx,266,0.6383,0.6135,3.0139,2.2763,2.6537,2.0285,0.5326,0.5094,5,0.1810,0.1650,9,0.8233,0.7905,0.9400,0.3133
esmc6b_base,266,0.5246,0.5260,3.3828,2.6805,2.9350,2.3047,0.3938,0.4687,5,0.2585,0.2522,9,0.8696,0.6937,0.7200,0.2400
saprot_base,266,0.3740,0.2900,3.7153,2.8502,3.1971,2.4291,0.4691,0.4495,5,0.3534,0.3545,9,0.8071,0.6701,0.7400,0.2467
ankh_base,266,0.5614,0.6359,3.6488,2.9410,2.8529,2.1512,0.4293,0.4444,5,0.3214,0.2770,9,0.8839,0.7610,0.9000,0.3000
ankh3_large_base,266,0.3310,0.3055,3.9566,3.1327,3.2531,2.4815,0.4618,0.4287,5,0.2275,0.2234,9,0.7922,0.6467,0.6800,0.2267
esmc600m_base,266,0.6169,0.5435,3.1823,2.5089,2.7132,2.0645,0.4114,0.3743,5,0.1342,0.1410,9,0.8151,0.7016,0.8400,0.2800
aido_base,266,0.5153,0.3189,3.7137,2.9265,2.9543,2.4325,0.3094,0.3198,5,0.1237,0.2099,9,0.7301,0.5946,0.6400,0.2133
prostt5_base,266,0.2717,0.2579,3.8219,2.9752,3.3177,2.4772,0.2826,0.2772,5,-0.0799,-0.0918,9,0.7633,0.6371,0.7400,0.2467
