arm,n,pearson,spearman,rmse,mae,rmse_corr,mae_corr,ps_pearson_T10,ps_spearman_T10,ps_ncomplex_T10,ps_pearson_T5,ps_spearman_T5,ps_ncomplex_T5,auroc_destab,auroc_strong,prec_at50,recall_at50
esmc6b_foldx,421,0.5119,0.5391,1.7043,1.2031,1.6152,1.1432,0.5789,0.4952,11,0.5679,0.4857,18,0.7235,0.7944,0.5800,0.2636
ankh_foldx,421,0.4591,0.4999,1.7056,1.1839,1.6703,1.1806,0.5383,0.4825,11,0.5054,0.4378,18,0.7144,0.7584,0.5600,0.2545
ankh3_xl_foldx,421,0.4587,0.5083,1.7238,1.1970,1.6707,1.1701,0.5544,0.4742,11,0.5179,0.4764,18,0.7241,0.7620,0.5800,0.2636
esmc6b_foldx_scalar,421,0.5154,0.4870,1.6904,1.1957,1.6112,1.1640,0.5052,0.4563,11,0.5174,0.4777,18,0.7255,0.7426,0.5600,0.2545
ankh_foldx_scalar,421,0.4949,0.5300,1.7663,1.2355,1.6338,1.1842,0.4696,0.4482,11,0.4367,0.4531,18,0.7635,0.7710,0.4600,0.2091
prostt5_foldx_scalar,421,0.4291,0.4781,1.8245,1.2732,1.6983,1.2083,0.4866,0.4415,11,0.4617,0.4543,18,0.7119,0.7521,0.5800,0.2636
esmc600m_foldx,421,0.4836,0.5180,1.7069,1.1922,1.6457,1.1704,0.5194,0.4375,11,0.4963,0.4413,18,0.7503,0.7600,0.5800,0.2636
saprot_foldx,421,0.4592,0.4986,1.7164,1.1944,1.6703,1.1729,0.5475,0.4372,11,0.5072,0.4233,18,0.7145,0.7624,0.5800,0.2636
prostt5_foldx,421,0.4609,0.4981,1.6992,1.1835,1.6685,1.1712,0.5491,0.4344,11,0.5172,0.4330,18,0.7140,0.7658,0.6000,0.2727
ankh3_large_foldx,421,0.4382,0.4657,1.7478,1.2142,1.6900,1.1878,0.5560,0.4334,11,0.5069,0.4318,18,0.6871,0.7641,0.6000,0.2727
ankh3_xl_foldx_scalar,421,0.4097,0.4802,1.8627,1.3020,1.7151,1.2405,0.4843,0.4331,11,0.4445,0.3992,18,0.7397,0.7384,0.5200,0.2364
esm2_foldx,421,0.4571,0.4790,1.7541,1.2174,1.6723,1.1788,0.5456,0.4301,11,0.5135,0.4170,18,0.7016,0.7605,0.6200,0.2818
aido_foldx,421,0.4579,0.4887,1.7329,1.2066,1.6715,1.1851,0.5292,0.4246,11,0.5025,0.4132,18,0.7240,0.7562,0.5600,0.2545
aido_foldx_scalar,421,0.4569,0.4598,1.8129,1.2668,1.6725,1.2150,0.4682,0.4202,11,0.4315,0.4103,18,0.7205,0.7308,0.5600,0.2545
esm2_foldx_scalar,421,0.4389,0.4620,1.7994,1.2599,1.6894,1.2281,0.4961,0.4183,11,0.4730,0.4351,18,0.7232,0.7323,0.5200,0.2364
saprot_foldx_scalar,421,0.4350,0.4477,1.8165,1.2780,1.6930,1.2245,0.4265,0.4084,11,0.3811,0.4144,18,0.7182,0.7393,0.6000,0.2727
ankh3_large_foldx_scalar,421,0.4215,0.4614,1.8222,1.2758,1.7050,1.2405,0.4061,0.3816,11,0.3949,0.3972,18,0.7626,0.7228,0.5000,0.2273
esmc6b_base,421,0.4076,0.4289,1.7946,1.2700,1.7169,1.2656,0.3259,0.3771,11,0.3507,0.3733,18,0.7284,0.6861,0.4400,0.2000
esmc600m_foldx_scalar,421,0.4496,0.4464,1.7550,1.2543,1.6795,1.2508,0.4237,0.3711,11,0.4318,0.3926,18,0.7152,0.7190,0.3600,0.1636
ankh_base,421,0.3290,0.4129,1.9482,1.3705,1.7755,1.3216,0.3372,0.3211,11,0.3340,0.2620,18,0.7497,0.6618,0.3600,0.1636
ankh3_xl_base,421,0.3653,0.3360,1.8992,1.3365,1.7502,1.2932,0.3204,0.2625,11,0.2646,0.2334,18,0.7093,0.6476,0.5000,0.2273
aido_base,421,0.3029,0.2669,1.9077,1.3517,1.7919,1.3279,0.2458,0.2193,11,0.1216,0.1263,18,0.6454,0.6116,0.3800,0.1727
esm2_base,421,0.2394,0.2789,1.9232,1.3601,1.8255,1.3450,0.2709,0.2087,11,0.1724,0.1224,18,0.6823,0.6115,0.4400,0.2000
prostt5_base,421,0.2505,0.2349,1.9083,1.3491,1.8202,1.3389,0.1736,0.1646,11,0.1291,0.0436,18,0.6365,0.6102,0.4200,0.1909
esmc600m_base,421,0.3548,0.2690,1.8000,1.3134,1.7578,1.3260,0.1755,0.1383,11,0.1316,0.1443,18,0.6729,0.5960,0.4800,0.2182
saprot_base,421,0.2430,0.1837,1.9057,1.3506,1.8238,1.3510,0.1704,0.1258,11,0.1336,0.1051,18,0.6376,0.5991,0.3800,0.1727
ankh3_large_base,421,0.0746,0.1248,2.0174,1.4233,1.8749,1.3903,0.0223,0.0512,11,-0.0082,0.0043,18,0.6620,0.4930,0.2000,0.0909
