arm,n,pearson,spearman,rmse,mae,rmse_corr,mae_corr,ps_pearson_T10,ps_spearman_T10,ps_ncomplex_T10,ps_pearson_T5,ps_spearman_T5,ps_ncomplex_T5,auroc_destab,auroc_strong,prec_at50,recall_at50,spearman_foldavg,spearman_foldavg_sd,pearson_foldavg,pearson_foldavg_sd,n_folds_scored
esmc6b_base,5801,0.4427,0.3593,2.0555,1.3707,1.8848,1.3582,0.2357,0.2058,121,0.1901,0.1606,183,0.6552,0.6974,0.8000,0.0261,0.3445,0.1034,0.4092,0.1280,3
esmc6b_foldx,5801,0.5361,0.5491,1.8404,1.2157,1.7744,1.2170,0.4626,0.4220,121,0.3821,0.3457,183,0.7323,0.8080,0.7600,0.0248,0.5468,0.0419,0.5701,0.0798,3
esmc6b_foldx_scalar,5801,0.5607,0.5256,1.9555,1.2807,1.7405,1.2180,0.4510,0.4144,121,0.3669,0.3339,183,0.7266,0.7851,0.9000,0.0294,0.5175,0.0466,0.5444,0.0911,3
ankh3_xl_base,5801,0.2392,0.2464,2.1769,1.4322,2.0409,1.4543,0.1655,0.1603,121,0.1378,0.1229,183,0.6051,0.6366,0.7000,0.0228,0.2540,0.0427,0.2638,0.0874,3
ankh3_xl_foldx,5801,0.5138,0.5388,1.8657,1.2227,1.8032,1.2237,0.4485,0.4106,121,0.3845,0.3494,183,0.7170,0.8133,0.8200,0.0267,0.5420,0.0272,0.5650,0.0699,3
ankh3_xl_foldx_scalar,5801,0.5168,0.4998,1.9689,1.2812,1.7996,1.2532,0.4412,0.4125,121,0.3640,0.3350,183,0.7105,0.7804,0.9200,0.0300,0.5099,0.0273,0.5378,0.0676,3
ankh3_large_base,5801,0.2292,0.2261,2.1821,1.4404,2.0460,1.4658,0.1723,0.1546,121,0.0985,0.0777,183,0.5988,0.6245,0.5800,0.0189,0.2309,0.0183,0.2487,0.0214,3
ankh3_large_foldx,5801,0.5033,0.5386,1.8753,1.2301,1.8163,1.2407,0.4653,0.4207,121,0.3855,0.3324,183,0.7254,0.8059,0.7800,0.0254,0.5442,0.0253,0.5568,0.0624,3
ankh3_large_foldx_scalar,5801,0.4954,0.4921,1.9915,1.2995,1.8259,1.2774,0.4392,0.3950,121,0.3611,0.3160,183,0.7089,0.7765,0.9000,0.0294,0.4984,0.0082,0.5145,0.0560,3
ankh_base,5801,0.2466,0.2126,2.1757,1.4334,2.0370,1.4669,0.1218,0.1094,121,0.1036,0.0924,183,0.6050,0.6044,0.7000,0.0228,0.2143,0.0308,0.2771,0.0749,3
ankh_foldx,5801,0.5087,0.5361,1.8534,1.2193,1.8096,1.2356,0.4442,0.4100,121,0.3805,0.3382,183,0.7229,0.8046,0.7800,0.0254,0.5362,0.0060,0.5562,0.0477,3
ankh_foldx_scalar,5801,0.5604,0.5337,1.9122,1.2573,1.7409,1.2051,0.4423,0.4177,121,0.3672,0.3372,183,0.7238,0.8041,0.9200,0.0300,0.5290,0.0297,0.5547,0.0756,3
prostt5_base,5801,0.0759,0.0797,2.1826,1.4475,2.0959,1.4982,0.0639,0.0608,121,0.0731,0.0569,183,0.5483,0.5231,0.5200,0.0170,0.1003,0.0339,0.1071,0.0221,3
prostt5_foldx,5801,0.4945,0.5344,1.8590,1.2242,1.8270,1.2378,0.4551,0.4220,121,0.3915,0.3448,183,0.7169,0.8071,0.7600,0.0248,0.5401,0.0282,0.5455,0.0598,3
prostt5_foldx_scalar,5801,0.4881,0.4970,1.9473,1.2674,1.8345,1.2632,0.4487,0.4151,121,0.3813,0.3419,183,0.7124,0.7774,0.7800,0.0254,0.5099,0.0272,0.5200,0.0515,3
saprot_base,5801,0.0861,0.1132,2.2339,1.4712,2.0941,1.4966,0.1430,0.1385,121,0.0898,0.0686,183,0.5664,0.5463,0.6000,0.0196,0.1247,0.0423,0.1232,0.0614,3
saprot_foldx,5801,0.5022,0.5244,1.8686,1.2221,1.8177,1.2297,0.4620,0.4234,121,0.3993,0.3610,183,0.7183,0.7987,0.8200,0.0267,0.5285,0.0236,0.5453,0.0664,3
saprot_foldx_scalar,5801,0.4861,0.4862,1.9897,1.2981,1.8369,1.2837,0.4417,0.4145,121,0.3577,0.3300,183,0.7024,0.7754,0.7400,0.0241,0.4911,0.0130,0.5010,0.0403,3
esm2_base,5801,0.3217,0.2902,2.1475,1.4173,1.9902,1.4211,0.1477,0.1488,121,0.1132,0.1000,183,0.6327,0.6519,0.7000,0.0228,0.2727,0.1065,0.2734,0.1160,3
esm2_foldx,5801,0.5367,0.5490,1.8328,1.2052,1.7736,1.2037,0.4455,0.4060,121,0.3801,0.3379,183,0.7255,0.8154,0.8600,0.0280,0.5461,0.0292,0.5706,0.0645,3
esm2_foldx_scalar,5801,0.5058,0.4985,1.9636,1.2833,1.8133,1.2574,0.4288,0.4018,121,0.3617,0.3301,183,0.7157,0.7794,0.8400,0.0274,0.5026,0.0190,0.5216,0.0431,3
aido_base,5801,0.2378,0.1781,2.1889,1.4431,2.0416,1.4750,0.1760,0.1565,121,0.1302,0.1079,183,0.5844,0.5845,0.6600,0.0215,0.2054,0.0563,0.2471,0.0799,3
aido_foldx,5801,0.5056,0.5343,1.8754,1.2258,1.8135,1.2319,0.4560,0.4040,121,0.3752,0.3254,183,0.7159,0.8082,0.7600,0.0248,0.5377,0.0150,0.5622,0.0529,3
aido_foldx_scalar,5801,0.5305,0.5128,1.9616,1.2770,1.7818,1.2351,0.4544,0.4156,121,0.3711,0.3292,183,0.7188,0.7879,0.7800,0.0254,0.5147,0.0035,0.5342,0.0445,3
esmc600m_base,5801,0.3292,0.2318,2.0873,1.3917,1.9848,1.4127,0.1018,0.0839,121,0.0672,0.0571,183,0.5795,0.6520,0.7800,0.0254,0.2116,0.0944,0.2934,0.1078,3
esmc600m_foldx,5801,0.3912,0.3969,1.9756,1.3078,1.9345,1.3388,0.3854,0.3493,121,0.3364,0.2956,183,0.6586,0.7332,0.6800,0.0222,0.4197,0.1133,0.4352,0.1482,3
esmc600m_foldx_scalar,5801,0.5399,0.5237,1.9230,1.2556,1.7693,1.2198,0.4260,0.3870,121,0.3585,0.3277,183,0.7197,0.8024,0.7400,0.0241,0.5127,0.0387,0.5360,0.0853,3
