arm,n,pearson,spearman,rmse,mae,rmse_corr,mae_corr,ps_pearson_T10,ps_spearman_T10,ps_ncomplex_T10,ps_pearson_T5,ps_spearman_T5,ps_ncomplex_T5,auroc_destab,auroc_strong,prec_at50,recall_at50,spearman_foldavg,spearman_foldavg_sd,pearson_foldavg,pearson_foldavg_sd,n_folds_scored
esmc6b_base,5801,0.3528,0.3092,2.2191,1.4702,1.9668,1.4176,0.1814,0.1738,121,0.1383,0.1256,183,0.6394,0.6599,0.7000,0.0228,0.2832,0.1206,0.3300,0.1204,3
esmc6b_foldx,5801,0.5690,0.5449,1.9259,1.2688,1.7285,1.1970,0.4640,0.4159,121,0.3773,0.3365,183,0.7352,0.8049,0.8400,0.0274,0.5420,0.0248,0.5696,0.0588,3
esmc6b_foldx_scalar,5801,0.5581,0.5296,1.9755,1.3099,1.7442,1.2247,0.4331,0.3954,121,0.3619,0.3271,183,0.7231,0.7988,0.8800,0.0287,0.5187,0.0330,0.5432,0.0678,3
ankh3_xl_base,5801,0.3110,0.2461,2.2355,1.4852,1.9977,1.4300,0.1403,0.1554,121,0.0813,0.0782,183,0.6065,0.6291,0.7600,0.0248,0.2332,0.0395,0.2808,0.0914,3
ankh3_large_base,5801,0.2042,0.2058,2.3288,1.5448,2.0577,1.4720,0.1794,0.1556,121,0.1219,0.1006,183,0.5891,0.6124,0.5600,0.0183,0.2131,0.0158,0.2232,0.0258,3
ankh_base,5801,0.2695,0.2346,2.2577,1.4932,2.0242,1.4497,0.1453,0.1649,121,0.1123,0.1099,183,0.6125,0.6195,0.5400,0.0176,0.2415,0.0019,0.2951,0.0648,3
ankh_foldx,5801,0.5209,0.5178,1.9364,1.2745,1.7943,1.2434,0.4459,0.4087,121,0.3783,0.3401,183,0.7218,0.7865,0.8400,0.0274,0.5232,0.0213,0.5627,0.0754,3
ankh_foldx_scalar,5801,0.5077,0.5145,1.9913,1.3104,1.8109,1.2505,0.4187,0.3936,121,0.3654,0.3396,183,0.7154,0.7915,0.9200,0.0300,0.5143,0.0297,0.5253,0.0719,3
aido_base,5801,0.1969,0.1696,2.3268,1.5357,2.0608,1.4753,0.1172,0.1104,121,0.0901,0.0888,183,0.5809,0.5848,0.6800,0.0222,0.1693,0.0232,0.1844,0.0279,3
aido_foldx,5801,0.5431,0.5323,1.9296,1.2721,1.7649,1.2199,0.4541,0.4029,121,0.3637,0.3080,183,0.7199,0.8005,0.8000,0.0261,0.5314,0.0211,0.5668,0.0714,3
aido_foldx_scalar,5801,0.5175,0.5094,2.0059,1.3125,1.7986,1.2402,0.4517,0.4020,121,0.3696,0.3213,183,0.7149,0.7862,0.7800,0.0254,0.5077,0.0110,0.5221,0.0516,3
