arm,n,pearson,spearman,rmse,mae,rmse_corr,mae_corr,ps_pearson_T10,ps_spearman_T10,ps_ncomplex_T10,ps_pearson_T5,ps_spearman_T5,ps_ncomplex_T5,auroc_destab,auroc_strong,prec_at50,recall_at50
prostt5_foldx,1636,0.6232,0.6054,2.2567,1.6740,2.1199,1.6000,0.4386,0.4442,43,0.3801,0.3465,69,0.7891,0.7856,1.0000,0.0722
ankh3_xl_foldx,1636,0.6646,0.6398,2.1464,1.5941,2.0253,1.5272,0.4246,0.4325,43,0.4067,0.4028,69,0.8127,0.8006,0.9800,0.0707
esmc6b_foldx,1636,0.6566,0.6004,2.1984,1.6592,2.0442,1.5652,0.4602,0.4232,43,0.4026,0.3521,69,0.7841,0.7751,0.9600,0.0693
prostt5_foldx_scalar,1636,0.5053,0.4960,2.6059,1.9076,2.3390,1.7708,0.4104,0.4163,43,0.4032,0.3726,69,0.7586,0.7363,0.9600,0.0693
ankh3_large_foldx,1636,0.5822,0.5611,2.4766,1.8490,2.2037,1.6695,0.4230,0.4148,43,0.3980,0.3707,69,0.7563,0.7692,0.9800,0.0707
ankh3_xl_foldx_scalar,1636,0.6391,0.5687,2.3226,1.7541,2.0847,1.5859,0.4011,0.4047,43,0.4076,0.3840,69,0.7706,0.7575,1.0000,0.0722
ankh_foldx_scalar,1636,0.6016,0.6060,2.4382,1.8432,2.1652,1.6647,0.3776,0.3967,43,0.4033,0.3903,69,0.8126,0.7733,0.9600,0.0693
ankh_foldx,1636,0.6697,0.6333,2.2086,1.6572,2.0130,1.5226,0.4089,0.3914,43,0.3659,0.3441,69,0.8035,0.7980,1.0000,0.0722
esmc6b_foldx_scalar,1636,0.5432,0.5156,2.5468,1.8847,2.2757,1.7440,0.3979,0.3905,43,0.3604,0.3201,69,0.7724,0.7125,0.9400,0.0678
esmc6b_base,1636,0.5950,0.4869,2.3647,1.7899,2.1784,1.6892,0.3830,0.3743,43,0.3269,0.2902,69,0.7327,0.7037,0.9600,0.0693
aido_foldx_scalar,1636,0.5554,0.5015,2.5315,1.9450,2.2540,1.7623,0.3465,0.3569,43,0.3332,0.3198,69,0.7384,0.7369,0.9600,0.0693
ankh3_large_foldx_scalar,1636,0.5548,0.5287,2.5044,1.8860,2.2550,1.7193,0.3794,0.3444,43,0.3706,0.3161,69,0.7564,0.7438,0.9600,0.0693
ankh_base,1636,0.5748,0.4813,2.4019,1.8104,2.2180,1.7086,0.3743,0.3402,43,0.3395,0.3165,69,0.7481,0.7051,1.0000,0.0722
ankh3_xl_base,1636,0.5798,0.4557,2.4272,1.8353,2.2085,1.7129,0.3203,0.3394,43,0.2912,0.3011,69,0.7220,0.6907,1.0000,0.0722
aido_foldx,1636,0.5929,0.5244,2.3727,1.7952,2.1826,1.6627,0.3528,0.3234,43,0.2858,0.2676,69,0.7227,0.7625,0.9400,0.0678
saprot_foldx_scalar,1636,0.3489,0.3770,2.9878,2.2207,2.5401,1.9436,0.3033,0.3078,43,0.2888,0.2663,69,0.6680,0.6904,0.7400,0.0534
prostt5_base,1636,0.4777,0.3233,2.6239,1.9132,2.3812,1.8243,0.2624,0.2765,43,0.2615,0.2390,69,0.6961,0.6193,1.0000,0.0722
ankh3_large_base,1636,0.5624,0.4536,2.4949,1.8889,2.2412,1.7184,0.2852,0.2722,43,0.2576,0.2274,69,0.7046,0.7040,0.9800,0.0707
saprot_foldx,1636,0.3049,0.3414,2.8748,2.1102,2.5814,1.9574,0.3071,0.2685,43,0.2842,0.2608,69,0.6465,0.6811,0.7600,0.0548
aido_base,1636,0.4631,0.3482,2.6647,1.9767,2.4022,1.8445,0.2886,0.2633,43,0.1882,0.1816,69,0.6720,0.6594,0.9800,0.0707
saprot_base,1636,0.1597,0.2530,3.1378,2.3079,2.6757,2.0534,0.1968,0.1758,43,0.2048,0.1758,69,0.6013,0.6303,0.7400,0.0534
