arm,n,pearson,spearman,rmse,mae,rmse_corr,mae_corr,ps_pearson_T10,ps_spearman_T10,ps_ncomplex_T10,ps_pearson_T5,ps_spearman_T5,ps_ncomplex_T5,auroc_destab,auroc_strong,prec_at50,recall_at50
ankh_foldx,1636,0.5486,0.5733,2.4747,1.7993,2.2662,1.6907,0.3796,0.3550,43,0.3473,0.3022,69,0.7718,0.7924,0.9000,0.0649
prostt5_foldx_scalar,1636,0.5148,0.5561,2.7603,1.9813,2.3237,1.7319,0.3670,0.3435,43,0.3043,0.2562,69,0.7806,0.7862,0.8600,0.0620
prostt5_foldx,1636,0.5205,0.5744,2.4817,1.8002,2.3143,1.7225,0.3486,0.3418,43,0.3180,0.2980,69,0.7642,0.7951,0.7800,0.0563
ankh_foldx_scalar,1636,0.4490,0.5113,2.8657,2.0892,2.4219,1.8266,0.3605,0.3307,43,0.3252,0.2963,69,0.7784,0.7457,0.6600,0.0476
ankh3_xl_foldx,1636,0.5173,0.5662,2.5923,1.8808,2.3196,1.7244,0.3567,0.3245,43,0.3038,0.2611,69,0.7583,0.7998,0.8400,0.0606
esmc6b_foldx,1636,0.5448,0.5817,2.6096,1.9043,2.2729,1.7051,0.3578,0.3197,43,0.3137,0.2502,69,0.7701,0.7917,0.8600,0.0620
ankh3_large_foldx_scalar,1636,0.4313,0.4968,2.9513,2.1598,2.4454,1.8321,0.3264,0.3087,43,0.2950,0.2713,69,0.7501,0.7619,0.8200,0.0592
ankh3_large_foldx,1636,0.4793,0.5346,2.6365,1.8961,2.3788,1.7613,0.3134,0.2877,43,0.2933,0.2507,69,0.7543,0.7805,0.8600,0.0620
aido_foldx_scalar,1636,0.3764,0.4384,3.0675,2.2757,2.5111,1.8794,0.3115,0.2875,43,0.2675,0.2180,69,0.7133,0.7360,0.7800,0.0563
ankh3_xl_foldx_scalar,1636,0.3410,0.4439,3.0398,2.2233,2.5480,1.9100,0.2770,0.2726,43,0.2192,0.2007,69,0.7444,0.7209,0.8000,0.0577
esmc6b_foldx_scalar,1636,0.4470,0.4921,2.8647,2.1029,2.4246,1.8484,0.2954,0.2697,43,0.2518,0.2218,69,0.7436,0.7422,0.7000,0.0505
saprot_foldx_scalar,1636,0.0404,0.2593,3.2256,2.3055,2.7082,2.0804,0.2285,0.2263,43,0.1878,0.1776,69,0.6651,0.6273,0.5800,0.0418
ankh3_large_base,1636,0.1253,0.2285,3.1413,2.3167,2.6891,2.0499,0.1924,0.2010,43,0.0962,0.0911,69,0.6104,0.6224,0.4800,0.0346
saprot_foldx,1636,0.3264,0.3535,2.8432,2.0905,2.5620,1.9619,0.2374,0.1944,43,0.1799,0.1302,69,0.6680,0.6769,0.8200,0.0592
aido_foldx,1636,0.4101,0.3623,2.8435,2.1255,2.4720,1.8923,0.1731,0.1723,43,0.1273,0.1104,69,0.6430,0.6920,0.8000,0.0577
ankh3_xl_base,1636,0.2411,0.1751,3.1296,2.3331,2.6305,2.0010,0.1479,0.1445,43,0.0344,0.0378,69,0.5694,0.5953,0.8000,0.0577
esmc6b_base,1636,0.2880,0.3315,2.9869,2.2014,2.5956,2.0223,0.1493,0.1374,43,0.0515,0.0253,69,0.6623,0.6435,0.6000,0.0433
ankh_base,1636,0.2124,0.1452,3.1484,2.3293,2.6486,2.0437,0.1075,0.0914,43,0.1319,0.1423,69,0.5843,0.5687,0.7000,0.0505
prostt5_base,1636,0.0350,0.0630,3.0867,2.2742,2.7088,2.0857,0.1031,0.0668,43,0.0582,0.0132,69,0.5254,0.5342,0.4000,0.0289
aido_base,1636,0.1914,0.2057,3.1182,2.3033,2.6603,2.0253,0.0678,0.0532,43,-0.0261,-0.0585,69,0.6218,0.6103,0.7200,0.0519
saprot_base,1636,-0.0739,0.1279,3.3078,2.3667,2.7030,2.0864,-0.0027,-0.0083,43,-0.0039,-0.0227,69,0.5938,0.5640,0.5000,0.0361
