arm,n,pearson,spearman,rmse,mae,rmse_corr,mae_corr,ps_pearson_T10,ps_spearman_T10,ps_ncomplex_T10,ps_pearson_T5,ps_spearman_T5,ps_ncomplex_T5,auroc_destab,auroc_strong,prec_at50,recall_at50,spearman_foldavg,spearman_foldavg_sd,pearson_foldavg,pearson_foldavg_sd,n_folds_scored
esmc6b_base,4165,0.6095,0.4201,1.4617,0.9932,1.3866,0.9886,0.3364,0.3096,96,0.2880,0.2341,147,0.6782,0.7454,0.9600,0.0571,0.4234,0.0860,0.5782,0.1071,3
esmc6b_foldx,4165,0.6183,0.5558,1.4023,0.9314,1.3747,0.9479,0.5203,0.4566,96,0.4538,0.4000,147,0.7230,0.8293,0.8200,0.0488,0.5597,0.0095,0.6218,0.0360,3
esmc6b_foldx_scalar,4165,0.6250,0.5353,1.4725,0.9663,1.3653,0.9585,0.5036,0.4509,96,0.4385,0.4006,147,0.7263,0.8087,0.8200,0.0488,0.5388,0.0285,0.6220,0.0564,3
ankh3_xl_base,4165,0.5819,0.4103,1.4633,0.9875,1.4224,1.0090,0.3013,0.2679,96,0.2971,0.2634,147,0.6733,0.7249,0.8600,0.0512,0.4058,0.1039,0.5447,0.1095,3
ankh3_xl_foldx,4165,0.6219,0.5631,1.4698,0.9682,1.3696,0.9568,0.5040,0.4544,96,0.4281,0.3922,147,0.7367,0.8302,0.9400,0.0560,0.5690,0.0340,0.6291,0.0635,3
ankh3_xl_foldx_scalar,4165,0.6289,0.5527,1.4183,0.9461,1.3598,0.9564,0.5109,0.4625,96,0.4546,0.4175,147,0.7377,0.8203,0.9600,0.0571,0.5574,0.0398,0.6218,0.0663,3
ankh3_large_base,4165,0.5635,0.3428,1.5122,1.0160,1.4449,1.0330,0.2283,0.2030,96,0.2121,0.1835,147,0.6544,0.6944,0.8600,0.0512,0.3347,0.1321,0.5426,0.0891,3
ankh3_large_foldx,4165,0.5759,0.5466,1.5972,1.0212,1.4298,1.0003,0.4948,0.4488,96,0.4361,0.3943,147,0.7321,0.8209,0.9000,0.0536,0.5530,0.0379,0.5957,0.0716,3
ankh3_large_foldx_scalar,4165,0.5935,0.5132,1.5175,0.9930,1.4076,0.9910,0.4710,0.4356,96,0.4047,0.3880,147,0.7250,0.7887,0.9400,0.0560,0.5213,0.0293,0.6080,0.0640,3
ankh_base,4165,0.5678,0.3855,1.4944,1.0032,1.4397,1.0246,0.3328,0.2843,96,0.2913,0.2649,147,0.6688,0.7149,0.7800,0.0464,0.3893,0.0911,0.5477,0.0809,3
ankh_foldx,4165,0.6395,0.5619,1.3739,0.9287,1.3447,0.9334,0.4837,0.4436,96,0.4357,0.3976,147,0.7320,0.8405,0.8200,0.0488,0.5630,0.0333,0.6345,0.0507,3
