arm,n,pearson,spearman,rmse,mae,rmse_corr,mae_corr,ps_pearson_T10,ps_spearman_T10,ps_ncomplex_T10,ps_pearson_T5,ps_spearman_T5,ps_ncomplex_T5,auroc_destab,auroc_strong,prec_at50,recall_at50,spearman_foldavg,spearman_foldavg_sd,pearson_foldavg,pearson_foldavg_sd,n_folds_scored
esmc6b_base,4165,0.3996,0.2487,1.6834,1.1015,1.6032,1.1332,0.2303,0.1934,96,0.2013,0.1682,147,0.6185,0.6325,0.5400,0.0321,0.2630,0.0864,0.3413,0.1347,3
esmc6b_foldx,4165,0.5217,0.4839,1.5432,1.0032,1.4921,1.0100,0.5065,0.4463,96,0.4214,0.3726,147,0.7081,0.7799,0.7800,0.0464,0.5036,0.0297,0.5237,0.0843,3
esmc6b_foldx_scalar,4165,0.5483,0.4720,1.5742,1.0169,1.4626,1.0054,0.4797,0.4166,96,0.4277,0.3672,147,0.6976,0.7769,0.7800,0.0464,0.4687,0.0371,0.5020,0.0771,3
ankh3_xl_base,4165,0.3757,0.2470,1.7065,1.1079,1.6208,1.1361,0.1377,0.1438,96,0.1423,0.1206,147,0.6094,0.6372,0.7000,0.0417,0.2248,0.1138,0.2462,0.1615,3
ankh3_xl_foldx,4165,0.4939,0.4817,1.5574,0.9997,1.5208,1.0074,0.4928,0.4314,96,0.4197,0.3748,147,0.6983,0.7892,0.7200,0.0429,0.4897,0.0309,0.5034,0.0486,3
ankh3_xl_foldx_scalar,4165,0.4749,0.4489,1.6348,1.0393,1.5392,1.0473,0.4529,0.4109,96,0.3962,0.3647,147,0.6897,0.7596,0.7200,0.0429,0.4557,0.0412,0.4617,0.0355,3
ankh3_large_base,4165,0.1456,0.0928,1.7984,1.1643,1.7303,1.2135,0.1040,0.0920,96,0.0745,0.0710,147,0.5608,0.5418,0.3200,0.0190,0.1085,0.0173,0.1545,0.0631,3
ankh3_large_foldx,4165,0.4634,0.4657,1.5836,1.0132,1.5499,1.0248,0.4924,0.4386,96,0.4200,0.3705,147,0.6931,0.7740,0.6600,0.0393,0.4759,0.0244,0.4866,0.0250,3
ankh3_large_foldx_scalar,4165,0.4402,0.4111,1.6574,1.0579,1.5704,1.0744,0.4351,0.3883,96,0.3789,0.3422,147,0.6785,0.7314,0.7400,0.0440,0.4279,0.0157,0.4488,0.0235,3
ankh_base,4165,0.2598,0.1859,1.7642,1.1390,1.6889,1.1822,0.1453,0.1417,96,0.1413,0.1303,147,0.5902,0.5989,0.4600,0.0274,0.1892,0.0515,0.2224,0.0763,3
ankh_foldx,4165,0.5290,0.5092,1.5244,0.9881,1.4842,0.9864,0.4798,0.4275,96,0.4078,0.3684,147,0.7097,0.8087,0.7000,0.0417,0.5050,0.0443,0.5219,0.0828,3
ankh_foldx_scalar,4165,0.4822,0.4660,1.6104,1.0313,1.5322,1.0423,0.4298,0.4059,96,0.3847,0.3656,147,0.6980,0.7708,0.6200,0.0369,0.4622,0.0443,0.4570,0.0810,3
prostt5_base,4165,0.0857,0.0316,1.7768,1.1622,1.7425,1.2088,0.0465,0.0537,96,0.0526,0.0597,147,0.5166,0.5339,0.3800,0.0226,0.0710,0.0391,0.1027,0.0631,3
prostt5_foldx,4165,0.4583,0.4802,1.5723,1.0050,1.5545,1.0194,0.5031,0.4437,96,0.4256,0.3721,147,0.7007,0.7848,0.6200,0.0369,0.4921,0.0200,0.4968,0.0198,3
prostt5_foldx_scalar,4165,0.4386,0.4300,1.6092,1.0414,1.5717,1.0625,0.4591,0.4097,96,0.4063,0.3742,147,0.6889,0.7407,0.6600,0.0393,0.4527,0.0313,0.4521,0.0067,3
saprot_base,4165,0.0813,0.0331,1.8060,1.1708,1.7432,1.2074,0.0797,0.0820,96,0.0381,0.0546,147,0.5222,0.5144,0.3600,0.0214,0.0536,0.0279,0.0873,0.0473,3
saprot_foldx,4165,0.4839,0.4828,1.5568,1.0003,1.5305,1.0068,0.4945,0.4270,96,0.4199,0.3616,147,0.7005,0.7885,0.6600,0.0393,0.4921,0.0236,0.4985,0.0325,3
saprot_foldx_scalar,4165,0.4094,0.3862,1.6690,1.0676,1.5957,1.0981,0.4356,0.3923,96,0.3709,0.3313,147,0.6697,0.7113,0.7200,0.0429,0.4096,0.0370,0.4249,0.0108,3
esm2_base,4165,0.2272,0.2308,1.7575,1.1375,1.7032,1.1803,0.0804,0.1193,96,0.1040,0.1238,147,0.6185,0.6117,0.4200,0.0250,0.2126,0.1067,0.1634,0.0926,3
esm2_foldx,4165,0.4888,0.4880,1.5630,0.9998,1.5258,1.0118,0.4901,0.4323,96,0.4136,0.3670,147,0.7079,0.7862,0.7000,0.0417,0.5012,0.0277,0.5052,0.0440,3
esm2_foldx_scalar,4165,0.4904,0.4565,1.6106,1.0353,1.5242,1.0398,0.4250,0.3949,96,0.3858,0.3666,147,0.6918,0.7675,0.6800,0.0405,0.4524,0.0409,0.4604,0.0609,3
aido_base,4165,0.2330,0.1823,1.7666,1.1400,1.7009,1.1835,0.1172,0.1201,96,0.0948,0.0784,147,0.5740,0.6300,0.4400,0.0262,0.1451,0.1222,0.1555,0.1124,3
aido_foldx,4165,0.4973,0.4874,1.5532,0.9998,1.5173,1.0053,0.4960,0.4283,96,0.4195,0.3655,147,0.7026,0.7919,0.6800,0.0405,0.4899,0.0225,0.5054,0.0506,3
