tier,arm,rho,lo,hi,n_cplx,n_mut,coverage,rho_covered_only,d_vs_foldx,d_lo,d_hi,n_shared
fullSK CATH-all,FoldX alone,0.3829,0.2461,0.5208,13,687,0.9985,0.3829,,,,
fullSK CATH-all,MuLAN base,0.3308,0.1909,0.4550,13,687,,,-0.0521,-0.1726,0.0747,13
fullSK CATH-all,MuLAN fx_mlp,0.3865,0.2070,0.5564,13,687,,,0.0036,-0.0843,0.0843,13
fullSK CATH-all,MuLAN fx_scalar,0.3815,0.1884,0.5578,13,687,,,-0.0014,-0.1010,0.0971,13
fullSK CATH-single,FoldX alone,0.3984,0.2774,0.5172,11,421,0.9976,0.3984,,,,
fullSK CATH-single,MuLAN base,0.3211,0.2045,0.4206,11,421,,,-0.0773,-0.1948,0.0452,11
fullSK CATH-single,MuLAN fx_mlp,0.4548,0.3203,0.5857,11,421,,,0.0564,-0.0163,0.1288,11
fullSK CATH-single,MuLAN fx_scalar,0.4196,0.2561,0.5682,11,421,,,0.0211,-0.0779,0.1213,11
fullSK CATH-multiple,FoldX alone,0.5397,0.3278,0.7516,5,266,1.0000,0.5397,,,,
fullSK CATH-multiple,MuLAN base,0.4444,0.2737,0.6596,5,266,,,-0.0953,-0.2762,0.0647,5
fullSK CATH-multiple,MuLAN fx_mlp,0.5886,0.4653,0.7395,5,266,,,0.0489,-0.1089,0.1725,5
fullSK CATH-multiple,MuLAN fx_scalar,0.4992,0.2941,0.7043,5,266,,,-0.0405,-0.0744,0.0031,5
fullSK clustered-SP,FoldX alone,0.3628,0.3158,0.4101,96,4165,0.8776,0.3946,,,,
fullSK clustered-SP,MuLAN base,0.1417,0.0831,0.2005,96,4165,,,-0.2211,-0.2840,-0.1599,96
fullSK clustered-SP,MuLAN fx_mlp,0.3595,0.2988,0.4182,96,4165,,,-0.0033,-0.0433,0.0336,96
fullSK clustered-SP,MuLAN fx_scalar,0.3544,0.3023,0.4078,96,4165,,,-0.0084,-0.0351,0.0186,96
fullSK bycomplex-SP,FoldX alone,0.3628,0.3158,0.4101,96,4165,0.8776,0.3946,,,,
fullSK bycomplex-SP,MuLAN base,0.2843,0.2199,0.3467,96,4165,,,-0.0785,-0.1551,-0.0064,96
fullSK bycomplex-SP,MuLAN fx_mlp,0.4027,0.3467,0.4569,96,4165,,,0.0399,-0.0001,0.0783,96
fullSK bycomplex-SP,MuLAN fx_scalar,0.4087,0.3535,0.4619,96,4165,,,0.0459,0.0082,0.0845,96
fullSK MP-bycomplex,FoldX alone,0.3933,0.2938,0.4899,42,1636,0.9872,0.3933,,,,
fullSK MP-bycomplex,MuLAN base,0.3402,0.2311,0.4503,43,1636,,,-0.0408,-0.1594,0.0762,42
fullSK MP-bycomplex,MuLAN fx_mlp,0.3914,0.2771,0.4974,43,1636,,,0.0141,-0.0722,0.0998,42
fullSK MP-bycomplex,MuLAN fx_scalar,0.3967,0.2868,0.4977,43,1636,,,0.0181,-0.0760,0.1145,42
fullSK MP-clustered,FoldX alone,0.3933,0.2938,0.4899,42,1636,0.9872,0.3933,,,,
fullSK MP-clustered,MuLAN base,0.0914,0.0089,0.1739,43,1636,,,-0.2944,-0.4089,-0.1779,42
fullSK MP-clustered,MuLAN fx_mlp,0.3550,0.2586,0.4457,43,1636,,,-0.0326,-0.0933,0.0281,42
fullSK MP-clustered,MuLAN fx_scalar,0.3307,0.2295,0.4232,43,1636,,,-0.0666,-0.1278,-0.0100,42
S1102 by-complex,FoldX alone,0.4425,0.3585,0.5177,24,1100,1.0000,0.4425,,,,
S1102 by-complex,MuLAN base,0.2888,0.1510,0.4247,24,1100,,,-0.1537,-0.3271,0.0238,24
S1102 by-complex,MuLAN fx_mlp,0.4820,0.3913,0.5667,24,1100,,,0.0395,-0.0595,0.1442,24
S1102 by-complex,MuLAN fx_scalar,0.4947,0.3950,0.5821,24,1100,,,0.0522,-0.0558,0.1627,24
S1102 clustered,FoldX alone,0.4425,0.3585,0.5177,24,1100,1.0000,0.4425,,,,
S1102 clustered,MuLAN base,0.1265,0.0169,0.2252,24,1100,,,-0.3160,-0.4549,-0.1715,24
S1102 clustered,MuLAN fx_mlp,0.4325,0.3638,0.4941,24,1100,,,-0.0100,-0.0837,0.0695,24
S1102 clustered,MuLAN fx_scalar,0.4264,0.3591,0.4940,24,1100,,,-0.0161,-0.0924,0.0598,24
