tier,model,arm,rho,lo,hi,n_cplx,n_mut,coverage,rho_covered_only,d_vs_foldx,d_lo,d_hi,n_shared
fullSK CATH-all,—,FoldX alone,0.3829,0.2461,0.5208,13,687,0.9985,0.3829,,,,
fullSK CATH-all,ankh,base,0.3308,0.1909,0.4550,13,687,,,-0.0521,-0.1726,0.0747,13
fullSK CATH-all,ankh,fx_mlp,0.3865,0.2070,0.5564,13,687,,,0.0036,-0.0843,0.0843,13
fullSK CATH-all,ankh,fx_scalar,0.3815,0.1884,0.5578,13,687,,,-0.0014,-0.1010,0.0971,13
fullSK CATH-all,esmc6b,base,0.3596,0.2586,0.4739,13,687,,,-0.0233,-0.1324,0.0883,13
fullSK CATH-all,esmc6b,fx_mlp,0.4675,0.3370,0.5917,13,687,,,0.0846,-0.0011,0.1793,13
fullSK CATH-all,esmc6b,fx_scalar,0.4680,0.3507,0.5886,13,687,,,0.0851,0.0086,0.1673,13
fullSK CATH-all,ankh3_large,base,0.1480,0.0043,0.2955,13,687,,,-0.2349,-0.3540,-0.1114,13
fullSK CATH-all,ankh3_large,fx_mlp,0.3925,0.2177,0.5490,13,687,,,0.0096,-0.0829,0.0969,13
fullSK CATH-all,ankh3_large,fx_scalar,0.3800,0.2169,0.5295,13,687,,,-0.0029,-0.0824,0.0733,13
fullSK CATH-all,ankh3_xl,base,0.2664,0.0663,0.4614,13,687,,,-0.1165,-0.2980,0.0736,13
fullSK CATH-all,ankh3_xl,fx_mlp,0.3826,0.1966,0.5447,13,687,,,-0.0003,-0.1216,0.1062,13
fullSK CATH-all,ankh3_xl,fx_scalar,0.4166,0.2675,0.5520,13,687,,,0.0337,-0.0664,0.1519,13
fullSK CATH-all,aido,base,0.2483,0.0990,0.3925,13,687,,,-0.1346,-0.2558,-0.0192,13
fullSK CATH-all,aido,fx_mlp,0.4012,0.2168,0.5662,13,687,,,0.0183,-0.0973,0.1280,13
fullSK CATH-all,aido,fx_scalar,0.4090,0.2859,0.5323,13,687,,,0.0261,-0.0327,0.0910,13
fullSK CATH-all,esmc600m,base,0.1172,-0.0743,0.3181,13,687,,,-0.2657,-0.4246,-0.1105,13
fullSK CATH-all,esmc600m,fx_mlp,0.2956,0.0971,0.4886,13,687,,,-0.0873,-0.2088,0.0354,13
fullSK CATH-all,esmc600m,fx_scalar,0.3411,0.1699,0.5043,13,687,,,-0.0418,-0.1523,0.0666,13
fullSK CATH-all,esm2,base,0.2427,0.0434,0.4256,13,687,,,-0.1402,-0.3207,0.0289,13
fullSK CATH-all,esm2,fx_mlp,0.3622,0.1751,0.5375,13,687,,,-0.0207,-0.1362,0.0884,13
fullSK CATH-all,esm2,fx_scalar,0.3285,0.1680,0.4803,13,687,,,-0.0544,-0.1470,0.0492,13
fullSK CATH-all,prostt5,base,0.0704,-0.1241,0.2426,13,687,,,-0.3125,-0.4876,-0.1307,13
fullSK CATH-all,prostt5,fx_mlp,0.3932,0.2285,0.5482,13,687,,,0.0103,-0.0732,0.0792,13
fullSK CATH-all,prostt5,fx_scalar,0.4356,0.3081,0.5592,13,687,,,0.0526,0.0019,0.1366,13
