arm,n,pearson,spearman,rmse,mae,rmse_corr,mae_corr,ps_pearson_T10,ps_spearman_T10,ps_ncomplex_T10,ps_pearson_T5,ps_spearman_T5,ps_ncomplex_T5,auroc_destab,auroc_strong,prec_at50,recall_at50
consensus_foldxmlp,1100,0.8807,0.8080,1.1413,0.8247,1.1319,0.8197,0.6324,0.5858,24,0.5185,0.4866,37,0.8803,0.9082,1.0000,0.1618
esmc6b_foldx_scalar,1100,0.8925,0.8137,1.0824,0.7775,1.0780,0.7799,0.5857,0.5789,24,0.4652,0.4330,37,0.8895,0.9048,1.0000,0.1618
prostt5_foldxmlp,1100,0.8420,0.7492,1.2899,0.9373,1.2889,0.9386,0.6077,0.5679,24,0.5319,0.4882,37,0.8528,0.8778,1.0000,0.1618
esm2_foldxmlp,1100,0.8570,0.7684,1.2334,0.8952,1.2314,0.8941,0.5552,0.5638,24,0.4305,0.4282,37,0.8581,0.8916,1.0000,0.1618
esmc6b_foldxmlp,1100,0.8900,0.8176,1.0909,0.7811,1.0894,0.7823,0.6066,0.5636,24,0.4995,0.4447,37,0.8860,0.9083,1.0000,0.1618
saprot_foldxmlp,1100,0.8667,0.7873,1.1938,0.8625,1.1918,0.8623,0.5704,0.5465,24,0.4778,0.4553,37,0.8751,0.8923,1.0000,0.1618
ankh_foldxmlp,1100,0.8602,0.7820,1.2243,0.8826,1.2186,0.8794,0.5383,0.5212,24,0.4342,0.4345,37,0.8695,0.8967,0.9800,0.1586
esmc600m_foldxmlp,1100,0.8583,0.7723,1.2297,0.8922,1.2263,0.8935,0.5474,0.5081,24,0.4668,0.4095,37,0.8604,0.8921,1.0000,0.1618
esmc6b_base,1100,0.8862,0.8031,1.1115,0.7970,1.1072,0.8000,0.5056,0.4888,24,0.4015,0.3641,37,0.8900,0.8942,0.9800,0.1586
esmc6b_aug,1100,0.8849,0.7952,1.1227,0.7963,1.1128,0.7967,0.4993,0.4639,24,0.3978,0.3510,37,0.8895,0.8927,1.0000,0.1618
consensus_aug,1100,0.8765,0.7913,1.1752,0.8333,1.1502,0.8271,0.4972,0.4502,24,0.3671,0.3207,37,0.8839,0.8919,1.0000,0.1618
consensus_base,1100,0.8703,0.7881,1.1934,0.8569,1.1769,0.8551,0.4783,0.4459,24,0.3615,0.3442,37,0.8783,0.8919,1.0000,0.1618
prostt5_aug,1100,0.8370,0.7187,1.3459,0.9406,1.3077,0.9339,0.4499,0.4349,24,0.4158,0.3731,37,0.8581,0.8546,1.0000,0.1618
esm2_aug,1100,0.8489,0.7437,1.2780,0.8988,1.2632,0.9052,0.4298,0.4216,24,0.2809,0.2876,37,0.8577,0.8645,0.9800,0.1586
prostt5_base,1100,0.8293,0.7145,1.3592,0.9683,1.3351,0.9662,0.4172,0.4124,24,0.3472,0.3501,37,0.8448,0.8579,1.0000,0.1618
ankh_base,1100,0.8435,0.7515,1.2936,0.9225,1.2835,0.9231,0.4030,0.3874,24,0.3100,0.3347,37,0.8554,0.8778,0.9800,0.1586
saprot_aug,1100,0.8608,0.7526,1.2340,0.8884,1.2160,0.8823,0.4076,0.3822,24,0.2773,0.2867,37,0.8616,0.8719,0.9800,0.1586
saprot_base,1100,0.8559,0.7470,1.2445,0.8998,1.2357,0.9019,0.3761,0.3771,24,0.2274,0.2136,37,0.8595,0.8672,1.0000,0.1618
esmc600m_aug,1100,0.8407,0.7229,1.3215,0.9375,1.2940,0.9332,0.3898,0.3550,24,0.2813,0.2623,37,0.8425,0.8670,1.0000,0.1618
esm2_base,1100,0.8379,0.7200,1.3125,0.9374,1.3041,0.9445,0.3812,0.3545,24,0.2430,0.2216,37,0.8410,0.8610,0.9800,0.1586
ankh_aug,1100,0.8443,0.7389,1.3032,0.9263,1.2804,0.9209,0.3895,0.3315,24,0.3053,0.2613,37,0.8570,0.8660,0.9600,0.1553
esmc600m_base,1100,0.8412,0.7231,1.3067,0.9419,1.2921,0.9444,0.3534,0.3254,24,0.2588,0.2519,37,0.8447,0.8642,0.9800,0.1586
mint_complex,1100,0.8560,0.7334,1.2442,0.8723,1.2353,0.8764,0.3380,0.3096,24,0.2351,0.2198,37,0.8536,0.8647,1.0000,0.1618
mint_mono,1100,0.8206,0.7030,1.3758,0.9767,1.3655,0.9789,0.2862,0.2847,24,0.1865,0.1899,37,0.8393,0.8491,0.9600,0.1553
