arm,n,pearson,spearman,rmse,mae,rmse_corr,mae_corr,ps_pearson_T10,ps_spearman_T10,ps_ncomplex_T10,ps_pearson_T5,ps_spearman_T5,ps_ncomplex_T5,auroc_destab,auroc_strong,prec_at50,recall_at50
saprot_foldx_scalar,1100,0.7346,0.5962,1.7325,1.2716,1.6213,1.1931,0.5577,0.5520,24,0.4559,0.4616,37,0.7757,0.8016,0.9400,0.1521
esmc6b_foldx,1100,0.7721,0.6838,1.5848,1.1184,1.5186,1.0795,0.5645,0.5511,24,0.5041,0.4704,37,0.8308,0.8398,0.9400,0.1521
prostt5_foldx_scalar,1100,0.5743,0.5732,2.0420,1.3613,1.9561,1.3169,0.5713,0.5493,24,0.5239,0.4755,37,0.7853,0.7880,0.8800,0.1424
esmc6b_foldx_scalar,1100,0.7731,0.6674,1.5946,1.1268,1.5155,1.0918,0.5606,0.5464,24,0.4918,0.4811,37,0.8223,0.8310,0.9400,0.1521
ankh3_xl_foldx_scalar,1100,0.7216,0.6098,1.7102,1.2410,1.6544,1.2103,0.5312,0.5401,24,0.4968,0.4873,37,0.7898,0.8060,0.9200,0.1489
esmc600m_foldx_scalar,1100,0.7426,0.6037,1.6570,1.2049,1.6004,1.1793,0.5504,0.5282,24,0.4531,0.4128,37,0.7858,0.8072,0.9600,0.1553
ankh3_large_foldx_scalar,1100,0.7380,0.5880,1.7058,1.2413,1.6126,1.1819,0.5126,0.5231,24,0.4902,0.4777,37,0.7860,0.7924,0.9800,0.1586
ankh_foldx_scalar,1100,0.7485,0.6504,1.6311,1.1677,1.5845,1.1574,0.5023,0.4947,24,0.4830,0.4549,37,0.8076,0.8310,0.9600,0.1553
esmc600m_foldx,1100,0.7236,0.6539,1.7832,1.2693,1.6493,1.2006,0.4895,0.4941,24,0.4196,0.4000,37,0.8139,0.8272,0.9000,0.1456
saprot_foldx,1100,0.7377,0.6176,1.6489,1.1969,1.6132,1.1797,0.5252,0.4913,24,0.4895,0.4690,37,0.7868,0.8120,0.9400,0.1521
ankh_foldx,1100,0.7492,0.6807,1.6110,1.1478,1.5827,1.1366,0.4868,0.4820,24,0.4305,0.4211,37,0.8219,0.8455,0.8800,0.1424
esm2_foldx_scalar,1100,0.6883,0.5992,1.9197,1.3833,1.7333,1.2729,0.4776,0.4802,24,0.4528,0.4492,37,0.7915,0.7988,0.9000,0.1456
esm2_foldx,1100,0.7242,0.5974,1.7025,1.2497,1.6478,1.2109,0.4848,0.4740,24,0.4517,0.4311,37,0.7845,0.7981,0.9400,0.1521
ankh3_xl_foldx,1100,0.7422,0.6414,1.6189,1.1684,1.6014,1.1695,0.4859,0.4566,24,0.4906,0.4392,37,0.8038,0.8230,0.9800,0.1586
prostt5_foldx,1100,0.7029,0.6365,1.9117,1.3911,1.6997,1.2475,0.4961,0.4530,24,0.4773,0.4246,37,0.8033,0.8229,0.9800,0.1586
esmc6b_base,1100,0.7404,0.6301,1.6573,1.1678,1.6061,1.1630,0.4643,0.4520,24,0.3633,0.3564,37,0.8030,0.8155,0.9000,0.1456
ankh3_large_foldx,1100,0.7339,0.6208,1.6479,1.1914,1.6230,1.1790,0.4487,0.4357,24,0.4541,0.4370,37,0.7984,0.8133,0.9600,0.1553
ankh3_xl_base,1100,0.7243,0.5728,1.7206,1.2373,1.6474,1.2086,0.3458,0.3495,24,0.3385,0.3545,37,0.7793,0.7861,0.9600,0.1553
esm2_base,1100,0.6891,0.5484,1.9035,1.3970,1.7315,1.2850,0.3131,0.3250,24,0.3112,0.2804,37,0.7650,0.7784,0.9800,0.1586
saprot_base,1100,0.7191,0.5714,1.7139,1.2570,1.6606,1.2353,0.3443,0.3249,24,0.2498,0.2550,37,0.7662,0.7933,0.8800,0.1424
mint_base,1100,0.6986,0.5024,1.8131,1.3136,1.7098,1.2620,0.3285,0.3164,24,0.2999,0.2643,37,0.7348,0.7574,0.9000,0.1456
prostt5_base,1100,0.6872,0.5431,1.8796,1.3487,1.7359,1.2563,0.3577,0.2962,24,0.3457,0.2866,37,0.7592,0.7833,0.9200,0.1489
ankh_base,1100,0.7176,0.6056,1.7021,1.2003,1.6641,1.1976,0.3108,0.2888,24,0.3096,0.2838,37,0.7883,0.8050,0.9000,0.1456
esmc600m_base,1100,0.7278,0.5787,1.6753,1.1994,1.6388,1.2010,0.2829,0.2832,24,0.2319,0.2439,37,0.7725,0.7973,0.9000,0.1456
ankh3_large_base,1100,0.7059,0.5440,1.7777,1.2820,1.6925,1.2329,0.2911,0.2811,24,0.2995,0.2933,37,0.7689,0.7710,0.9400,0.1521
