arm,n,pearson,spearman,rmse,mae,rmse_corr,mae_corr,ps_pearson_T10,ps_spearman_T10,ps_ncomplex_T10,ps_pearson_T5,ps_spearman_T5,ps_ncomplex_T5,auroc_destab,auroc_strong,prec_at50,recall_at50
ankh3_xl_foldx,1100,0.5090,0.4465,2.2131,1.4663,2.0569,1.4193,0.4623,0.4758,24,0.4485,0.4258,37,0.6725,0.7457,0.8800,0.1424
saprot_foldx,1100,0.5036,0.4743,2.1926,1.4562,2.0644,1.4440,0.4690,0.4712,24,0.4615,0.4335,37,0.7017,0.7370,0.8400,0.1359
ankh3_xl_foldx_scalar,1100,0.4586,0.4304,2.3175,1.5518,2.1234,1.4439,0.4619,0.4702,24,0.4679,0.4579,37,0.6654,0.7430,0.8400,0.1359
esm2_foldx,1100,0.5486,0.5277,2.1817,1.4492,1.9979,1.3815,0.4594,0.4622,24,0.4420,0.4009,37,0.7215,0.7810,0.9000,0.1456
esmc600m_foldx_scalar,1100,0.4304,0.5133,2.2576,1.5008,2.1569,1.4502,0.4827,0.4602,24,0.4208,0.3832,37,0.7321,0.7622,0.7000,0.1133
esmc6b_foldx_scalar,1100,0.6480,0.5160,2.2393,1.5271,1.8199,1.3243,0.4762,0.4596,24,0.4329,0.4109,37,0.7150,0.7709,0.7000,0.1133
saprot_foldx_scalar,1100,0.3840,0.4155,2.3241,1.5611,2.2063,1.5100,0.4644,0.4564,24,0.3905,0.3772,37,0.6736,0.7059,0.5600,0.0906
ankh3_large_foldx,1100,0.4665,0.4204,2.3045,1.5387,2.1136,1.4519,0.4320,0.4354,24,0.4290,0.3998,37,0.6679,0.7372,0.8200,0.1327
prostt5_foldx,1100,0.5103,0.4296,2.2181,1.4867,2.0550,1.4401,0.4597,0.4351,24,0.4477,0.3886,37,0.6765,0.7351,0.8000,0.1294
ankh_foldx,1100,0.5298,0.4377,2.1844,1.4640,2.0265,1.4209,0.4199,0.4325,24,0.4193,0.4068,37,0.6718,0.7431,0.8200,0.1327
prostt5_foldx_scalar,1100,0.4568,0.4020,2.3227,1.5510,2.1257,1.4402,0.4749,0.4323,24,0.4582,0.4158,37,0.6699,0.7130,0.7800,0.1262
ankh_foldx_scalar,1100,0.5129,0.4418,2.2864,1.5243,2.0512,1.4275,0.4104,0.4264,24,0.3843,0.3931,37,0.6897,0.7409,0.6800,0.1100
esm2_foldx_scalar,1100,0.5225,0.5138,2.3443,1.5627,2.0374,1.3490,0.3843,0.3948,24,0.3457,0.3314,37,0.7225,0.7704,0.9000,0.1456
ankh3_large_foldx_scalar,1100,0.4017,0.3581,2.4542,1.6669,2.1883,1.5100,0.3804,0.3912,24,0.3629,0.3534,37,0.6340,0.7078,0.8800,0.1424
esmc6b_foldx,1100,0.6093,0.4686,2.1405,1.4450,1.8947,1.3654,0.4069,0.3843,24,0.3949,0.3535,37,0.6875,0.7497,0.8400,0.1359
esmc6b_base,1100,0.6424,0.4476,2.3103,1.5729,1.8312,1.3425,0.4156,0.3697,24,0.3371,0.3167,37,0.6951,0.7311,0.7600,0.1230
esmc600m_foldx,1100,0.5701,0.4622,2.1410,1.4244,1.9631,1.3675,0.4051,0.3638,24,0.3382,0.2933,37,0.6906,0.7527,0.8400,0.1359
esmc600m_base,1100,0.4326,0.4654,2.2583,1.4855,2.1543,1.4464,0.2835,0.2670,24,0.2657,0.2586,37,0.7087,0.7461,0.7400,0.1197
esm2_base,1100,0.4147,0.3625,2.4191,1.6193,2.1744,1.4623,0.1836,0.2392,24,0.1787,0.2027,37,0.6439,0.7035,0.8800,0.1424
saprot_base,1100,0.3125,0.3036,2.3458,1.5870,2.2698,1.5599,0.2182,0.1990,24,0.2003,0.1938,37,0.6267,0.6498,0.5200,0.0841
ankh3_xl_base,1100,0.3868,0.3170,2.3621,1.5722,2.2036,1.4949,0.1901,0.1974,24,0.2185,0.2112,37,0.6124,0.6936,0.8200,0.1327
ankh_base,1100,0.4218,0.3112,2.3043,1.5357,2.1665,1.4947,0.0840,0.1265,24,0.1189,0.1431,37,0.6183,0.6867,0.7000,0.1133
ankh3_large_base,1100,0.3046,0.1928,2.4913,1.6875,2.2759,1.5929,0.0941,0.1074,24,0.0304,0.0388,37,0.5602,0.6300,0.8400,0.1359
mint_base,1100,0.2451,0.1666,2.4745,1.6961,2.3166,1.5924,0.1068,0.0869,24,0.1202,0.0586,37,0.5349,0.6186,0.7400,0.1197
prostt5_base,1100,0.2097,0.0784,2.4880,1.6625,2.3364,1.5939,0.0251,0.0195,24,0.0453,0.0115,37,0.5142,0.5825,0.9000,0.1456
