regime,dataset,model,arm,n_folds,expected,mean_ntest,total_ntest,mean_pcc,std_pcc,mean_runtime_s,platform,status
S1102-CV 50ep/p10,S1102,Ankh-large,base,10,10,110,1100,0.832125,0.057475,7047.3,MPS*,done
S1102-CV 50ep/p10,S1102,Ankh-large,aug,10,10,110,1100,0.837891,0.053713,11527.9,MPS*,done
S1102-CV 50ep/p10,S1102,Ankh-large,fx_scalar,10,10,110,1100,0.831019,0.043136,1172.3,MPS*,done
S1102-CV 50ep/p10,S1102,Ankh-large,fx_mlp,10,10,110,1100,0.838312,0.044181,1183.5,MPS*,done
S1102-CV 50ep/p10,S1102,ProstT5,base,10,10,110,1100,0.804603,0.054826,5063.8,MPS*,done
S1102-CV 50ep/p10,S1102,ProstT5,aug,10,10,110,1100,0.818797,0.060118,9481.4,MPS*,done
S1102-CV 50ep/p10,S1102,ProstT5,fx_scalar,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,ProstT5,fx_mlp,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,SaProt,base,10,10,110,1100,0.842252,0.050368,277.8,MPS*,done
S1102-CV 50ep/p10,S1102,SaProt,aug,10,10,110,1100,0.852009,0.050850,525.5,MPS*,done
S1102-CV 50ep/p10,S1102,SaProt,fx_scalar,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,SaProt,fx_mlp,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,SaProt-1.3B,base,10,10,110,1100,0.836606,0.060881,245.6,MPS*,done
S1102-CV 50ep/p10,S1102,SaProt-1.3B,aug,10,10,110,1100,0.849825,0.065003,570.8,MPS*,done
S1102-CV 50ep/p10,S1102,SaProt-1.3B,fx_scalar,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,SaProt-1.3B,fx_mlp,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,ESM2-3B,base,10,10,110,1100,0.815524,0.053684,10619.2,MPS*,done
S1102-CV 50ep/p10,S1102,ESM2-3B,aug,10,10,110,1100,0.823890,0.060787,903.0,MPS*,done
S1102-CV 50ep/p10,S1102,ESM2-3B,fx_scalar,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,ESM2-3B,fx_mlp,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,ESM3-1.4B,base,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,ESM3-1.4B,aug,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,ESM3-1.4B,fx_scalar,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,ESM3-1.4B,fx_mlp,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,ESM-C 600M,base,10,10,110,1100,0.831413,0.055760,507.4,MPS*,done
S1102-CV 50ep/p10,S1102,ESM-C 600M,aug,10,10,110,1100,0.827976,0.059625,884.2,MPS*,done
S1102-CV 50ep/p10,S1102,ESM-C 600M,fx_scalar,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,ESM-C 600M,fx_mlp,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,ESM-C 6B,base,10,10,110,1100,0.858777,0.069311,10293.1,CUDA*,done
S1102-CV 50ep/p10,S1102,ESM-C 6B,aug,10,10,110,1100,0.877650,0.042818,23447.2,CUDA*,done
S1102-CV 50ep/p10,S1102,ESM-C 6B,fx_scalar,10,10,110,1100,0.871034,0.030609,15768.3,CUDA*,done
S1102-CV 50ep/p10,S1102,ESM-C 6B,fx_mlp,10,10,110,1100,0.870483,0.035835,4173.0,CUDA*,done
S1102-CV 50ep/p10,S1102,Ankh3-large,base,10,10,110,1100,0.823354,0.056553,340.5,MPS*,done
S1102-CV 50ep/p10,S1102,Ankh3-large,aug,10,10,110,1100,0.848976,0.041781,673.0,MPS*,done
S1102-CV 50ep/p10,S1102,Ankh3-large,fx_scalar,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,Ankh3-large,fx_mlp,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,Ankh3-xl,base,10,10,110,1100,0.831445,0.055745,534.8,MPS*,done
S1102-CV 50ep/p10,S1102,Ankh3-xl,aug,10,10,110,1100,0.855218,0.043347,1028.5,MPS*,done
S1102-CV 50ep/p10,S1102,Ankh3-xl,fx_scalar,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,Ankh3-xl,fx_mlp,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,AIDO-16B,base,10,10,110,1100,0.827943,0.045909,9533.9,MPS*,done
S1102-CV 50ep/p10,S1102,AIDO-16B,aug,10,10,110,1100,0.835536,0.056870,18601.7,MPS*,done
S1102-CV 50ep/p10,S1102,AIDO-16B,fx_scalar,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,AIDO-16B,fx_mlp,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,MINT,base,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,MINT,aug,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,MINT,fx_scalar,0,10,,,,,,,empty
S1102-CV 50ep/p10,S1102,MINT,fx_mlp,0,10,,,,,,,empty
S1102-CV 300ep/p30,S1102,Ankh-large,base,10,10,110,1100,0.835726,0.052513,1102.1,MPS*,done
S1102-CV 300ep/p30,S1102,Ankh-large,aug,10,10,110,1100,0.837934,0.057437,2303.5,MPS*,done
S1102-CV 300ep/p30,S1102,Ankh-large,fx_scalar,10,10,110,1100,0.853356,0.041681,1213.4,MPS*,done
S1102-CV 300ep/p30,S1102,Ankh-large,fx_mlp,10,10,110,1100,0.853560,0.050650,1324.9,MPS*,done
S1102-CV 300ep/p30,S1102,ProstT5,base,10,10,110,1100,0.823122,0.053198,985.6,MPS*,done
S1102-CV 300ep/p30,S1102,ProstT5,aug,10,10,110,1100,0.832231,0.048743,6137.2,MPS*,done
S1102-CV 300ep/p30,S1102,ProstT5,fx_scalar,10,10,110,1100,0.833841,0.042827,956.1,MPS*,done
S1102-CV 300ep/p30,S1102,ProstT5,fx_mlp,10,10,110,1100,0.836834,0.044048,2504.3,MPS*,done
S1102-CV 300ep/p30,S1102,SaProt,base,10,10,110,1100,0.848970,0.050640,1102.1,MPS*,done
S1102-CV 300ep/p30,S1102,SaProt,aug,10,10,110,1100,0.854295,0.049791,17111.1,MPS*,done
S1102-CV 300ep/p30,S1102,SaProt,fx_scalar,10,10,110,1100,0.861415,0.043847,930.6,MPS*,done
S1102-CV 300ep/p30,S1102,SaProt,fx_mlp,10,10,110,1100,0.866780,0.037090,1058.0,MPS*,done
S1102-CV 300ep/p30,S1102,SaProt-1.3B,base,10,10,110,1100,0.841100,0.061800,1198.1,MPS*,done
S1102-CV 300ep/p30,S1102,SaProt-1.3B,aug,0,10,,,,,,,empty
S1102-CV 300ep/p30,S1102,SaProt-1.3B,fx_scalar,0,10,,,,,,,empty
S1102-CV 300ep/p30,S1102,SaProt-1.3B,fx_mlp,10,10,110,1100,0.858156,0.052848,924.6,MPS*,done
S1102-CV 300ep/p30,S1102,ESM2-3B,base,10,10,110,1100,0.832871,0.053090,2083.6,MPS*,done
S1102-CV 300ep/p30,S1102,ESM2-3B,aug,10,10,110,1100,0.839360,0.053635,8048.9,MPS*,done
S1102-CV 300ep/p30,S1102,ESM2-3B,fx_scalar,10,10,110,1100,0.852959,0.045316,2532.4,MPS*,done
S1102-CV 300ep/p30,S1102,ESM2-3B,fx_mlp,10,10,110,1100,0.849966,0.054902,2499.5,MPS*,done
S1102-CV 300ep/p30,S1102,ESM3-1.4B,base,10,10,110,1100,0.793756,0.060644,1977.8,MPS*,done
S1102-CV 300ep/p30,S1102,ESM3-1.4B,aug,0,10,,,,,,,empty
S1102-CV 300ep/p30,S1102,ESM3-1.4B,fx_scalar,0,10,,,,,,,empty
S1102-CV 300ep/p30,S1102,ESM3-1.4B,fx_mlp,0,10,,,,,,,empty
S1102-CV 300ep/p30,S1102,ESM-C 600M,base,10,10,110,1100,0.833596,0.056926,2932.6,MPS*,done
S1102-CV 300ep/p30,S1102,ESM-C 600M,aug,10,10,110,1100,0.830924,0.061843,2439.6,MPS*,done
S1102-CV 300ep/p30,S1102,ESM-C 600M,fx_scalar,10,10,110,1100,0.847153,0.049579,6086.3,MPS*,done
S1102-CV 300ep/p30,S1102,ESM-C 600M,fx_mlp,10,10,110,1100,0.852857,0.046404,2596.7,MPS*,done
S1102-CV 300ep/p30,S1102,ESM-C 6B,base,10,10,110,1100,0.881208,0.036361,1564.4,CUDA*,done
S1102-CV 300ep/p30,S1102,ESM-C 6B,aug,10,10,110,1100,0.880028,0.039123,2118.1,CUDA*,done
S1102-CV 300ep/p30,S1102,ESM-C 6B,fx_scalar,10,10,110,1100,0.884743,0.039540,1197.9,CUDA*,done
S1102-CV 300ep/p30,S1102,ESM-C 6B,fx_mlp,10,10,110,1100,0.889026,0.035777,1259.0,CUDA*,done
S1102-CV 300ep/p30,S1102,Ankh3-large,base,10,10,110,1100,0.834675,0.052424,1670.0,MPS*,done
S1102-CV 300ep/p30,S1102,Ankh3-large,aug,0,10,,,,,,,empty
S1102-CV 300ep/p30,S1102,Ankh3-large,fx_scalar,0,10,,,,,,,empty
S1102-CV 300ep/p30,S1102,Ankh3-large,fx_mlp,1,10,110,110,0.900711,0.000000,1362.4,MPS*,partial
S1102-CV 300ep/p30,S1102,Ankh3-xl,base,10,10,110,1100,0.838530,0.058964,10202.3,MPS*,done
S1102-CV 300ep/p30,S1102,Ankh3-xl,aug,0,10,,,,,,,empty
S1102-CV 300ep/p30,S1102,Ankh3-xl,fx_scalar,0,10,,,,,,,empty
S1102-CV 300ep/p30,S1102,Ankh3-xl,fx_mlp,0,10,,,,,,,empty
S1102-CV 300ep/p30,S1102,AIDO-16B,base,10,10,110,1100,0.837391,0.048462,977.9,MPS*,done
S1102-CV 300ep/p30,S1102,AIDO-16B,aug,10,10,110,1100,0.839080,0.049664,1716.1,MPS*,done
S1102-CV 300ep/p30,S1102,AIDO-16B,fx_scalar,10,10,110,1100,0.848832,0.037310,979.3,MPS*,done
S1102-CV 300ep/p30,S1102,AIDO-16B,fx_mlp,10,10,110,1100,0.857305,0.037682,1021.5,MPS*,done
S1102-CV 300ep/p30,S1102,MINT,base,0,10,,,,,,,empty
S1102-CV 300ep/p30,S1102,MINT,aug,0,10,,,,,,,empty
S1102-CV 300ep/p30,S1102,MINT,fx_scalar,0,10,,,,,,,empty
S1102-CV 300ep/p30,S1102,MINT,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,Ankh-large,base,10,10,113,1127,0.822352,0.043284,7719.1,MPS*,done
Benchmarks 50ep/p10,S1131,Ankh-large,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,Ankh-large,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,Ankh-large,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,ProstT5,base,10,10,113,1127,0.781038,0.050079,5329.9,MPS*,done
Benchmarks 50ep/p10,S1131,ProstT5,aug,10,10,113,1127,0.796747,0.039267,2330.2,MPS*,done
Benchmarks 50ep/p10,S1131,ProstT5,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,ProstT5,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,SaProt,base,10,10,113,1127,0.846804,0.040384,284.7,MPS*,done
Benchmarks 50ep/p10,S1131,SaProt,aug,10,10,113,1127,0.843863,0.040570,2904.1,MPS*,done
Benchmarks 50ep/p10,S1131,SaProt,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,SaProt,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,SaProt-1.3B,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,SaProt-1.3B,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,SaProt-1.3B,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,SaProt-1.3B,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,ESM2-3B,base,10,10,113,1127,0.821995,0.036129,498.7,MPS*,done
Benchmarks 50ep/p10,S1131,ESM2-3B,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,ESM2-3B,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,ESM2-3B,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,ESM3-1.4B,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,ESM3-1.4B,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,ESM3-1.4B,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,ESM3-1.4B,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,ESM-C 600M,base,10,10,113,1127,0.823418,0.037014,401.8,MPS*,done
Benchmarks 50ep/p10,S1131,ESM-C 600M,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,ESM-C 600M,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,ESM-C 600M,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,ESM-C 6B,base,10,10,113,1127,0.866497,0.036449,12316.3,CUDA*,done
Benchmarks 50ep/p10,S1131,ESM-C 6B,aug,10,10,113,1127,0.871599,0.029126,25169.4,CUDA*,done
Benchmarks 50ep/p10,S1131,ESM-C 6B,fx_scalar,10,10,113,1127,0.888372,0.024661,1287.0,CUDA*,done
Benchmarks 50ep/p10,S1131,ESM-C 6B,fx_mlp,10,10,113,1127,0.881560,0.032991,1130.9,CUDA*,done
Benchmarks 50ep/p10,S1131,Ankh3-large,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,Ankh3-large,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,Ankh3-large,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,Ankh3-large,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,Ankh3-xl,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,Ankh3-xl,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,Ankh3-xl,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,Ankh3-xl,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,AIDO-16B,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,AIDO-16B,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,AIDO-16B,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,AIDO-16B,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,MINT,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,MINT,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,MINT,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S1131,MINT,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,Ankh-large,base,10,10,112,1124,0.822891,0.057843,11135.1,MPS*,done
Benchmarks 50ep/p10,S2003,Ankh-large,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,Ankh-large,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,Ankh-large,fx_mlp,0,10,,,,,,,empty
