split,model,arm,ps_spearman_T10,n_muts,n_complex_T10,delta_vs_base,spearman_foldavg,spearman_foldavg_sd
S1102 leaky (per-mut CV),Ankh-large,base,0.3874,1100,24,,,
S1102 leaky (per-mut CV),Ankh-large,fx_mlp,0.5212,1100,24,+0.1338,,
S1102 leaky (per-mut CV),ProstT5,base,0.4124,1100,24,,,
S1102 leaky (per-mut CV),ProstT5,fx_mlp,0.5679,1100,24,+0.1555,,
S1102 leaky (per-mut CV),SaProt,base,0.3771,1100,24,,,
S1102 leaky (per-mut CV),SaProt,fx_mlp,0.5465,1100,24,+0.1694,,
S1102 leaky (per-mut CV),ESM2-3B,base,0.3545,1100,24,,,
S1102 leaky (per-mut CV),ESM2-3B,fx_mlp,0.5638,1100,24,+0.2093,,
S1102 leaky (per-mut CV),ESM-C 600M,base,0.3254,1100,24,,,
S1102 leaky (per-mut CV),ESM-C 600M,fx_mlp,0.5081,1100,24,+0.1827,,
S1102 leaky (per-mut CV),ESM-C 6B,base,0.4888,1100,24,,,
S1102 leaky (per-mut CV),ESM-C 6B,fx_scalar,0.5789,1100,24,+0.0901,,
S1102 leaky (per-mut CV),ESM-C 6B,fx_mlp,0.5636,1100,24,+0.0748,,
S1102 by-complex,Ankh-large,base,0.2888,1100,24,,,
S1102 by-complex,Ankh-large,fx_scalar,0.4947,1100,24,+0.2059,,
S1102 by-complex,Ankh-large,fx_mlp,0.4820,1100,24,+0.1932,,
S1102 by-complex,ProstT5,base,0.2962,1100,24,,,
S1102 by-complex,ProstT5,fx_scalar,0.5493,1100,24,+0.2531,,
S1102 by-complex,ProstT5,fx_mlp,0.4530,1100,24,+0.1568,,
S1102 by-complex,SaProt,base,0.3249,1100,24,,,
S1102 by-complex,SaProt,fx_scalar,0.5520,1100,24,+0.2271,,
S1102 by-complex,SaProt,fx_mlp,0.4913,1100,24,+0.1664,,
S1102 by-complex,ESM2-3B,base,0.3250,1100,24,,,
S1102 by-complex,ESM2-3B,fx_scalar,0.4802,1100,24,+0.1552,,
S1102 by-complex,ESM2-3B,fx_mlp,0.4740,1100,24,+0.1490,,
S1102 by-complex,ESM-C 600M,base,0.2832,1100,24,,,
S1102 by-complex,ESM-C 600M,fx_scalar,0.5282,1100,24,+0.2450,,
S1102 by-complex,ESM-C 600M,fx_mlp,0.4941,1100,24,+0.2109,,
S1102 by-complex,ESM-C 6B,base,0.4520,1100,24,,,
S1102 by-complex,ESM-C 6B,fx_scalar,0.5464,1100,24,+0.0944,,
S1102 by-complex,ESM-C 6B,fx_mlp,0.5511,1100,24,+0.0991,,
S1102 by-complex,Ankh3-large,base,0.2811,1100,24,,,
S1102 by-complex,Ankh3-large,fx_scalar,0.5231,1100,24,+0.2420,,
S1102 by-complex,Ankh3-large,fx_mlp,0.4357,1100,24,+0.1546,,
S1102 by-complex,Ankh3-xl,base,0.3495,1100,24,,,
S1102 by-complex,Ankh3-xl,fx_scalar,0.5401,1100,24,+0.1906,,
S1102 by-complex,Ankh3-xl,fx_mlp,0.4566,1100,24,+0.1071,,
S1102 by-complex,MINT,base,0.3164,1100,24,,,
S1102 clustered,Ankh-large,base,0.1265,1100,24,,,
S1102 clustered,Ankh-large,fx_scalar,0.4264,1100,24,+0.2999,,
S1102 clustered,Ankh-large,fx_mlp,0.4325,1100,24,+0.3060,,
S1102 clustered,ProstT5,base,0.0195,1100,24,,,
S1102 clustered,ProstT5,fx_scalar,0.4323,1100,24,+0.4128,,
S1102 clustered,ProstT5,fx_mlp,0.4351,1100,24,+0.4156,,
S1102 clustered,SaProt,base,0.1990,1100,24,,,
S1102 clustered,SaProt,fx_scalar,0.4564,1100,24,+0.2574,,
S1102 clustered,SaProt,fx_mlp,0.4712,1100,24,+0.2722,,
S1102 clustered,ESM2-3B,base,0.2392,1100,24,,,
S1102 clustered,ESM2-3B,fx_scalar,0.3948,1100,24,+0.1556,,
S1102 clustered,ESM2-3B,fx_mlp,0.4622,1100,24,+0.2230,,
S1102 clustered,ESM-C 600M,base,0.2670,1100,24,,,
S1102 clustered,ESM-C 600M,fx_scalar,0.4602,1100,24,+0.1932,,
S1102 clustered,ESM-C 600M,fx_mlp,0.3638,1100,24,+0.0968,,
S1102 clustered,ESM-C 6B,base,0.3697,1100,24,,,
S1102 clustered,ESM-C 6B,fx_scalar,0.4596,1100,24,+0.0899,,
S1102 clustered,ESM-C 6B,fx_mlp,0.3843,1100,24,+0.0146,,
S1102 clustered,Ankh3-large,base,0.1074,1100,24,,,
S1102 clustered,Ankh3-large,fx_scalar,0.3912,1100,24,+0.2838,,
S1102 clustered,Ankh3-large,fx_mlp,0.4354,1100,24,+0.3280,,
S1102 clustered,Ankh3-xl,base,0.1974,1100,24,,,
S1102 clustered,Ankh3-xl,fx_scalar,0.4702,1100,24,+0.2728,,
S1102 clustered,Ankh3-xl,fx_mlp,0.4758,1100,24,+0.2784,,
S1102 clustered,MINT,base,0.0869,1100,24,,,
fullSK clustered-SP,Ankh-large,base,0.1417,4165,96,,0.1892,0.0515
fullSK clustered-SP,Ankh-large,fx_scalar,0.4059,4165,96,+0.2642,0.4622,0.0443
fullSK clustered-SP,Ankh-large,fx_mlp,0.4275,4165,96,+0.2858,0.5050,0.0443
fullSK clustered-SP,ProstT5,base,0.0537,4165,96,,0.0710,0.0391
fullSK clustered-SP,ProstT5,fx_scalar,0.4097,4165,96,+0.3560,0.4527,0.0313
fullSK clustered-SP,ProstT5,fx_mlp,0.4437,4165,96,+0.3900,0.4921,0.0200
fullSK clustered-SP,SaProt,base,0.0820,4165,96,,0.0536,0.0279
fullSK clustered-SP,SaProt,fx_scalar,0.3923,4165,96,+0.3103,0.4096,0.0370
fullSK clustered-SP,SaProt,fx_mlp,0.4270,4165,96,+0.3450,0.4921,0.0236
fullSK clustered-SP,SaProt-1.3B,base,0.0778,4165,96,,0.1057,0.0338
fullSK clustered-SP,ESM2-3B,base,0.1193,4165,96,,0.2126,0.1067
fullSK clustered-SP,ESM2-3B,fx_scalar,0.3949,4165,96,+0.2756,0.4524,0.0409
fullSK clustered-SP,ESM2-3B,fx_mlp,0.4323,4165,96,+0.3130,0.5012,0.0277
fullSK clustered-SP,ESM-C 600M,base,0.1522,4165,96,,0.2474,0.1372
fullSK clustered-SP,ESM-C 600M,fx_scalar,0.3546,4165,96,+0.2024,0.3209,0.1294
fullSK clustered-SP,ESM-C 600M,fx_mlp,0.4225,4165,96,+0.2703,0.4755,0.0328
fullSK clustered-SP,ESM-C 6B,base,0.1934,4165,96,,0.2630,0.0864
fullSK clustered-SP,ESM-C 6B,fx_scalar,0.4166,4165,96,+0.2232,0.4687,0.0371
fullSK clustered-SP,ESM-C 6B,fx_mlp,0.4463,4165,96,+0.2529,0.5036,0.0297
fullSK clustered-SP,Ankh3-large,base,0.0920,4165,96,,0.1085,0.0173
fullSK clustered-SP,Ankh3-large,fx_scalar,0.3883,4165,96,+0.2963,0.4279,0.0157
fullSK clustered-SP,Ankh3-large,fx_mlp,0.4386,4165,96,+0.3466,0.4759,0.0244
fullSK clustered-SP,Ankh3-xl,base,0.1438,4165,96,,0.2248,0.1138
fullSK clustered-SP,Ankh3-xl,fx_scalar,0.4109,4165,96,+0.2671,0.4557,0.0412
fullSK clustered-SP,Ankh3-xl,fx_mlp,0.4314,4165,96,+0.2876,0.4897,0.0309
fullSK clustered-SP,AIDO-16B,base,0.1201,4165,96,,0.1451,0.1222
fullSK clustered-SP,AIDO-16B,fx_scalar,0.3971,4165,96,+0.2770,0.4423,0.0179
fullSK clustered-SP,AIDO-16B,fx_mlp,0.4283,4165,96,+0.3082,0.4899,0.0225
fullSK bycomplex-SP,Ankh-large,base,0.2843,4165,96,,0.3893,0.0911
fullSK bycomplex-SP,Ankh-large,fx_scalar,0.4350,4165,96,+0.1507,0.5339,0.0307
fullSK bycomplex-SP,Ankh-large,fx_mlp,0.4436,4165,96,+0.1593,0.5630,0.0333
fullSK bycomplex-SP,ProstT5,base,0.1937,4165,96,,0.3247,0.0846
fullSK bycomplex-SP,ProstT5,fx_scalar,0.4519,4165,96,+0.2582,0.5499,0.0337
fullSK bycomplex-SP,ProstT5,fx_mlp,0.4636,4165,96,+0.2699,0.5637,0.0295
fullSK bycomplex-SP,SaProt,base,0.1205,4165,96,,0.2009,0.0830
fullSK bycomplex-SP,SaProt,fx_scalar,0.4106,4165,96,+0.2901,0.4681,0.0481
fullSK bycomplex-SP,SaProt,fx_mlp,0.4348,4165,96,+0.3143,0.5016,0.0540
fullSK bycomplex-SP,ESM2-3B,base,0.2614,4165,96,,0.3742,0.1190
fullSK bycomplex-SP,ESM2-3B,fx_scalar,0.4587,4165,96,+0.1973,0.5350,0.0312
fullSK bycomplex-SP,ESM2-3B,fx_mlp,0.4445,4165,96,+0.1831,0.5543,0.0211
fullSK bycomplex-SP,ESM-C 600M,base,0.2269,4165,96,,0.3736,0.0871
fullSK bycomplex-SP,ESM-C 600M,fx_scalar,0.4337,4165,96,+0.2068,0.5293,0.0307
fullSK bycomplex-SP,ESM-C 600M,fx_mlp,0.4668,4165,96,+0.2399,0.5285,0.0182
fullSK bycomplex-SP,ESM-C 6B,base,0.3096,4165,96,,0.4234,0.0860
fullSK bycomplex-SP,ESM-C 6B,fx_scalar,0.4509,4165,96,+0.1413,0.5388,0.0285
fullSK bycomplex-SP,ESM-C 6B,fx_mlp,0.4566,4165,96,+0.1470,0.5597,0.0095
fullSK bycomplex-SP,Ankh3-large,base,0.2030,4165,96,,0.3347,0.1321
fullSK bycomplex-SP,Ankh3-large,fx_scalar,0.4356,4165,96,+0.2326,0.5213,0.0293
fullSK bycomplex-SP,Ankh3-large,fx_mlp,0.4488,4165,96,+0.2458,0.5530,0.0379
fullSK bycomplex-SP,Ankh3-xl,base,0.2679,4165,96,,0.4058,0.1039
fullSK bycomplex-SP,Ankh3-xl,fx_scalar,0.4625,4165,96,+0.1946,0.5574,0.0398
fullSK bycomplex-SP,Ankh3-xl,fx_mlp,0.4544,4165,96,+0.1865,0.5690,0.0340
fullSK bycomplex-SP,AIDO-16B,base,0.1803,4165,96,,0.3449,0.1685
fullSK bycomplex-SP,AIDO-16B,fx_scalar,0.4466,4165,96,+0.2663,0.5367,0.0211
fullSK bycomplex-SP,AIDO-16B,fx_mlp,0.4350,4165,96,+0.2547,0.5517,0.0301
fullSK bycomplex-ALL,Ankh-large,base,0.2471,5801,121,,0.4497,0.0177
fullSK bycomplex-ALL,Ankh-large,fx_scalar,0.4451,5801,121,+0.1980,0.5934,0.0648
fullSK bycomplex-ALL,Ankh-large,fx_mlp,0.4578,5801,121,+0.2107,0.5631,0.0593
fullSK bycomplex-ALL,ProstT5,base,0.2000,5801,121,,0.4094,0.0237
fullSK bycomplex-ALL,ProstT5,fx_scalar,0.4594,5801,121,+0.2594,0.6054,0.0541
fullSK bycomplex-ALL,ProstT5,fx_mlp,0.4571,5801,121,+0.2571,0.5943,0.0719
fullSK bycomplex-ALL,SaProt,base,0.1907,5801,121,,0.2327,0.0476
fullSK bycomplex-ALL,SaProt,fx_scalar,0.4553,5801,121,+0.2646,0.5274,0.0465
