chain,auroc
1AHW.AB.C_AB,0.5461
1AHW.AB.C_C,0.5127
1AO7.ABC.DE_ABC,0.4171
1AO7.ABC.DE_DE,0.5429
1BD2.ABC.DE_ABC,0.4206
1BD2.ABC.DE_DE,0.5198
1BJ1.HL.VW_HL,0.6687
1BJ1.HL.VW_VW,0.5188
1C4Z.ABC.D_ABC,0.5175
1C4Z.ABC.D_D,0.4961
1CBW.FGH.I_FGH,0.6439
1CBW.FGH.I_I,0.6564
1CHO.EFG.I_EFG,0.6500
1CHO.EFG.I_I,0.6054
1CZ8.HL.VW_HL,0.6848
1CZ8.HL.VW_VW,0.4911
1DQJ.AB.C_AB,0.5871
1DQJ.AB.C_C,0.4227
1DVF.AB.CD_AB,0.5729
1DVF.AB.CD_CD,0.5151
1GCQ.AB.C_AB,0.5975
1GCQ.AB.C_C,0.4593
1JRH.LH.I_I,0.3631
1JRH.LH.I_LH,0.6894
1KIP.AB.C_AB,0.6001
1KIP.AB.C_C,0.4361
1KIQ.AB.C_AB,0.6055
1KIQ.AB.C_C,0.4361
1KIR.AB.C_AB,0.6023
1KIR.AB.C_C,0.4239
1LP9.ABC.EF_ABC,0.3920
1LP9.ABC.EF_EF,0.5614
1MHP.HL.A_A,0.6382
1MHP.HL.A_HL,0.6664
1MI5.ABC.DE_ABC,0.4168
1MI5.ABC.DE_DE,0.5507
1MLC.AB.E_AB,0.5624
1MLC.AB.E_E,0.5477
1N8O.ABC.E_ABC,0.6545
1N8O.ABC.E_E,0.6684
1N8Z.AB.C_AB,0.7311
1N8Z.AB.C_C,0.4581
1NCA.N.LH_LH,0.5515
1NCA.N.LH_N,0.3783
1NMB.N.LH_LH,0.5995
1NMB.N.LH_N,0.3520
1OGA.ABC.DE_ABC,0.3977
1OGA.ABC.DE_DE,0.5506
1QSE.ABC.DE_ABC,0.4039
1QSE.ABC.DE_DE,0.5859
1REW.AB.C_AB,0.4477
1REW.AB.C_C,0.6342
1VFB.AB.C_AB,0.5968
1VFB.AB.C_C,0.4361
1XGP.AB.C_AB,0.5845
1XGP.AB.C_C,0.3972
1XGQ.AB.C_AB,0.5941
1XGQ.AB.C_C,0.4024
1XGR.AB.C_AB,0.5887
