chain,auroc
1A22_A,0.7747
1A22_B,0.4659
1A4Y_A,0.7932
1A4Y_B,0.6355
1ACB_A,0.6255
1ACB_B,0.9096
1AK4_A,0.4039
1AK4_B,0.9239
1B2S_A,0.7660
1B2S_B,0.7465
1B2U_A,0.7825
1B2U_B,0.7526
1B3S_A,0.7843
1B3S_B,0.7543
1BRS_A,0.7674
1BRS_B,0.7769
1CSE_A,0.7256
1CSE_B,0.8814
1CSO_A,0.7146
1CSO_B,0.7034
1CT0_A,0.7179
1CT0_B,0.6923
1CT2_A,0.6964
1CT2_B,0.6954
1CT4_A,0.7236
1CT4_B,0.6985
1E96_A,0.7505
1E96_B,0.5491
1EAW_A,0.5849
1EAW_B,0.5744
1EFN_A,0.8800
1EFN_B,0.4253
1EMV_A,0.5871
1EMV_B,0.8065
1F47_A,0.8750
1F47_B,0.6266
1FC2_A,0.4095
1FC2_B,0.6597
1FCC_A,0.6490
1FCC_B,0.5505
1FFW_A,0.5906
1FFW_B,0.5482
1FR2_A,0.5669
1FR2_B,0.8019
1GC1_A,0.5132
1GC1_B,0.4570
1GL0_A,0.6053
1GL0_B,0.7931
1GL1_A,0.6222
1GL1_B,0.8690
1H9D_A,0.4210
1H9D_B,0.6544
1HE8_A,0.4576
1HE8_B,0.6976
1IAR_A,0.3618
1IAR_B,0.5858
1JCK_A,0.4948
1JCK_B,0.5702
1JTG_A,0.7125
1JTG_B,0.8171
1KAC_A,0.5522
1KAC_B,0.5752
1KTZ_A,0.5391
1KTZ_B,0.7175
1LFD_A,0.5432
1LFD_B,0.6779
1M9E_A,0.4375
1M9E_B,0.9363
1MAH_A,0.7807
1MAH_B,0.2759
1P69_A,0.5527
1P69_B,0.5889
1P6A_A,0.5691
1P6A_B,0.5889
1PPF_A,0.5998
1PPF_B,0.7045
1R0R_A,0.6929
1R0R_B,0.6985
1S0W_A,0.7171
1S0W_B,0.8400
1S1Q_A,0.3663
1S1Q_B,0.6849
1SBB_A,0.4680
1SBB_B,0.5203
1SBN_A,0.7510
1SBN_B,0.8889
1SGD_A,0.7339
1SGD_B,0.7037
1SGE_A,0.7136
1SGE_B,0.7037
1SGN_A,0.7196
1SGN_B,0.7052
1SGP_A,0.7132
1SGP_B,0.6923
1SGQ_A,0.6987
1SGQ_B,0.7068
1SGY_A,0.7068
1SGY_B,0.7031
1SIB_A,0.7427
1SIB_B,0.8889
1TM1_A,0.7049
1TM1_B,0.9312
1TM3_A,0.7061
1TM3_B,0.9292
1TM4_A,0.7089
1TM4_B,0.9393
1TM5_A,0.7018
1TM5_B,0.9433
1TM7_A,0.7101
1TM7_B,0.9291
1TMG_A,0.7049
1TMG_B,0.9231
1TO1_A,0.6981
1TO1_B,0.9200
1UUZ_A,0.7996
1UUZ_B,0.7918
1X1X_A,0.7610
1X1X_B,0.7972
1XD3_A,0.8319
1XD3_B,0.5890
1Y1K_A,0.7069
1Y1K_B,0.9362
1Y33_A,0.7288
1Y33_B,0.9383
1Y34_A,0.6981
1Y34_B,0.9352
1Y3B_A,0.7146
1Y3B_B,0.9241
1Z7X_A,0.7729
1Z7X_B,0.5449
2A9K_A,0.6338
2A9K_B,0.4550
2AJF_A,0.6086
2AJF_B,0.6189
2B0Z_A,0.3282
2B0Z_B,0.6652
2B10_A,0.6213
2B10_B,0.6619
2B11_A,0.5783
2B11_B,0.6653
2B12_A,0.3520
2B12_B,0.6267
2B42_A,0.5265
2B42_B,0.7713
2BTF_A,0.5451
2BTF_B,0.6576
2FTL_A,0.6099
2FTL_B,0.6171
2G2U_A,0.7412
2G2U_B,0.8641
2G2W_A,0.7366
2G2W_B,0.8394
2GYK_A,0.5758
2GYK_B,0.8075
2HLE_A,0.6741
2HLE_B,0.7016
2HRK_A,0.5845
2HRK_B,0.7806
2I26_A,0.7623
2I26_B,0.5026
2J0T_A,0.4868
2J0T_B,0.8176
2J1K_A,0.4978
2J1K_B,0.6229
2NU0_A,0.7253
2NU0_B,0.7046
2NU1_A,0.7209
2NU1_B,0.6867
2NU2_A,0.7121
2NU2_B,0.6988
2NU4_A,0.7179
2NU4_B,0.6923
2O3B_A,0.6864
2O3B_B,0.8492
2OOB_A,0.3263
2OOB_B,0.7040
2PCB_A,0.6344
2PCB_B,0.5473
2PCC_A,0.5814
2PCC_B,0.6786
2SGP_A,0.7191
2SGP_B,0.6759
2SGQ_A,0.7205
2SGQ_B,0.6938
2SIC_A,0.7183
2SIC_B,0.8604
2VLN_A,0.5835
2VLN_B,0.8038
2VLO_A,0.6159
2VLO_B,0.7912
2VLQ_A,0.5749
2VLQ_B,0.7941
2WPT_A,0.5863
2WPT_B,0.6337
3BK3_A,0.6256
3BK3_B,0.5499
3BP8_A,0.4200
3BP8_B,0.5678
3BTD_A,0.6056
3BTD_B,0.5974
3BTE_A,0.6231
3BTE_B,0.6139
3BTF_A,0.6022
3BTF_B,0.5989
3BTG_A,0.6376
3BTG_B,0.6153
3BTH_A,0.6043
3BTH_B,0.6167
3BTM_A,0.6224
3BTM_B,0.6003
3BTQ_A,0.6192
3BTQ_B,0.6153
3BTT_A,0.6140
3BTT_B,0.6139
3BTW_A,0.5970
3BTW_B,0.6003
3SGB_A,0.7104
3SGB_B,0.6912
4CPA_A,0.7565
4CPA_B,0.7235
