chain,auroc
1AHW.AB.C_AB,0.8408
1AHW.AB.C_C,0.5001
1AO7.ABC.DE_ABC,0.6062
1AO7.ABC.DE_DE,0.7798
1BD2.ABC.DE_ABC,0.5887
1BD2.ABC.DE_DE,0.8557
1BJ1.HL.VW_HL,0.8321
1BJ1.HL.VW_VW,0.2674
1C4Z.ABC.D_ABC,0.6368
1C4Z.ABC.D_D,0.8707
1CBW.FGH.I_FGH,0.7453
1CBW.FGH.I_I,0.8829
1CHO.EFG.I_EFG,0.7195
1CHO.EFG.I_I,0.8590
1CZ8.HL.VW_HL,0.8328
1CZ8.HL.VW_VW,0.2814
1DQJ.AB.C_AB,0.9328
1DQJ.AB.C_C,0.3034
1DVF.AB.CD_AB,0.8317
1DVF.AB.CD_CD,0.7791
1GCQ.AB.C_AB,0.6447
1GCQ.AB.C_C,0.5926
1JRH.LH.I_I,0.3441
1JRH.LH.I_LH,0.8736
1KIP.AB.C_AB,0.8581
1KIP.AB.C_C,0.1547
1KIQ.AB.C_AB,0.8720
1KIQ.AB.C_C,0.1547
1KIR.AB.C_AB,0.8720
1KIR.AB.C_C,0.1657
1LP9.ABC.EF_ABC,0.6224
1LP9.ABC.EF_EF,0.8656
1MHP.HL.A_A,0.8525
1MHP.HL.A_HL,0.9314
1MI5.ABC.DE_ABC,0.5999
1MI5.ABC.DE_DE,0.8350
1MLC.AB.E_AB,0.9010
1MLC.AB.E_E,0.8362
1N8O.ABC.E_ABC,0.7410
1N8O.ABC.E_E,0.6696
1N8Z.AB.C_AB,0.9011
1N8Z.AB.C_C,0.3692
1NCA.N.LH_LH,0.8347
1NCA.N.LH_N,0.3530
1NMB.N.LH_LH,0.7528
1NMB.N.LH_N,0.4040
1OGA.ABC.DE_ABC,0.6459
1OGA.ABC.DE_DE,0.8845
1QSE.ABC.DE_ABC,0.6014
1QSE.ABC.DE_DE,0.8465
1REW.AB.C_AB,0.4704
1REW.AB.C_C,0.6045
1VFB.AB.C_AB,0.8665
1VFB.AB.C_C,0.1547
1XGP.AB.C_AB,0.9370
1XGP.AB.C_C,0.2826
1XGQ.AB.C_AB,0.9316
1XGQ.AB.C_C,0.2888
1XGR.AB.C_AB,0.9370
1XGR.AB.C_C,0.2826
1XGT.AB.C_AB,0.9370
1XGT.AB.C_C,0.2826
1XGU.AB.C_AB,0.9349
1XGU.AB.C_C,0.3034
1YQV.HL.Y_HL,0.8393
1YQV.HL.Y_Y,0.8351
1YY9.CD.A_A,0.5486
1YY9.CD.A_CD,0.8732
2AK4.ABC.DE_ABC,0.5848
2AK4.ABC.DE_DE,0.8762
2B0U.AB.C_AB,0.3324
2B0U.AB.C_C,0.3982
2B2X.HL.A_A,0.8613
2B2X.HL.A_HL,0.9037
2BDN.HL.A_A,0.3342
2BDN.HL.A_HL,0.9083
2BNQ.ABC.DE_ABC,0.6511
2BNQ.ABC.DE_DE,0.8826
2BNR.ABC.DE_ABC,0.6425
2BNR.ABC.DE_DE,0.8880
2E7L.EQ.AD_AD,0.8558
2E7L.EQ.AD_EQ,0.4844
2J8U.ABC.EF_ABC,0.6171
2J8U.ABC.EF_EF,0.8725
2JCC.ABC.EF_ABC,0.6264
2JCC.ABC.EF_EF,0.8617
2JEL.LH.P_LH,0.9282
2JEL.LH.P_P,0.1817
2NYY.DC.A_A,0.4798
2NYY.DC.A_DC,0.9110
2NZ9.DC.A_A,0.4798
2NZ9.DC.A_DC,0.9197
2OI9.AQ.BC_AQ,0.4749
2OI9.AQ.BC_BC,0.8465
2P5E.ABC.DE_ABC,0.6396
2P5E.ABC.DE_DE,0.9152
2UWE.ABC.EF_ABC,0.6218
2UWE.ABC.EF_EF,0.8620
2VIR.AB.C_AB,0.8722
2VIR.AB.C_C,0.5321
2VIS.AB.C_AB,0.8686
2VIS.AB.C_C,0.5728
2VLR.ABC.DE_ABC,0.6320
2VLR.ABC.DE_DE,0.8944
3AAA.AB.C_AB,0.5523
3AAA.AB.C_C,0.8236
3B4V.AB.C_AB,0.2625
3B4V.AB.C_C,0.3425
3BN9.B.CD_B,0.7843
3BN9.B.CD_CD,0.8786
3C60.CD.AB_AB,0.8930
3C60.CD.AB_CD,0.3748
3D3V.ABC.DE_ABC,0.5960
3D3V.ABC.DE_DE,0.8607
3G6D.LH.A_A,0.3642
3G6D.LH.A_LH,0.8437
3H9S.ABC.DE_ABC,0.6087
3H9S.ABC.DE_DE,0.8568
3HFM.HL.Y_HL,0.9281
3HFM.HL.Y_Y,0.3060
3HH2.AB.C_AB,0.3383
3HH2.AB.C_C,0.4403
3LZF.AB.HL_AB,0.4782
3LZF.AB.HL_HL,0.8612
3N85.A.LH_A,0.4857
3N85.A.LH_LH,0.8842
3NGB.HL.G_G,0.4588
3NGB.HL.G_HL,0.8462
3NPS.A.BC_A,0.8104
3NPS.A.BC_BC,0.8900
3PWP.ABC.DE_ABC,0.5841
3PWP.ABC.DE_DE,0.8533
3QDG.ABC.DE_ABC,0.5591
3QDG.ABC.DE_DE,0.8423
3QDJ.ABC.DE_ABC,0.5776
3QDJ.ABC.DE_DE,0.8414
3QFJ.ABC.DE_ABC,0.5990
3QFJ.ABC.DE_DE,0.8533
3QIB.ABP.CD_ABP,0.3953
3QIB.ABP.CD_CD,0.8151
3SE8.HL.G_G,0.4845
3SE8.HL.G_HL,0.8420
3SE9.HL.G_G,0.5146
3SE9.HL.G_HL,0.8138
3SZK.AB.C_AB,0.2657
3SZK.AB.C_C,0.8805
3VR6.ABCDEF.GH_ABCDEF,0.7973
3VR6.ABCDEF.GH_GH,0.5917
3W2D.A.HL_A,0.5451
3W2D.A.HL_HL,0.8584
4B0M.A.BM_A,0.7483
4B0M.A.BM_BM,0.7602
4E6K.AB.G_AB,0.7611
