chain,auroc
1A22_A,0.6594
1A22_B,0.8496
1A4Y_A,0.8942
1A4Y_B,0.6753
1ACB_A,0.9236
1ACB_B,0.8940
1AK4_A,0.7955
1AK4_B,0.9297
1B2S_A,0.8465
1B2S_B,0.8902
1B2U_A,0.8319
1B2U_B,0.9055
1B3S_A,0.8482
1B3S_B,0.8914
1BRS_A,0.8354
1BRS_B,0.9154
1CSE_A,0.8661
1CSE_B,0.8942
1CSO_A,0.8398
1CSO_B,0.8913
1CT0_A,0.8595
1CT0_B,0.8831
1CT2_A,0.8349
1CT2_B,0.8769
1CT4_A,0.8604
1CT4_B,0.8815
1E96_A,0.7332
1E96_B,0.8518
1EAW_A,0.8775
1EAW_B,0.8051
1EFN_A,0.9163
1EFN_B,0.1559
1EMV_A,0.8678
1EMV_B,0.8099
1F47_A,0.6250
1F47_B,0.8059
1FC2_A,0.1881
1FC2_B,0.5072
1FCC_A,0.4016
1FCC_B,0.5718
1FFW_A,0.6595
1FFW_B,0.8656
1FR2_A,0.8628
1FR2_B,0.8125
1GC1_A,0.8434
1GC1_B,0.8524
1GL0_A,0.9044
1GL0_B,0.8966
1GL1_A,0.9116
1GL1_B,0.9226
1H9D_A,0.4430
1H9D_B,0.6862
1HE8_A,0.5249
1HE8_B,0.7237
1IAR_A,0.5944
1IAR_B,0.8894
1JCK_A,0.6560
1JCK_B,0.8414
1JTG_A,0.8855
1JTG_B,0.8938
1KAC_A,0.7364
1KAC_B,0.8600
1KTZ_A,0.6267
1KTZ_B,0.7048
1LFD_A,0.6420
1LFD_B,0.7547
1M9E_A,0.7806
1M9E_B,0.9140
1MAH_A,0.9261
1MAH_B,0.6024
1P69_A,0.7361
1P69_B,0.8562
1P6A_A,0.7580
1P6A_B,0.8900
1PPF_A,0.9444
1PPF_B,0.8710
1R0R_A,0.8668
1R0R_B,0.9015
1S0W_A,0.8667
1S0W_B,0.8992
1S1Q_A,0.6137
1S1Q_B,0.4325
1SBB_A,0.6348
1SBB_B,0.6853
1SBN_A,0.9051
1SBN_B,0.8964
1SGD_A,0.8484
1SGD_B,0.8796
1SGE_A,0.8634
1SGE_B,0.8843
1SGN_A,0.8633
1SGN_B,0.8673
1SGP_A,0.8478
1SGP_B,0.8769
1SGQ_A,0.8683
1SGQ_B,0.8796
1SGY_A,0.8538
1SGY_B,0.8846
1SIB_A,0.9156
1SIB_B,0.8782
1TM1_A,0.8885
1TM1_B,0.8107
1TM3_A,0.8797
1TM3_B,0.8144
1TM4_A,0.8824
1TM4_B,0.8239
1TM5_A,0.8789
1TM5_B,0.8138
1TM7_A,0.8810
1TM7_B,0.8229
1TMG_A,0.8809
1TMG_B,0.8103
1TO1_A,0.8789
1TO1_B,0.8338
1UUZ_A,0.9185
1UUZ_B,0.6788
1X1X_A,0.8359
1X1X_B,0.9045
1XD3_A,0.8938
1XD3_B,0.7358
1Y1K_A,0.8854
1Y1K_B,0.7885
1Y33_A,0.8950
1Y33_B,0.8107
1Y34_A,0.8805
1Y34_B,0.8117
1Y3B_A,0.8962
1Y3B_B,0.8421
1Z7X_A,0.8891
1Z7X_B,0.7164
2A9K_A,0.5172
2A9K_B,0.4780
2AJF_A,0.3570
2AJF_B,0.8760
2B0Z_A,0.5462
2B0Z_B,0.7684
2B10_A,0.6314
2B10_B,0.6426
2B11_A,0.6569
2B11_B,0.6502
2B12_A,0.5991
2B12_B,0.7790
2B42_A,0.6947
2B42_B,0.9203
2BTF_A,0.5304
2BTF_B,0.8383
2FTL_A,0.9150
2FTL_B,0.8105
2G2U_A,0.8897
2G2U_B,0.8858
2G2W_A,0.8951
2G2W_B,0.9132
2GYK_A,0.8508
2GYK_B,0.8105
2HLE_A,0.7304
2HLE_B,0.7011
2HRK_A,0.8296
2HRK_B,0.8398
2I26_A,0.9239
2I26_B,0.8413
2J0T_A,0.8681
2J0T_B,0.8560
2J1K_A,0.7638
2J1K_B,0.9168
2NU0_A,0.8745
2NU0_B,0.8800
2NU1_A,0.8503
2NU1_B,0.8873
2NU2_A,0.8578
2NU2_B,0.8820
2NU4_A,0.8627
2NU4_B,0.8815
2O3B_A,0.9082
2O3B_B,0.9257
2OOB_A,0.2842
2OOB_B,0.6022
2PCB_A,0.6805
2PCB_B,0.4252
2PCC_A,0.5987
2PCC_B,0.6598
2SGP_A,0.8682
2SGP_B,0.8920
2SGQ_A,0.8683
2SGQ_B,0.8846
2SIC_A,0.9055
2SIC_B,0.9769
2VLN_A,0.8562
2VLN_B,0.8175
2VLO_A,0.7984
2VLO_B,0.8233
2VLQ_A,0.8496
2VLQ_B,0.8231
2WPT_A,0.9071
2WPT_B,0.8844
3BK3_A,0.4782
3BK3_B,0.4428
3BP8_A,0.1921
3BP8_B,0.7532
3BTD_A,0.9211
3BTD_B,0.8450
3BTE_A,0.9183
3BTE_B,0.8264
3BTF_A,0.9168
3BTF_B,0.8378
3BTG_A,0.9098
3BTG_B,0.8306
3BTH_A,0.9164
3BTH_B,0.8264
3BTM_A,0.9208
3BTM_B,0.8378
3BTQ_A,0.8978
3BTQ_B,0.8236
3BTT_A,0.9189
3BTT_B,0.8208
3BTW_A,0.9166
3BTW_B,0.8450
3SGB_A,0.8457
3SGB_B,0.8832
4CPA_A,0.8677
4CPA_B,0.8235
