chain,auroc
1A22_A,0.4860
1A22_B,0.7423
1A4Y_A,0.6602
1A4Y_B,0.5708
1ACB_A,0.6489
1ACB_B,0.7786
1AK4_A,0.4319
1AK4_B,0.7984
1B2S_A,0.6320
1B2S_B,0.5521
1B2U_A,0.6444
1B2U_B,0.5591
1B3S_A,0.6136
1B3S_B,0.5569
1BRS_A,0.6366
1BRS_B,0.6033
1CSE_A,0.5731
1CSE_B,0.7692
1CSO_A,0.6598
1CSO_B,0.7873
1CT0_A,0.6589
1CT0_B,0.7754
1CT2_A,0.6626
1CT2_B,0.7738
1CT4_A,0.6543
1CT4_B,0.7677
1E96_A,0.6866
1E96_B,0.6829
1EAW_A,0.6656
1EAW_B,0.5885
1EFN_A,0.7788
1EFN_B,0.4487
1EMV_A,0.5977
1EMV_B,0.6970
1F47_A,0.3125
1F47_B,0.6882
1FC2_A,0.3143
1FC2_B,0.5144
1FCC_A,0.5134
1FCC_B,0.4154
1FFW_A,0.5248
1FFW_B,0.5225
1FR2_A,0.6273
1FR2_B,0.7001
1GC1_A,0.4042
1GC1_B,0.6849
1GL0_A,0.6653
1GL0_B,0.3908
1GL1_A,0.6647
1GL1_B,0.3274
1H9D_A,0.5974
1H9D_B,0.5936
1HE8_A,0.6207
1HE8_B,0.6497
1IAR_A,0.4233
1IAR_B,0.6665
1JCK_A,0.6435
1JCK_B,0.5986
1JTG_A,0.6793
1JTG_B,0.5946
1KAC_A,0.4949
1KAC_B,0.7776
1KTZ_A,0.4540
1KTZ_B,0.6171
1LFD_A,0.5142
1LFD_B,0.6622
1M9E_A,0.4245
1M9E_B,0.8882
1MAH_A,0.7752
1MAH_B,0.4386
1P69_A,0.4976
1P69_B,0.7778
1P6A_A,0.4958
1P6A_B,0.7778
1PPF_A,0.6504
1PPF_B,0.7303
1R0R_A,0.5711
1R0R_B,0.7831
1S0W_A,0.6884
1S0W_B,0.6127
1S1Q_A,0.6830
1S1Q_B,0.4079
1SBB_A,0.5944
1SBB_B,0.6534
1SBN_A,0.5733
1SBN_B,0.7703
1SGD_A,0.6600
1SGD_B,0.7623
1SGE_A,0.6707
1SGE_B,0.7623
1SGN_A,0.6661
1SGN_B,0.7639
1SGP_A,0.6625
1SGP_B,0.7723
1SGQ_A,0.6676
1SGQ_B,0.7562
1SGY_A,0.6790
1SGY_B,0.7708
1SIB_A,0.5866
1SIB_B,0.7660
1TM1_A,0.5685
1TM1_B,0.7692
1TM3_A,0.5693
1TM3_B,0.7928
1TM4_A,0.5658
1TM4_B,0.7986
1TM5_A,0.5663
1TM5_B,0.7925
1TM7_A,0.5697
1TM7_B,0.7702
1TMG_A,0.5779
1TMG_B,0.7682
1TO1_A,0.5625
1TO1_B,0.8021
1UUZ_A,0.6139
1UUZ_B,0.5604
1X1X_A,0.6568
1X1X_B,0.5691
1XD3_A,0.6705
1XD3_B,0.7514
1Y1K_A,0.5688
1Y1K_B,0.7794
1Y33_A,0.5730
1Y33_B,0.7824
1Y34_A,0.5625
1Y34_B,0.7692
1Y3B_A,0.5761
1Y3B_B,0.7949
1Z7X_A,0.6329
1Z7X_B,0.6233
2A9K_A,0.5165
2A9K_B,0.4611
2AJF_A,0.4943
2AJF_B,0.5537
2B0Z_A,0.4349
2B0Z_B,0.6944
2B10_A,0.5364
2B10_B,0.6795
2B11_A,0.5654
2B11_B,0.6578
2B12_A,0.4732
2B12_B,0.6597
2B42_A,0.5419
2B42_B,0.7525
2BTF_A,0.4776
2BTF_B,0.6485
2FTL_A,0.6494
2FTL_B,0.7013
2G2U_A,0.6708
2G2U_B,0.6249
2G2W_A,0.6756
2G2W_B,0.5809
2GYK_A,0.6101
2GYK_B,0.7116
2HLE_A,0.5753
2HLE_B,0.5320
2HRK_A,0.5447
2HRK_B,0.5259
2I26_A,0.7717
2I26_B,0.6622
2J0T_A,0.6433
2J0T_B,0.7755
2J1K_A,0.6362
2J1K_B,0.7871
2NU0_A,0.6768
2NU0_B,0.7692
2NU1_A,0.6768
2NU1_B,0.7994
2NU2_A,0.6797
2NU2_B,0.7873
2NU4_A,0.6594
2NU4_B,0.7738
2O3B_A,0.5068
2O3B_B,0.4715
2OOB_A,0.5284
2OOB_B,0.5826
2PCB_A,0.5657
2PCB_B,0.5554
2PCC_A,0.5352
2PCC_B,0.6518
2SGP_A,0.6722
2SGP_B,0.7454
2SGQ_A,0.6571
2SGQ_B,0.7708
2SIC_A,0.5651
2SIC_B,0.8439
2VLN_A,0.6079
2VLN_B,0.6977
2VLO_A,0.6526
2VLO_B,0.7018
2VLQ_A,0.6217
2VLQ_B,0.6988
2WPT_A,0.6458
2WPT_B,0.6526
3BK3_A,0.4101
3BK3_B,0.6588
3BP8_A,0.2884
3BP8_B,0.7345
3BTD_A,0.6761
3BTD_B,0.6927
3BTE_A,0.6972
3BTE_B,0.6875
3BTF_A,0.6591
3BTF_B,0.6942
3BTG_A,0.6973
3BTG_B,0.6972
3BTH_A,0.6684
3BTH_B,0.6958
3BTM_A,0.6875
3BTM_B,0.6927
3BTQ_A,0.6937
3BTQ_B,0.6931
3BTT_A,0.6929
3BTT_B,0.6903
3BTW_A,0.6600
3BTW_B,0.6927
3SGB_A,0.6791
3SGB_B,0.7840
4CPA_A,0.7204
4CPA_B,0.5500
