chain,auroc
1A22_A,0.6179
1A22_B,0.4752
1A4Y_A,0.6298
1A4Y_B,0.6515
1ACB_A,0.5582
1ACB_B,0.7588
1AK4_A,0.4907
1AK4_B,0.9317
1B2S_A,0.5702
1B2S_B,0.8188
1B2U_A,0.5815
1B2U_B,0.8230
1B3S_A,0.5557
1B3S_B,0.8047
1BRS_A,0.5333
1BRS_B,0.8192
1CSE_A,0.5840
1CSE_B,0.7190
1CSO_A,0.5988
1CSO_B,0.8292
1CT0_A,0.5824
1CT0_B,0.7600
1CT2_A,0.5731
1CT2_B,0.7569
1CT4_A,0.5914
1CT4_B,0.7585
1E96_A,0.6384
1E96_B,0.6295
1EAW_A,0.5050
1EAW_B,0.6731
1EFN_A,0.7638
1EFN_B,0.5232
1EMV_A,0.4930
1EMV_B,0.3606
1F47_A,1.0000
1F47_B,0.6286
1FC2_A,0.7476
1FC2_B,0.5224
1FCC_A,0.5337
1FCC_B,0.8023
1FFW_A,0.5550
1FFW_B,0.6994
1FR2_A,0.4669
1FR2_B,0.3591
1GC1_A,0.5327
1GC1_B,0.4139
1GL0_A,0.5775
1GL0_B,0.4253
1GL1_A,0.5625
1GL1_B,0.7679
1H9D_A,0.5226
1H9D_B,0.6343
1HE8_A,0.3632
1HE8_B,0.6271
1IAR_A,0.5823
1IAR_B,0.5749
1JCK_A,0.3057
1JCK_B,0.3932
1JTG_A,0.6514
1JTG_B,0.4472
1KAC_A,0.4560
1KAC_B,0.7253
1KTZ_A,0.7613
1KTZ_B,0.7404
1LFD_A,0.6062
1LFD_B,0.5859
1M9E_A,0.5086
1M9E_B,0.8726
1MAH_A,0.7478
1MAH_B,0.5593
1P69_A,0.4104
1P69_B,0.7249
1P6A_A,0.4954
1P6A_B,0.7249
1PPF_A,0.5666
1PPF_B,0.7510
1R0R_A,0.5773
1R0R_B,0.7123
1S0W_A,0.6533
1S0W_B,0.4689
1S1Q_A,0.4466
1S1Q_B,0.4810
1SBB_A,0.3142
1SBB_B,0.3331
1SBN_A,0.6325
1SBN_B,0.7286
1SGD_A,0.5999
1SGD_B,0.7963
1SGE_A,0.5867
1SGE_B,0.7963
1SGN_A,0.5954
1SGN_B,0.7948
1SGP_A,0.5714
1SGP_B,0.7600
1SGQ_A,0.5637
1SGQ_B,0.7932
1SGY_A,0.5905
1SGY_B,0.7662
1SIB_A,0.6255
1SIB_B,0.7169
1TM1_A,0.6329
1TM1_B,0.8036
1TM3_A,0.6291
1TM3_B,0.8010
1TM4_A,0.6090
1TM4_B,0.8006
1TM5_A,0.6223
1TM5_B,0.7986
1TM7_A,0.6489
1TM7_B,0.7885
1TMG_A,0.6405
1TMG_B,0.7918
1TO1_A,0.6302
1TO1_B,0.7867
1UUZ_A,0.5010
1UUZ_B,0.5751
1X1X_A,0.5537
1X1X_B,0.8375
1XD3_A,0.6021
1XD3_B,0.5976
1Y1K_A,0.6360
1Y1K_B,0.7905
1Y33_A,0.6445
1Y33_B,0.8087
1Y34_A,0.6302
1Y34_B,0.8026
1Y3B_A,0.6354
1Y3B_B,0.7774
1Z7X_A,0.6155
1Z7X_B,0.6638
2A9K_A,0.7014
2A9K_B,0.4185
2AJF_A,0.3365
2AJF_B,0.3023
2B0Z_A,0.4003
2B0Z_B,0.7966
2B10_A,0.4184
2B10_B,0.6854
2B11_A,0.4456
2B11_B,0.6836
2B12_A,0.4244
2B12_B,0.8182
2B42_A,0.4266
2B42_B,0.5572
2BTF_A,0.4734
2BTF_B,0.6009
2FTL_A,0.6107
2FTL_B,0.8355
2G2U_A,0.6420
2G2U_B,0.4735
2G2W_A,0.6232
2G2W_B,0.4760
2GYK_A,0.4814
2GYK_B,0.3501
2HLE_A,0.5179
2HLE_B,0.6118
2HRK_A,0.8520
2HRK_B,0.7648
2I26_A,0.2100
2I26_B,0.5812
2J0T_A,0.6431
2J0T_B,0.6875
2J1K_A,0.3645
2J1K_B,0.6682
2NU0_A,0.6008
2NU0_B,0.7600
2NU1_A,0.5779
2NU1_B,0.7917
2NU2_A,0.5936
2NU2_B,0.8276
2NU4_A,0.5863
2NU4_B,0.7631
2O3B_A,0.5991
2O3B_B,0.7294
2OOB_A,0.4379
2OOB_B,0.5612
2PCB_A,0.4623
2PCB_B,0.5194
2PCC_A,0.4515
2PCC_B,0.6973
2SGP_A,0.5429
2SGP_B,0.7392
2SGQ_A,0.5783
2SGQ_B,0.7585
2SIC_A,0.6297
2SIC_B,0.5356
2VLN_A,0.4659
2VLN_B,0.3753
2VLO_A,0.5581
2VLO_B,0.3568
2VLQ_A,0.4803
2VLQ_B,0.3798
2WPT_A,0.5363
2WPT_B,0.3880
3BK3_A,0.6244
3BK3_B,0.6162
3BP8_A,0.4384
3BP8_B,0.7908
3BTD_A,0.5657
3BTD_B,0.8364
3BTE_A,0.5696
3BTE_B,0.8250
3BTF_A,0.5718
3BTF_B,0.8435
3BTG_A,0.5337
3BTG_B,0.8361
3BTH_A,0.5917
3BTH_B,0.8375
3BTM_A,0.5717
3BTM_B,0.8478
3BTQ_A,0.5640
3BTQ_B,0.8333
3BTT_A,0.5579
3BTT_B,0.8319
3BTW_A,0.5902
3BTW_B,0.8535
3SGB_A,0.5853
3SGB_B,0.7744
4CPA_A,0.7149
4CPA_B,0.3941
