chain,auroc
1AHW.AB.C_AB,0.5381
1AHW.AB.C_C,0.3394
1AO7.ABC.DE_ABC,0.3654
1AO7.ABC.DE_DE,0.4299
1BD2.ABC.DE_ABC,0.3578
1BD2.ABC.DE_DE,0.5166
1BJ1.HL.VW_HL,0.4998
1BJ1.HL.VW_VW,0.3669
1C4Z.ABC.D_ABC,0.4807
1C4Z.ABC.D_D,0.4987
1CBW.FGH.I_FGH,0.5571
1CBW.FGH.I_I,0.8250
1CHO.EFG.I_EFG,0.5434
1CHO.EFG.I_I,0.7450
1CZ8.HL.VW_HL,0.5161
1CZ8.HL.VW_VW,0.3691
1DQJ.AB.C_AB,0.4750
1DQJ.AB.C_C,0.2042
1DVF.AB.CD_AB,0.4730
1DVF.AB.CD_CD,0.4872
1GCQ.AB.C_AB,0.5575
1GCQ.AB.C_C,0.6491
1JRH.LH.I_I,0.1928
1JRH.LH.I_LH,0.5075
1KIP.AB.C_AB,0.4866
1KIP.AB.C_C,0.3971
1KIQ.AB.C_AB,0.5218
1KIQ.AB.C_C,0.3971
1KIR.AB.C_AB,0.5170
1KIR.AB.C_C,0.4083
1LP9.ABC.EF_ABC,0.3658
1LP9.ABC.EF_EF,0.4922
1MHP.HL.A_A,0.5680
1MHP.HL.A_HL,0.5056
1MI5.ABC.DE_ABC,0.3476
1MI5.ABC.DE_DE,0.5645
1MLC.AB.E_AB,0.5402
1MLC.AB.E_E,0.5359
1N8O.ABC.E_ABC,0.5531
1N8O.ABC.E_E,0.6251
1N8Z.AB.C_AB,0.5637
1N8Z.AB.C_C,0.5704
1NCA.N.LH_LH,0.4823
1NCA.N.LH_N,0.3283
1NMB.N.LH_LH,0.4642
1NMB.N.LH_N,0.3513
1OGA.ABC.DE_ABC,0.3641
1OGA.ABC.DE_DE,0.4735
1QSE.ABC.DE_ABC,0.3671
1QSE.ABC.DE_DE,0.4943
1REW.AB.C_AB,0.4556
1REW.AB.C_C,0.5776
1VFB.AB.C_AB,0.5103
1VFB.AB.C_C,0.3971
1XGP.AB.C_AB,0.4849
1XGP.AB.C_C,0.2258
1XGQ.AB.C_AB,0.4761
1XGQ.AB.C_C,0.2142
1XGR.AB.C_AB,0.4882
1XGR.AB.C_C,0.2258
1XGT.AB.C_AB,0.4838
1XGT.AB.C_C,0.2258
1XGU.AB.C_AB,0.4712
1XGU.AB.C_C,0.2042
1YQV.HL.Y_HL,0.5529
1YQV.HL.Y_Y,0.5233
1YY9.CD.A_A,0.3045
1YY9.CD.A_CD,0.4818
2AK4.ABC.DE_ABC,0.4322
2AK4.ABC.DE_DE,0.5411
2B0U.AB.C_AB,0.4117
2B0U.AB.C_C,0.3682
2B2X.HL.A_A,0.5821
2B2X.HL.A_HL,0.5123
2BDN.HL.A_A,0.3044
2BDN.HL.A_HL,0.5611
2BNQ.ABC.DE_ABC,0.3978
2BNQ.ABC.DE_DE,0.4057
2BNR.ABC.DE_ABC,0.3996
2BNR.ABC.DE_DE,0.4075
2E7L.EQ.AD_AD,0.4956
2E7L.EQ.AD_EQ,0.3342
2J8U.ABC.EF_ABC,0.3431
2J8U.ABC.EF_EF,0.4989
2JCC.ABC.EF_ABC,0.3604
2JCC.ABC.EF_EF,0.4926
2JEL.LH.P_LH,0.5753
2JEL.LH.P_P,0.2783
2NYY.DC.A_A,0.6872
2NYY.DC.A_DC,0.5385
2NZ9.DC.A_A,0.6872
2NZ9.DC.A_DC,0.5376
2OI9.AQ.BC_AQ,0.3273
2OI9.AQ.BC_BC,0.4806
2P5E.ABC.DE_ABC,0.4102
2P5E.ABC.DE_DE,0.4905
2UWE.ABC.EF_ABC,0.3481
2UWE.ABC.EF_EF,0.4887
2VIR.AB.C_AB,0.5231
2VIR.AB.C_C,0.3584
2VIS.AB.C_AB,0.5145
2VIS.AB.C_C,0.3253
2VLR.ABC.DE_ABC,0.3412
2VLR.ABC.DE_DE,0.4865
3AAA.AB.C_AB,0.5879
3AAA.AB.C_C,0.6387
3B4V.AB.C_AB,0.3234
3B4V.AB.C_C,0.3346
3BN9.B.CD_B,0.6068
3BN9.B.CD_CD,0.4748
3C60.CD.AB_AB,0.4553
3C60.CD.AB_CD,0.3094
3D3V.ABC.DE_ABC,0.3578
3D3V.ABC.DE_DE,0.5059
3G6D.LH.A_A,0.5163
3G6D.LH.A_LH,0.5209
3H9S.ABC.DE_ABC,0.3799
3H9S.ABC.DE_DE,0.5101
3HFM.HL.Y_HL,0.4608
3HFM.HL.Y_Y,0.1864
3HH2.AB.C_AB,0.5276
3HH2.AB.C_C,0.4132
3LZF.AB.HL_AB,0.5003
3LZF.AB.HL_HL,0.4332
3N85.A.LH_A,0.4231
3N85.A.LH_LH,0.6014
3NGB.HL.G_G,0.3917
3NGB.HL.G_HL,0.5531
3NPS.A.BC_A,0.6067
3NPS.A.BC_BC,0.5403
3PWP.ABC.DE_ABC,0.3669
3PWP.ABC.DE_DE,0.4959
3QDG.ABC.DE_ABC,0.3855
3QDG.ABC.DE_DE,0.4676
3QDJ.ABC.DE_ABC,0.3810
3QDJ.ABC.DE_DE,0.4789
3QFJ.ABC.DE_ABC,0.3852
3QFJ.ABC.DE_DE,0.4959
3QIB.ABP.CD_ABP,0.3299
3QIB.ABP.CD_CD,0.4487
3SE8.HL.G_G,0.4062
3SE8.HL.G_HL,0.5071
3SE9.HL.G_G,0.4328
3SE9.HL.G_HL,0.5233
3SZK.AB.C_AB,0.4173
3SZK.AB.C_C,0.6660
3VR6.ABCDEF.GH_ABCDEF,0.2967
3VR6.ABCDEF.GH_GH,0.3728
3W2D.A.HL_A,0.5666
3W2D.A.HL_HL,0.5738
4B0M.A.BM_A,0.7071
4B0M.A.BM_BM,0.6138
4E6K.AB.G_AB,0.7525
4E6K.AB.G_G,0.9563
4FTV.ABC.DE_ABC,0.3589
4FTV.ABC.DE_DE,0.4996
4HFK.A.BD_A,0.6674
4HFK.A.BD_BD,0.4639
4HSA.AB.C_AB,0.3656
4HSA.AB.C_C,0.3302
4I77.HL.Z_HL,0.5511
4I77.HL.Z_Z,0.3189
4J2L.A.CD_A,0.7562
4J2L.A.CD_CD,0.3360
4JFD.ABC.DE_ABC,0.3839
4JFD.ABC.DE_DE,0.4731
4JFE.ABC.DE_ABC,0.3849
4JFE.ABC.DE_DE,0.4750
4JFF.ABC.DE_ABC,0.3728
4JFF.ABC.DE_DE,0.4847
4JGH.ABC.D_ABC,0.4100
4JGH.ABC.D_D,0.6972
4JPK.HL.A_A,0.3494
4JPK.HL.A_HL,0.4874
4K71.A.BC_A,0.4312
4K71.A.BC_BC,0.4009
4L3E.ABC.DE_ABC,0.3695
4L3E.ABC.DE_DE,0.5028
4LRX.AB.CD_AB,0.4508
4LRX.AB.CD_CD,0.5103
4MNQ.ABC.DE_ABC,0.3826
4MNQ.ABC.DE_DE,0.4998
4N8V.G.ABC_ABC,0.2750
4N8V.G.ABC_G,0.3966
4NM8.ABCDEF.HL_ABCDEF,0.2957
4NM8.ABCDEF.HL_HL,0.5195
4OZG.ABJ.GH_ABJ,0.3123
4OZG.ABJ.GH_GH,0.5007
4P23.CD.AB_AB,0.4512
4P23.CD.AB_CD,0.2888
4P5T.CD.AB_AB,0.4186
4P5T.CD.AB_CD,0.2975
4PWX.AB.CD_AB,0.4039
4PWX.AB.CD_CD,0.4856
4U6H.AB.E_AB,0.5569
4U6H.AB.E_E,0.5613
4X4M.AB.E_AB,0.4649
4X4M.AB.E_E,0.4164
4ZS6.HL.A_A,0.6397
4ZS6.HL.A_HL,0.5412
5C6T.HL.A_A,0.2877
5C6T.HL.A_HL,0.5745
5E9D.AB.CDE_AB,0.4378
5E9D.AB.CDE_CDE,0.4501
