chain,auroc
1AHW.AB.C_AB,0.6372
1AHW.AB.C_C,0.5504
1AO7.ABC.DE_ABC,0.1990
1AO7.ABC.DE_DE,0.5845
1BD2.ABC.DE_ABC,0.2227
1BD2.ABC.DE_DE,0.6062
1BJ1.HL.VW_HL,0.6079
1BJ1.HL.VW_VW,0.4683
1C4Z.ABC.D_ABC,0.5997
1C4Z.ABC.D_D,0.6249
1CBW.FGH.I_FGH,0.6267
1CBW.FGH.I_I,0.6667
1CHO.EFG.I_EFG,0.6087
1CHO.EFG.I_I,0.8319
1CZ8.HL.VW_HL,0.6111
1CZ8.HL.VW_VW,0.4577
1DQJ.AB.C_AB,0.6546
1DQJ.AB.C_C,0.3932
1DVF.AB.CD_AB,0.7152
1DVF.AB.CD_CD,0.6391
1GCQ.AB.C_AB,0.6028
1GCQ.AB.C_C,0.4528
1JRH.LH.I_I,0.3841
1JRH.LH.I_LH,0.7033
1KIP.AB.C_AB,0.6977
1KIP.AB.C_C,0.5055
1KIQ.AB.C_AB,0.6953
1KIQ.AB.C_C,0.5055
1KIR.AB.C_AB,0.6938
1KIR.AB.C_C,0.4935
1LP9.ABC.EF_ABC,0.1825
1LP9.ABC.EF_EF,0.6727
1MHP.HL.A_A,0.8164
1MHP.HL.A_HL,0.6323
1MI5.ABC.DE_ABC,0.1653
1MI5.ABC.DE_DE,0.5758
1MLC.AB.E_AB,0.6527
1MLC.AB.E_E,0.7097
1N8O.ABC.E_ABC,0.6099
1N8O.ABC.E_E,0.5753
1N8Z.AB.C_AB,0.6479
1N8Z.AB.C_C,0.5668
1NCA.N.LH_LH,0.6604
1NCA.N.LH_N,0.5116
1NMB.N.LH_LH,0.5909
1NMB.N.LH_N,0.5445
1OGA.ABC.DE_ABC,0.1735
1OGA.ABC.DE_DE,0.6553
1QSE.ABC.DE_ABC,0.1984
1QSE.ABC.DE_DE,0.6266
1REW.AB.C_AB,0.4144
1REW.AB.C_C,0.4392
1VFB.AB.C_AB,0.7024
1VFB.AB.C_C,0.5055
1XGP.AB.C_AB,0.6728
1XGP.AB.C_C,0.3868
1XGQ.AB.C_AB,0.6754
1XGQ.AB.C_C,0.3963
1XGR.AB.C_AB,0.6711
1XGR.AB.C_C,0.3868
1XGT.AB.C_AB,0.6598
1XGT.AB.C_C,0.3868
1XGU.AB.C_AB,0.6509
1XGU.AB.C_C,0.3932
1YQV.HL.Y_HL,0.6226
1YQV.HL.Y_Y,0.6950
1YY9.CD.A_A,0.4795
1YY9.CD.A_CD,0.6021
2AK4.ABC.DE_ABC,0.2655
2AK4.ABC.DE_DE,0.5766
2B0U.AB.C_AB,0.4950
2B0U.AB.C_C,0.3973
2B2X.HL.A_A,0.7851
2B2X.HL.A_HL,0.6350
2BDN.HL.A_A,0.3053
2BDN.HL.A_HL,0.6639
2BNQ.ABC.DE_ABC,0.1973
2BNQ.ABC.DE_DE,0.6523
2BNR.ABC.DE_ABC,0.1959
2BNR.ABC.DE_DE,0.6644
2E7L.EQ.AD_AD,0.6770
2E7L.EQ.AD_EQ,0.2699
2J8U.ABC.EF_ABC,0.1658
2J8U.ABC.EF_EF,0.6606
2JCC.ABC.EF_ABC,0.1889
2JCC.ABC.EF_EF,0.6740
2JEL.LH.P_LH,0.5812
2JEL.LH.P_P,0.4646
2NYY.DC.A_A,0.7455
2NYY.DC.A_DC,0.6081
2NZ9.DC.A_A,0.7455
2NZ9.DC.A_DC,0.6044
2OI9.AQ.BC_AQ,0.2817
2OI9.AQ.BC_BC,0.6553
2P5E.ABC.DE_ABC,0.1931
2P5E.ABC.DE_DE,0.7148
2UWE.ABC.EF_ABC,0.1786
2UWE.ABC.EF_EF,0.6732
2VIR.AB.C_AB,0.5454
2VIR.AB.C_C,0.5509
2VIS.AB.C_AB,0.5583
2VIS.AB.C_C,0.5231
2VLR.ABC.DE_ABC,0.1588
2VLR.ABC.DE_DE,0.6446
3AAA.AB.C_AB,0.6735
3AAA.AB.C_C,0.5830
3B4V.AB.C_AB,0.4701
3B4V.AB.C_C,0.3381
3BN9.B.CD_B,0.5820
3BN9.B.CD_CD,0.5275
3C60.CD.AB_AB,0.6923
3C60.CD.AB_CD,0.2696
3D3V.ABC.DE_ABC,0.1654
3D3V.ABC.DE_DE,0.6307
3G6D.LH.A_A,0.3649
3G6D.LH.A_LH,0.6069
3H9S.ABC.DE_ABC,0.1579
3H9S.ABC.DE_DE,0.6155
3HFM.HL.Y_HL,0.6579
3HFM.HL.Y_Y,0.3758
3HH2.AB.C_AB,0.5016
3HH2.AB.C_C,0.4172
3LZF.AB.HL_AB,0.6864
3LZF.AB.HL_HL,0.5823
3N85.A.LH_A,0.4176
3N85.A.LH_LH,0.6533
3NGB.HL.G_G,0.5023
3NGB.HL.G_HL,0.5760
3NPS.A.BC_A,0.5757
3NPS.A.BC_BC,0.5790
3PWP.ABC.DE_ABC,0.1809
3PWP.ABC.DE_DE,0.6301
3QDG.ABC.DE_ABC,0.1937
3QDG.ABC.DE_DE,0.6459
3QDJ.ABC.DE_ABC,0.1944
3QDJ.ABC.DE_DE,0.6412
3QFJ.ABC.DE_ABC,0.1846
3QFJ.ABC.DE_DE,0.6301
3QIB.ABP.CD_ABP,0.1727
3QIB.ABP.CD_CD,0.6314
3SE8.HL.G_G,0.5249
3SE8.HL.G_HL,0.5042
3SE9.HL.G_G,0.4892
3SE9.HL.G_HL,0.5184
3SZK.AB.C_AB,0.3793
3SZK.AB.C_C,0.6687
3VR6.ABCDEF.GH_ABCDEF,0.6055
3VR6.ABCDEF.GH_GH,0.4398
3W2D.A.HL_A,0.3463
3W2D.A.HL_HL,0.6299
4B0M.A.BM_A,0.6527
4B0M.A.BM_BM,0.5368
4E6K.AB.G_AB,0.7277
4E6K.AB.G_G,0.6550
4FTV.ABC.DE_ABC,0.2033
4FTV.ABC.DE_DE,0.6382
4HFK.A.BD_A,0.5686
4HFK.A.BD_BD,0.5231
4HSA.AB.C_AB,0.4497
4HSA.AB.C_C,0.6061
4I77.HL.Z_HL,0.6165
4I77.HL.Z_Z,0.4724
4J2L.A.CD_A,0.4773
4J2L.A.CD_CD,0.4724
4JFD.ABC.DE_ABC,0.1912
4JFD.ABC.DE_DE,0.6900
4JFE.ABC.DE_ABC,0.1984
4JFE.ABC.DE_DE,0.6801
4JFF.ABC.DE_ABC,0.2067
4JFF.ABC.DE_DE,0.6855
4JGH.ABC.D_ABC,0.4790
4JGH.ABC.D_D,0.6489
4JPK.HL.A_A,0.5223
4JPK.HL.A_HL,0.5200
4K71.A.BC_A,0.5700
4K71.A.BC_BC,0.4430
4L3E.ABC.DE_ABC,0.1628
4L3E.ABC.DE_DE,0.6573
4LRX.AB.CD_AB,0.6039
4LRX.AB.CD_CD,0.5741
4MNQ.ABC.DE_ABC,0.1661
4MNQ.ABC.DE_DE,0.6601
4N8V.G.ABC_ABC,0.2340
4N8V.G.ABC_G,0.7049
4NM8.ABCDEF.HL_ABCDEF,0.3814
4NM8.ABCDEF.HL_HL,0.5838
4OZG.ABJ.GH_ABJ,0.2804
4OZG.ABJ.GH_GH,0.6281
4P23.CD.AB_AB,0.7120
4P23.CD.AB_CD,0.2871
4P5T.CD.AB_AB,0.7361
4P5T.CD.AB_CD,0.2656
4PWX.AB.CD_AB,0.5000
4PWX.AB.CD_CD,0.2962
4U6H.AB.E_AB,0.6135
4U6H.AB.E_E,0.5927
4X4M.AB.E_AB,0.6641
4X4M.AB.E_E,0.4979
4ZS6.HL.A_A,0.5620
4ZS6.HL.A_HL,0.6350
5C6T.HL.A_A,0.5338
5C6T.HL.A_HL,0.5856
5E9D.AB.CDE_AB,0.2648
5E9D.AB.CDE_CDE,0.4985
