chain,auroc
1AHW.AB.C_AB,0.8409
1AHW.AB.C_C,0.4470
1AO7.ABC.DE_ABC,0.4692
1AO7.ABC.DE_DE,0.6872
1BD2.ABC.DE_ABC,0.4710
1BD2.ABC.DE_DE,0.7096
1BJ1.HL.VW_HL,0.7891
1BJ1.HL.VW_VW,0.4411
1C4Z.ABC.D_ABC,0.3600
1C4Z.ABC.D_D,0.6594
1CBW.FGH.I_FGH,0.8861
1CBW.FGH.I_I,0.9459
1CHO.EFG.I_EFG,0.8700
1CHO.EFG.I_I,0.8960
1CZ8.HL.VW_HL,0.7779
1CZ8.HL.VW_VW,0.4462
1DQJ.AB.C_AB,0.8693
1DQJ.AB.C_C,0.3313
1DVF.AB.CD_AB,0.7850
1DVF.AB.CD_CD,0.8152
1GCQ.AB.C_AB,0.7041
1GCQ.AB.C_C,0.5083
1JRH.LH.I_I,0.4395
1JRH.LH.I_LH,0.8248
1KIP.AB.C_AB,0.7806
1KIP.AB.C_C,0.2571
1KIQ.AB.C_AB,0.8031
1KIQ.AB.C_C,0.2571
1KIR.AB.C_AB,0.8009
1KIR.AB.C_C,0.2703
1LP9.ABC.EF_ABC,0.5010
1LP9.ABC.EF_EF,0.6087
1MHP.HL.A_A,0.8617
1MHP.HL.A_HL,0.8344
1MI5.ABC.DE_ABC,0.5069
1MI5.ABC.DE_DE,0.6244
1MLC.AB.E_AB,0.9251
1MLC.AB.E_E,0.6067
1N8O.ABC.E_ABC,0.8680
1N8O.ABC.E_E,0.7984
1N8Z.AB.C_AB,0.8852
1N8Z.AB.C_C,0.4407
1NCA.N.LH_LH,0.8236
1NCA.N.LH_N,0.7110
1NMB.N.LH_LH,0.7731
1NMB.N.LH_N,0.6988
1OGA.ABC.DE_ABC,0.4415
1OGA.ABC.DE_DE,0.6030
1QSE.ABC.DE_ABC,0.4697
1QSE.ABC.DE_DE,0.6713
1REW.AB.C_AB,0.3881
1REW.AB.C_C,0.4090
1VFB.AB.C_AB,0.7905
1VFB.AB.C_C,0.2571
1XGP.AB.C_AB,0.8783
1XGP.AB.C_C,0.2958
1XGQ.AB.C_AB,0.8735
1XGQ.AB.C_C,0.2996
1XGR.AB.C_AB,0.8818
1XGR.AB.C_C,0.2958
1XGT.AB.C_AB,0.8675
1XGT.AB.C_C,0.2958
1XGU.AB.C_AB,0.8605
1XGU.AB.C_C,0.3313
1YQV.HL.Y_HL,0.8698
1YQV.HL.Y_Y,0.6251
1YY9.CD.A_A,0.5703
1YY9.CD.A_CD,0.7916
2AK4.ABC.DE_ABC,0.4525
2AK4.ABC.DE_DE,0.6722
2B0U.AB.C_AB,0.4199
2B0U.AB.C_C,0.5828
2B2X.HL.A_A,0.8670
2B2X.HL.A_HL,0.8543
2BDN.HL.A_A,0.2886
2BDN.HL.A_HL,0.8110
2BNQ.ABC.DE_ABC,0.4706
2BNQ.ABC.DE_DE,0.6519
2BNR.ABC.DE_ABC,0.4634
2BNR.ABC.DE_DE,0.6712
2E7L.EQ.AD_AD,0.7029
2E7L.EQ.AD_EQ,0.4017
2J8U.ABC.EF_ABC,0.4841
2J8U.ABC.EF_EF,0.6196
2JCC.ABC.EF_ABC,0.4837
2JCC.ABC.EF_EF,0.6110
2JEL.LH.P_LH,0.8569
2JEL.LH.P_P,0.1903
2NYY.DC.A_A,0.5336
2NYY.DC.A_DC,0.8496
2NZ9.DC.A_A,0.5336
2NZ9.DC.A_DC,0.8362
2OI9.AQ.BC_AQ,0.4310
2OI9.AQ.BC_BC,0.6882
2P5E.ABC.DE_ABC,0.4696
2P5E.ABC.DE_DE,0.6364
2UWE.ABC.EF_ABC,0.4832
2UWE.ABC.EF_EF,0.6100
2VIR.AB.C_AB,0.7954
2VIR.AB.C_C,0.7249
2VIS.AB.C_AB,0.7924
2VIS.AB.C_C,0.7037
2VLR.ABC.DE_ABC,0.4241
2VLR.ABC.DE_DE,0.6050
3AAA.AB.C_AB,0.5278
3AAA.AB.C_C,0.7789
3B4V.AB.C_AB,0.4523
3B4V.AB.C_C,0.5926
3BN9.B.CD_B,0.8287
3BN9.B.CD_CD,0.7831
3C60.CD.AB_AB,0.6916
3C60.CD.AB_CD,0.3975
3D3V.ABC.DE_ABC,0.4561
3D3V.ABC.DE_DE,0.6468
3G6D.LH.A_A,0.5329
3G6D.LH.A_LH,0.7586
3H9S.ABC.DE_ABC,0.4779
3H9S.ABC.DE_DE,0.6608
3HFM.HL.Y_HL,0.8523
3HFM.HL.Y_Y,0.3558
3HH2.AB.C_AB,0.5479
3HH2.AB.C_C,0.5172
3LZF.AB.HL_AB,0.4581
3LZF.AB.HL_HL,0.6886
3N85.A.LH_A,0.3999
3N85.A.LH_LH,0.8120
3NGB.HL.G_G,0.4741
3NGB.HL.G_HL,0.7034
3NPS.A.BC_A,0.8425
3NPS.A.BC_BC,0.8097
3PWP.ABC.DE_ABC,0.4889
3PWP.ABC.DE_DE,0.6550
3QDG.ABC.DE_ABC,0.4591
3QDG.ABC.DE_DE,0.6704
3QDJ.ABC.DE_ABC,0.4700
3QDJ.ABC.DE_DE,0.6746
3QFJ.ABC.DE_ABC,0.4760
3QFJ.ABC.DE_DE,0.6550
3QIB.ABP.CD_ABP,0.4661
3QIB.ABP.CD_CD,0.6655
3SE8.HL.G_G,0.5043
3SE8.HL.G_HL,0.6928
3SE9.HL.G_G,0.5318
3SE9.HL.G_HL,0.5929
3SZK.AB.C_AB,0.0600
3SZK.AB.C_C,0.5917
3VR6.ABCDEF.GH_ABCDEF,0.5065
