chain,auroc
1AHW.AB.C_AB,0.5894
1AHW.AB.C_C,0.3902
1AO7.ABC.DE_ABC,0.2987
1AO7.ABC.DE_DE,0.5030
1BD2.ABC.DE_ABC,0.2716
1BD2.ABC.DE_DE,0.5978
1BJ1.HL.VW_HL,0.6093
1BJ1.HL.VW_VW,0.2939
1C4Z.ABC.D_ABC,0.4590
1C4Z.ABC.D_D,0.5846
1CBW.FGH.I_FGH,0.7010
1CBW.FGH.I_I,0.7967
1CHO.EFG.I_EFG,0.6646
1CHO.EFG.I_I,0.7023
1CZ8.HL.VW_HL,0.5819
1CZ8.HL.VW_VW,0.3062
1DQJ.AB.C_AB,0.5940
1DQJ.AB.C_C,0.2958
1DVF.AB.CD_AB,0.5725
1DVF.AB.CD_CD,0.6167
1GCQ.AB.C_AB,0.6918
1GCQ.AB.C_C,0.5194
1JRH.LH.I_I,0.2600
1JRH.LH.I_LH,0.6343
1KIP.AB.C_AB,0.5933
1KIP.AB.C_C,0.2143
1KIQ.AB.C_AB,0.5832
1KIQ.AB.C_C,0.2143
1KIR.AB.C_AB,0.5957
1KIR.AB.C_C,0.2274
1LP9.ABC.EF_ABC,0.3222
1LP9.ABC.EF_EF,0.5550
1MHP.HL.A_A,0.7526
1MHP.HL.A_HL,0.5715
1MI5.ABC.DE_ABC,0.2784
1MI5.ABC.DE_DE,0.6039
1MLC.AB.E_AB,0.5619
1MLC.AB.E_E,0.8240
1N8O.ABC.E_ABC,0.6833
1N8O.ABC.E_E,0.7659
1N8Z.AB.C_AB,0.6323
1N8Z.AB.C_C,0.6410
1NCA.N.LH_LH,0.6024
1NCA.N.LH_N,0.4930
1NMB.N.LH_LH,0.6277
1NMB.N.LH_N,0.5019
1OGA.ABC.DE_ABC,0.3156
1OGA.ABC.DE_DE,0.6064
1QSE.ABC.DE_ABC,0.3062
1QSE.ABC.DE_DE,0.5108
1REW.AB.C_AB,0.4033
1REW.AB.C_C,0.5798
1VFB.AB.C_AB,0.5911
1VFB.AB.C_C,0.2143
1XGP.AB.C_AB,0.5790
1XGP.AB.C_C,0.2840
1XGQ.AB.C_AB,0.5685
1XGQ.AB.C_C,0.2813
1XGR.AB.C_AB,0.5761
1XGR.AB.C_C,0.2840
1XGT.AB.C_AB,0.5740
1XGT.AB.C_C,0.2840
1XGU.AB.C_AB,0.5785
1XGU.AB.C_C,0.2958
1YQV.HL.Y_HL,0.5474
1YQV.HL.Y_Y,0.8223
1YY9.CD.A_A,0.4076
1YY9.CD.A_CD,0.5956
2AK4.ABC.DE_ABC,0.3780
2AK4.ABC.DE_DE,0.6400
2B0U.AB.C_AB,0.4546
2B0U.AB.C_C,0.4998
2B2X.HL.A_A,0.7839
2B2X.HL.A_HL,0.5325
2BDN.HL.A_A,0.4289
2BDN.HL.A_HL,0.6249
2BNQ.ABC.DE_ABC,0.2911
2BNQ.ABC.DE_DE,0.5878
2BNR.ABC.DE_ABC,0.2999
2BNR.ABC.DE_DE,0.5883
2E7L.EQ.AD_AD,0.6205
2E7L.EQ.AD_EQ,0.2936
2J8U.ABC.EF_ABC,0.2926
2J8U.ABC.EF_EF,0.5610
2JCC.ABC.EF_ABC,0.3090
2JCC.ABC.EF_EF,0.5530
2JEL.LH.P_LH,0.6555
2JEL.LH.P_P,0.3486
2NYY.DC.A_A,0.2748
2NYY.DC.A_DC,0.6566
2NZ9.DC.A_A,0.2748
2NZ9.DC.A_DC,0.6749
2OI9.AQ.BC_AQ,0.2949
2OI9.AQ.BC_BC,0.6149
2P5E.ABC.DE_ABC,0.3145
2P5E.ABC.DE_DE,0.5826
2UWE.ABC.EF_ABC,0.2994
2UWE.ABC.EF_EF,0.5514
2VIR.AB.C_AB,0.6025
2VIR.AB.C_C,0.5407
2VIS.AB.C_AB,0.6111
2VIS.AB.C_C,0.5094
2VLR.ABC.DE_ABC,0.3025
2VLR.ABC.DE_DE,0.5984
3AAA.AB.C_AB,0.7619
3AAA.AB.C_C,0.7410
3B4V.AB.C_AB,0.4644
3B4V.AB.C_C,0.4964
3BN9.B.CD_B,0.7228
3BN9.B.CD_CD,0.5774
3C60.CD.AB_AB,0.6485
3C60.CD.AB_CD,0.3982
3D3V.ABC.DE_ABC,0.3187
3D3V.ABC.DE_DE,0.5242
3G6D.LH.A_A,0.4590
3G6D.LH.A_LH,0.5408
3H9S.ABC.DE_ABC,0.2848
3H9S.ABC.DE_DE,0.5260
3HFM.HL.Y_HL,0.6206
3HFM.HL.Y_Y,0.2742
3HH2.AB.C_AB,0.4872
3HH2.AB.C_C,0.4838
3LZF.AB.HL_AB,0.5668
3LZF.AB.HL_HL,0.4942
3N85.A.LH_A,0.3482
3N85.A.LH_LH,0.5981
3NGB.HL.G_G,0.3068
3NGB.HL.G_HL,0.4621
3NPS.A.BC_A,0.7316
3NPS.A.BC_BC,0.5829
3PWP.ABC.DE_ABC,0.2917
3PWP.ABC.DE_DE,0.5305
3QDG.ABC.DE_ABC,0.3012
3QDG.ABC.DE_DE,0.5650
3QDJ.ABC.DE_ABC,0.2936
3QDJ.ABC.DE_DE,0.5606
3QFJ.ABC.DE_ABC,0.3113
3QFJ.ABC.DE_DE,0.5305
3QIB.ABP.CD_ABP,0.4125
3QIB.ABP.CD_CD,0.5600
3SE8.HL.G_G,0.3185
3SE8.HL.G_HL,0.4521
3SE9.HL.G_G,0.2769
3SE9.HL.G_HL,0.4703
3SZK.AB.C_AB,0.3165
3SZK.AB.C_C,0.6701
3VR6.ABCDEF.GH_ABCDEF,0.4061
3VR6.ABCDEF.GH_GH,0.7437
3W2D.A.HL_A,0.5732
3W2D.A.HL_HL,0.5788
4B0M.A.BM_A,0.6580
4B0M.A.BM_BM,0.7482
4E6K.AB.G_AB,0.5603
4E6K.AB.G_G,0.9350
4FTV.ABC.DE_ABC,0.2847
4FTV.ABC.DE_DE,0.5421
4HFK.A.BD_A,0.7096
4HFK.A.BD_BD,0.4814
4HSA.AB.C_AB,0.5454
4HSA.AB.C_C,0.5644
4I77.HL.Z_HL,0.5745
4I77.HL.Z_Z,0.3825
4J2L.A.CD_A,0.6074
4J2L.A.CD_CD,0.5227
4JFD.ABC.DE_ABC,0.2790
4JFD.ABC.DE_DE,0.5692
4JFE.ABC.DE_ABC,0.2980
4JFE.ABC.DE_DE,0.5757
4JFF.ABC.DE_ABC,0.2811
4JFF.ABC.DE_DE,0.5822
4JGH.ABC.D_ABC,0.4161
4JGH.ABC.D_D,0.5629
4JPK.HL.A_A,0.1122
4JPK.HL.A_HL,0.5615
4K71.A.BC_A,0.5005
4K71.A.BC_BC,0.5041
4L3E.ABC.DE_ABC,0.2976
4L3E.ABC.DE_DE,0.5660
4LRX.AB.CD_AB,0.6100
4LRX.AB.CD_CD,0.5207
4MNQ.ABC.DE_ABC,0.2887
4MNQ.ABC.DE_DE,0.5321
4N8V.G.ABC_ABC,0.2321
4N8V.G.ABC_G,0.6275
4NM8.ABCDEF.HL_ABCDEF,0.5082
4NM8.ABCDEF.HL_HL,0.6520
4OZG.ABJ.GH_ABJ,0.3876
4OZG.ABJ.GH_GH,0.6116
4P23.CD.AB_AB,0.6027
4P23.CD.AB_CD,0.3563
4P5T.CD.AB_AB,0.6086
