chain,auroc
1A22_A,0.4298
1A22_B,0.4606
1A4Y_A,0.5354
1A4Y_B,0.5227
1ACB_A,0.4904
1ACB_B,0.3264
1AK4_A,0.4263
1AK4_B,0.6691
1B2S_A,0.3821
1B2S_B,0.3775
1B2U_A,0.3840
1B2U_B,0.3494
1B3S_A,0.3434
1B3S_B,0.3345
1BRS_A,0.3761
1BRS_B,0.3195
1CSE_A,0.4274
1CSE_B,0.3542
1CSO_A,0.4336
1CSO_B,0.3533
1CT0_A,0.4427
1CT0_B,0.2915
1CT2_A,0.4338
1CT2_B,0.2915
1CT4_A,0.4330
1CT4_B,0.2915
1E96_A,0.4278
1E96_B,0.7007
1EAW_A,0.5030
1EAW_B,0.2712
1EFN_A,0.2844
1EFN_B,0.5779
1EMV_A,0.3836
1EMV_B,0.5627
1F47_A,0.0625
1F47_B,0.5155
1FC2_A,0.3833
1FC2_B,0.5665
1FCC_A,0.5247
1FCC_B,0.4879
1FFW_A,0.2928
1FFW_B,0.3784
1FR2_A,0.3953
1FR2_B,0.5648
1GC1_A,0.4865
1GC1_B,0.4886
1GL0_A,0.4880
1GL0_B,0.2931
1GL1_A,0.4326
1GL1_B,0.2292
1H9D_A,0.4854
1H9D_B,0.5203
1HE8_A,0.4599
1HE8_B,0.3700
1IAR_A,0.4826
1IAR_B,0.4330
1JCK_A,0.4734
1JCK_B,0.4016
1JTG_A,0.4211
1JTG_B,0.4202
1KAC_A,0.4271
1KAC_B,0.4305
1KTZ_A,0.5738
1KTZ_B,0.4818
1LFD_A,0.5886
1LFD_B,0.3741
1M9E_A,0.4160
1M9E_B,0.7541
1MAH_A,0.4506
1MAH_B,0.5221
1P69_A,0.4023
1P69_B,0.4384
1P6A_A,0.4396
1P6A_B,0.4384
1PPF_A,0.4820
1PPF_B,0.4155
1R0R_A,0.4198
1R0R_B,0.3138
1S0W_A,0.4152
1S0W_B,0.4406
1S1Q_A,0.4757
1S1Q_B,0.5456
1SBB_A,0.4655
1SBB_B,0.4238
1SBN_A,0.3923
1SBN_B,0.3638
1SGD_A,0.4194
1SGD_B,0.3225
1SGE_A,0.4385
1SGE_B,0.3225
1SGN_A,0.4290
1SGN_B,0.3225
1SGP_A,0.4526
1SGP_B,0.2915
1SGQ_A,0.4723
1SGQ_B,0.3225
1SGY_A,0.4133
1SGY_B,0.2915
1SIB_A,0.3977
1SIB_B,0.3638
1TM1_A,0.4558
1TM1_B,0.3148
1TM3_A,0.4528
1TM3_B,0.3051
1TM4_A,0.4733
1TM4_B,0.3183
1TM5_A,0.4509
1TM5_B,0.3117
1TM7_A,0.4374
1TM7_B,0.3148
1TMG_A,0.4323
1TMG_B,0.3077
1TO1_A,0.4611
1TO1_B,0.3026
1UUZ_A,0.3996
1UUZ_B,0.5298
1X1X_A,0.3673
1X1X_B,0.3584
1XD3_A,0.4318
1XD3_B,0.5808
1Y1K_A,0.4478
1Y1K_B,0.3148
1Y33_A,0.4286
1Y33_B,0.3082
1Y34_A,0.4611
1Y34_B,0.3148
1Y3B_A,0.4391
1Y3B_B,0.3067
1Z7X_A,0.5337
1Z7X_B,0.6342
2A9K_A,0.4801
2A9K_B,0.6100
2AJF_A,0.4615
2AJF_B,0.4695
2B0Z_A,0.4424
2B0Z_B,0.3725
2B10_A,0.4904
2B10_B,0.3613
2B11_A,0.4659
2B11_B,0.3396
2B12_A,0.3974
2B12_B,0.3599
2B42_A,0.5088
2B42_B,0.3257
2BTF_A,0.4399
2BTF_B,0.4281
2FTL_A,0.4417
2FTL_B,0.3276
2G2U_A,0.4068
2G2U_B,0.4101
2G2W_A,0.4003
2G2W_B,0.4317
2GYK_A,0.4088
2GYK_B,0.5544
2HLE_A,0.5049
2HLE_B,0.4192
2HRK_A,0.5585
2HRK_B,0.6384
2I26_A,0.5928
2I26_B,0.4148
2J0T_A,0.3778
2J0T_B,0.4188
2J1K_A,0.3843
2J1K_B,0.4068
2NU0_A,0.4155
2NU0_B,0.2915
2NU1_A,0.4181
2NU1_B,0.3225
2NU2_A,0.4155
2NU2_B,0.3533
2NU4_A,0.4411
2NU4_B,0.2915
2O3B_A,0.3856
2O3B_B,0.4788
2OOB_A,0.3411
2OOB_B,0.6256
2PCB_A,0.4799
2PCB_B,0.4050
2PCC_A,0.4549
2PCC_B,0.3214
2SGP_A,0.4412
2SGP_B,0.2585
2SGQ_A,0.4386
2SGQ_B,0.2915
2SIC_A,0.4423
2SIC_B,0.6692
2VLN_A,0.3640
2VLN_B,0.5770
2VLO_A,0.4987
2VLO_B,0.5602
2VLQ_A,0.4256
2VLQ_B,0.5804
2WPT_A,0.3512
2WPT_B,0.4753
3BK3_A,0.5027
3BK3_B,0.5526
3BP8_A,0.4534
3BP8_B,0.5678
3BTD_A,0.4767
3BTD_B,0.3620
3BTE_A,0.4619
3BTE_B,0.3507
3BTF_A,0.4545
3BTF_B,0.3613
3BTG_A,0.4702
3BTG_B,0.3507
3BTH_A,0.4456
3BTH_B,0.3535
3BTM_A,0.4657
3BTM_B,0.3627
3BTQ_A,0.4808
3BTQ_B,0.3521
3BTT_A,0.4679
3BTT_B,0.3521
3BTW_A,0.4771
3BTW_B,0.3627
3SGB_A,0.4356
3SGB_B,0.2864
4CPA_A,0.4768
4CPA_B,0.2426
