chain,auroc
1AHW.AB.C_AB,0.9311
1AHW.AB.C_C,0.4075
1AO7.ABC.DE_ABC,0.5758
1AO7.ABC.DE_DE,0.5559
1BD2.ABC.DE_ABC,0.6499
1BD2.ABC.DE_DE,0.6144
1BJ1.HL.VW_HL,0.9027
1BJ1.HL.VW_VW,0.5477
1C4Z.ABC.D_ABC,0.3797
1C4Z.ABC.D_D,0.4174
1CBW.FGH.I_FGH,0.5222
1CBW.FGH.I_I,0.9125
1CHO.EFG.I_EFG,0.5328
1CHO.EFG.I_I,0.8789
1CZ8.HL.VW_HL,0.9096
1CZ8.HL.VW_VW,0.5559
1DQJ.AB.C_AB,0.8877
1DQJ.AB.C_C,0.4727
1DVF.AB.CD_AB,0.9115
1DVF.AB.CD_CD,0.8137
1GCQ.AB.C_AB,0.5918
1GCQ.AB.C_C,0.5454
1JRH.LH.I_I,0.2728
1JRH.LH.I_LH,0.8651
1KIP.AB.C_AB,0.8940
1KIP.AB.C_C,0.3271
1KIQ.AB.C_AB,0.9229
1KIQ.AB.C_C,0.3219
1KIR.AB.C_AB,0.9212
1KIR.AB.C_C,0.3367
1LP9.ABC.EF_ABC,0.5691
1LP9.ABC.EF_EF,0.7653
1MHP.HL.A_A,0.4775
1MHP.HL.A_HL,0.8733
1MI5.ABC.DE_ABC,0.7503
1MI5.ABC.DE_DE,0.4102
1MLC.AB.E_AB,0.9241
1MLC.AB.E_E,0.7079
1N8O.ABC.E_ABC,0.5597
1N8O.ABC.E_E,0.7442
1N8Z.AB.C_AB,0.9544
1N8Z.AB.C_C,0.5931
1NCA.N.LH_LH,0.8472
1NCA.N.LH_N,0.4427
1NMB.N.LH_LH,0.8412
1NMB.N.LH_N,0.4570
1OGA.ABC.DE_ABC,0.6618
1OGA.ABC.DE_DE,0.5409
1QSE.ABC.DE_ABC,0.5765
1QSE.ABC.DE_DE,0.4921
1REW.AB.C_AB,0.4151
1REW.AB.C_C,0.5927
1VFB.AB.C_AB,0.9014
1VFB.AB.C_C,0.3103
1XGP.AB.C_AB,0.8262
1XGP.AB.C_C,0.4317
1XGQ.AB.C_AB,0.8324
1XGQ.AB.C_C,0.4479
1XGR.AB.C_AB,0.8297
1XGR.AB.C_C,0.4287
1XGT.AB.C_AB,0.8048
1XGT.AB.C_C,0.4354
1XGU.AB.C_AB,0.8981
1XGU.AB.C_C,0.4621
1YQV.HL.Y_HL,0.7830
1YQV.HL.Y_Y,0.7103
1YY9.CD.A_A,0.7093
1YY9.CD.A_CD,0.8976
2AK4.ABC.DE_ABC,0.6351
2AK4.ABC.DE_DE,0.6817
2B0U.AB.C_AB,0.4580
2B0U.AB.C_C,0.5229
2B2X.HL.A_A,0.4397
2B2X.HL.A_HL,0.8955
2BDN.HL.A_A,0.1456
2BDN.HL.A_HL,0.8962
2BNQ.ABC.DE_ABC,0.6052
2BNQ.ABC.DE_DE,0.4282
2BNR.ABC.DE_ABC,0.5977
2BNR.ABC.DE_DE,0.4649
2E7L.EQ.AD_AD,0.8151
2E7L.EQ.AD_EQ,0.4854
2J8U.ABC.EF_ABC,0.5802
2J8U.ABC.EF_EF,0.7472
2JCC.ABC.EF_ABC,0.5533
2JCC.ABC.EF_EF,0.7196
2JEL.LH.P_LH,0.8356
2JEL.LH.P_P,0.1360
2NYY.DC.A_A,0.5927
2NYY.DC.A_DC,0.8553
2NZ9.DC.A_A,0.5687
2NZ9.DC.A_DC,0.8257
2OI9.AQ.BC_AQ,0.5012
2OI9.AQ.BC_BC,0.8138
2P5E.ABC.DE_ABC,0.5570
2P5E.ABC.DE_DE,0.8734
