chain,auroc
1A22_A,0.6144
1A22_B,0.8665
1A4Y_A,0.9522
1A4Y_B,0.7350
1ACB_A,0.9060
1ACB_B,0.9158
1AK4_A,0.7970
1AK4_B,0.7384
1B2S_A,0.8404
1B2S_B,0.8760
1B2U_A,0.8520
1B2U_B,0.8507
1B3S_A,0.8450
1B3S_B,0.8629
1BRS_A,0.8495
1BRS_B,0.8769
1CSE_A,0.8437
1CSE_B,0.9455
1CSO_A,0.8875
1CSO_B,0.9472
1CT0_A,0.8847
1CT0_B,0.9231
1CT2_A,0.8889
1CT2_B,0.9246
1CT4_A,0.8798
1CT4_B,0.9246
1E96_A,0.5868
1E96_B,0.7937
1EAW_A,0.9234
1EAW_B,0.7679
1EFN_A,0.9450
1EFN_B,0.4078
1EMV_A,0.9404
1EMV_B,0.6765
1F47_A,0.8750
1F47_B,0.8667
1FC2_A,0.2452
1FC2_B,0.6345
1FCC_A,0.4970
1FCC_B,0.3684
1FFW_A,0.4423
1FFW_B,0.8046
1FR2_A,0.9564
1FR2_B,0.6823
1GC1_A,0.5528
1GC1_B,0.5197
1GL0_A,0.8992
1GL0_B,0.8161
1GL1_A,0.8984
1GL1_B,0.8393
1H9D_A,0.4728
1H9D_B,0.6487
1HE8_A,0.3398
1HE8_B,0.7806
1IAR_A,0.7017
1IAR_B,0.9506
1JCK_A,0.5928
1JCK_B,0.5760
1JTG_A,0.8048
1JTG_B,0.8012
1KAC_A,0.5386
1KAC_B,0.8891
1KTZ_A,0.4722
1KTZ_B,0.8075
1LFD_A,0.4963
1LFD_B,0.7540
1M9E_A,0.7600
1M9E_B,0.6992
1MAH_A,0.8529
1MAH_B,0.7489
1P69_A,0.5943
1P69_B,0.8923
1P6A_A,0.5285
1P6A_B,0.8923
1PPF_A,0.9082
1PPF_B,0.8723
1R0R_A,0.8388
1R0R_B,0.9123
1S0W_A,0.8065
1S0W_B,0.8106
1S1Q_A,0.6226
1S1Q_B,0.4373
1SBB_A,0.5535
1SBB_B,0.4901
1SBN_A,0.9034
1SBN_B,0.9423
1SGD_A,0.8803
1SGD_B,0.9537
1SGE_A,0.8790
1SGE_B,0.9537
1SGN_A,0.8749
1SGN_B,0.9537
1SGP_A,0.8825
1SGP_B,0.9262
1SGQ_A,0.8925
1SGQ_B,0.9537
1SGY_A,0.8903
1SGY_B,0.9231
1SIB_A,0.9046
1SIB_B,0.9444
1TM1_A,0.8743
1TM1_B,0.8745
1TM3_A,0.8805
1TM3_B,0.8810
1TM4_A,0.8829
1TM4_B,0.8704
1TM5_A,0.8751
1TM5_B,0.8674
1TM7_A,0.8808
1TM7_B,0.8725
1TMG_A,0.8858
1TMG_B,0.8892
1TO1_A,0.8764
1TO1_B,0.8708
1UUZ_A,0.8745
1UUZ_B,0.6091
1X1X_A,0.8374
1X1X_B,0.8705
1XD3_A,0.8226
1XD3_B,0.7514
1Y1K_A,0.8767
1Y1K_B,0.8735
1Y33_A,0.8804
1Y33_B,0.8715
1Y34_A,0.8764
1Y34_B,0.8735
1Y3B_A,0.8872
1Y3B_B,0.8769
1Z7X_A,0.9256
1Z7X_B,0.7091
2A9K_A,0.6797
2A9K_B,0.4357
2AJF_A,0.3638
2AJF_B,0.8601
2B0Z_A,0.5011
2B0Z_B,0.8249
2B10_A,0.6496
2B10_B,0.8421
2B11_A,0.6970
2B11_B,0.8072
2B12_A,0.5513
2B12_B,0.8193
2B42_A,0.6340
2B42_B,0.8645
2BTF_A,0.5246
2BTF_B,0.7900
2FTL_A,0.8596
2FTL_B,0.8882
2G2U_A,0.8311
2G2U_B,0.7967
2G2W_A,0.8222
2G2W_B,0.7892
2GYK_A,0.9429
2GYK_B,0.6812
2HLE_A,0.4694
2HLE_B,0.8239
2HRK_A,0.8658
2HRK_B,0.8849
2I26_A,0.9593
2I26_B,0.7976
2J0T_A,0.8172
2J0T_B,0.9402
2J1K_A,0.6818
2J1K_B,0.8965
2NU0_A,0.8964
2NU0_B,0.9215
2NU1_A,0.8921
2NU1_B,0.9120
2NU2_A,0.9035
2NU2_B,0.9472
2NU4_A,0.8890
2NU4_B,0.9262
2O3B_A,0.8796
2O3B_B,0.9320
2OOB_A,0.0989
2OOB_B,0.6190
2PCB_A,0.7702
2PCB_B,0.6824
2PCC_A,0.6665
2PCC_B,0.8196
2SGP_A,0.8935
2SGP_B,0.9120
2SGQ_A,0.8849
2SGQ_B,0.9231
2SIC_A,0.8763
2SIC_B,0.8228
2VLN_A,0.9468
2VLN_B,0.6673
2VLO_A,0.9035
2VLO_B,0.6987
2VLQ_A,0.9339
2VLQ_B,0.7013
2WPT_A,0.9452
2WPT_B,0.5622
3BK3_A,0.5731
3BK3_B,0.5581
3BP8_A,0.1806
3BP8_B,0.7165
3BTD_A,0.8716
3BTD_B,0.8876
3BTE_A,0.8766
3BTE_B,0.8944
3BTF_A,0.8683
3BTF_B,0.8990
3BTG_A,0.8689
3BTG_B,0.8972
3BTH_A,0.8606
3BTH_B,0.8958
3BTM_A,0.8761
3BTM_B,0.8919
3BTQ_A,0.8490
3BTQ_B,0.8944
3BTT_A,0.8701
3BTT_B,0.8944
3BTW_A,0.8499
3BTW_B,0.8947
3SGB_A,0.8783
3SGB_B,0.9264
4CPA_A,0.9307
4CPA_B,0.8265
