chain,auroc
1A22_A,0.4615
1A22_B,0.8030
1A4Y_A,0.8010
1A4Y_B,0.6279
1ACB_A,0.8364
1ACB_B,0.8254
1AK4_A,0.8424
1AK4_B,0.9278
1B2S_A,0.7071
1B2S_B,0.8128
1B2U_A,0.7039
1B2U_B,0.8190
1B3S_A,0.7161
1B3S_B,0.8223
1BRS_A,0.7146
1BRS_B,0.8346
1CSE_A,0.9391
1CSE_B,0.9327
1CSO_A,0.9093
1CSO_B,0.8665
1CT0_A,0.9127
1CT0_B,0.8246
1CT2_A,0.8965
1CT2_B,0.8262
1CT4_A,0.9086
1CT4_B,0.8246
1E96_A,0.6706
1E96_B,0.8333
1EAW_A,0.8665
1EAW_B,0.7103
1EFN_A,0.8762
1EFN_B,0.4046
1EMV_A,0.8123
1EMV_B,0.9040
1F47_A,0.6875
1F47_B,0.8066
1FC2_A,0.6071
1FC2_B,0.4513
1FCC_A,0.3047
1FCC_B,0.4765
1FFW_A,0.5075
1FFW_B,0.2865
1FR2_A,0.8174
1FR2_B,0.9066
1GC1_A,0.5696
1GC1_B,0.7974
1GL0_A,0.8507
1GL0_B,0.5632
1GL1_A,0.8481
1GL1_B,0.7798
1H9D_A,0.4706
1H9D_B,0.6484
1HE8_A,0.6504
1HE8_B,0.8995
1IAR_A,0.3444
1IAR_B,0.8559
1JCK_A,0.7806
1JCK_B,0.6033
1JTG_A,0.9471
1JTG_B,0.7975
1KAC_A,0.7295
1KAC_B,0.8731
1KTZ_A,0.2734
1KTZ_B,0.6570
1LFD_A,0.7531
1LFD_B,0.8731
1M9E_A,0.8347
1M9E_B,0.9533
1MAH_A,0.8987
1MAH_B,0.6724
1P69_A,0.7232
1P69_B,0.8765
1P6A_A,0.7110
1P6A_B,0.8765
1PPF_A,0.8386
1PPF_B,0.7561
1R0R_A,0.9402
1R0R_B,0.8646
1S0W_A,0.9463
1S0W_B,0.7919
1S1Q_A,0.6992
1S1Q_B,0.5635
1SBB_A,0.7631
1SBB_B,0.5796
1SBN_A,0.9395
1SBN_B,0.9338
1SGD_A,0.9136
1SGD_B,0.8657
1SGE_A,0.9076
1SGE_B,0.8657
1SGN_A,0.9037
1SGN_B,0.8657
1SGP_A,0.9055
1SGP_B,0.8231
1SGQ_A,0.9015
1SGQ_B,0.8642
1SGY_A,0.9112
1SGY_B,0.8262
1SIB_A,0.9338
1SIB_B,0.9338
1TM1_A,0.9285
1TM1_B,0.8401
1TM3_A,0.9278
1TM3_B,0.8605
1TM4_A,0.9258
1TM4_B,0.8279
1TM5_A,0.9228
1TM5_B,0.8279
1TM7_A,0.9311
1TM7_B,0.8381
1TMG_A,0.9346
1TMG_B,0.8728
1TO1_A,0.9260
1TO1_B,0.8431
1UUZ_A,0.8683
1UUZ_B,0.6475
1X1X_A,0.6985
1X1X_B,0.7843
1XD3_A,0.8599
1XD3_B,0.8575
1Y1K_A,0.9250
1Y1K_B,0.8360
1Y33_A,0.9332
1Y33_B,0.8340
1Y34_A,0.9260
1Y34_B,0.8421
1Y3B_A,0.9311
1Y3B_B,0.8441
1Z7X_A,0.7576
1Z7X_B,0.4961
2A9K_A,0.7149
2A9K_B,0.3984
2AJF_A,0.4099
2AJF_B,0.7157
2B0Z_A,0.5977
2B0Z_B,0.8700
2B10_A,0.6795
2B10_B,0.7394
2B11_A,0.7112
2B11_B,0.7107
2B12_A,0.6607
2B12_B,0.8670
2B42_A,0.4395
2B42_B,0.9122
2BTF_A,0.3752
2BTF_B,0.7955
2FTL_A,0.8326
2FTL_B,0.8763
2G2U_A,0.9552
2G2U_B,0.7982
2G2W_A,0.9418
2G2W_B,0.7928
2GYK_A,0.8100
2GYK_B,0.9038
2HLE_A,0.7207
2HLE_B,0.7874
2HRK_A,0.4143
2HRK_B,0.4046
2I26_A,0.9735
2I26_B,0.7831
2J0T_A,0.8010
2J0T_B,0.9592
2J1K_A,0.8388
2J1K_B,0.8390
2NU0_A,0.9184
2NU0_B,0.8262
2NU1_A,0.9097
2NU1_B,0.8241
2NU2_A,0.9242
2NU2_B,0.8649
2NU4_A,0.9125
2NU4_B,0.8231
2O3B_A,0.9457
2O3B_B,0.7279
2OOB_A,0.8947
2OOB_B,0.7376
2PCB_A,0.7580
2PCB_B,0.5027
2PCC_A,0.6799
2PCC_B,0.7330
2SGP_A,0.9132
2SGP_B,0.8056
2SGQ_A,0.9129
2SGQ_B,0.8246
2SIC_A,0.9216
2SIC_B,0.8007
2VLN_A,0.8143
2VLN_B,0.9092
2VLO_A,0.7707
2VLO_B,0.9107
2VLQ_A,0.8125
2VLQ_B,0.9061
2WPT_A,0.8744
2WPT_B,0.9399
3BK3_A,0.1605
3BK3_B,0.5853
3BP8_A,0.1757
3BP8_B,0.9264
3BTD_A,0.8363
3BTD_B,0.8691
3BTE_A,0.8478
3BTE_B,0.8875
3BTF_A,0.8307
3BTF_B,0.8748
3BTG_A,0.8699
3BTG_B,0.8931
3BTH_A,0.8373
3BTH_B,0.8875
3BTM_A,0.8483
3BTM_B,0.8706
3BTQ_A,0.8261
3BTQ_B,0.8875
3BTT_A,0.8431
3BTT_B,0.8903
3BTW_A,0.8305
3BTW_B,0.8720
3SGB_A,0.9072
3SGB_B,0.8288
4CPA_A,0.9118
4CPA_B,0.5324
