chain,auroc
1A22_A,0.5585
1A22_B,0.6525
1A4Y_A,0.7282
1A4Y_B,0.5881
1ACB_A,0.6241
1ACB_B,0.6175
1AK4_A,0.5330
1AK4_B,0.7035
1B2S_A,0.6194
1B2S_B,0.7515
1B2U_A,0.6330
1B2U_B,0.7285
1B3S_A,0.6043
1B3S_B,0.7616
1BRS_A,0.6146
1BRS_B,0.7478
1CSE_A,0.6503
1CSE_B,0.6250
1CSO_A,0.6731
1CSO_B,0.6040
1CT0_A,0.6953
1CT0_B,0.6169
1CT2_A,0.6819
1CT2_B,0.6200
1CT4_A,0.6876
1CT4_B,0.6185
1E96_A,0.5436
1E96_B,0.6307
1EAW_A,0.6660
1EAW_B,0.5346
1EFN_A,0.6688
1EFN_B,0.5766
1EMV_A,0.5550
1EMV_B,0.5748
1F47_A,1.0000
1F47_B,0.5519
1FC2_A,0.5310
1FC2_B,0.4772
1FCC_A,0.5704
1FCC_B,0.5846
1FFW_A,0.5713
1FFW_B,0.5650
1FR2_A,0.5587
1FR2_B,0.5696
1GC1_A,0.5156
1GC1_B,0.6503
1GL0_A,0.6490
1GL0_B,0.5977
1GL1_A,0.6517
1GL1_B,0.4405
1H9D_A,0.4560
1H9D_B,0.4786
1HE8_A,0.5442
1HE8_B,0.3421
1IAR_A,0.5478
1IAR_B,0.5765
1JCK_A,0.5437
1JCK_B,0.5167
1JTG_A,0.6804
1JTG_B,0.5360
1KAC_A,0.5744
1KAC_B,0.6222
1KTZ_A,0.5304
1KTZ_B,0.6465
1LFD_A,0.7198
1LFD_B,0.3615
1M9E_A,0.5562
1M9E_B,0.6972
1MAH_A,0.6676
1MAH_B,0.5636
1P69_A,0.5166
1P69_B,0.6055
1P6A_A,0.5550
1P6A_B,0.6055
1PPF_A,0.6471
1PPF_B,0.7032
1R0R_A,0.6552
1R0R_B,0.6846
1S0W_A,0.6679
1S0W_B,0.5467
1S1Q_A,0.5838
1S1Q_B,0.3540
1SBB_A,0.4787
1SBB_B,0.4815
1SBN_A,0.6956
1SBN_B,0.6261
1SGD_A,0.6919
1SGD_B,0.6127
1SGE_A,0.7061
1SGE_B,0.6142
1SGN_A,0.6983
1SGN_B,0.6080
1SGP_A,0.6929
1SGP_B,0.6185
1SGQ_A,0.6932
1SGQ_B,0.6111
1SGY_A,0.6958
1SGY_B,0.6138
1SIB_A,0.7029
1SIB_B,0.6207
1TM1_A,0.6600
1TM1_B,0.5840
1TM3_A,0.6526
1TM3_B,0.5662
1TM4_A,0.6655
1TM4_B,0.5789
1TM5_A,0.6532
1TM5_B,0.5810
1TM7_A,0.6660
1TM7_B,0.5739
1TMG_A,0.6633
1TMG_B,0.5538
1TO1_A,0.6546
1TO1_B,0.6133
1UUZ_A,0.7279
1UUZ_B,0.4623
1X1X_A,0.6268
1X1X_B,0.7410
1XD3_A,0.5306
1XD3_B,0.3533
1Y1K_A,0.6601
1Y1K_B,0.5617
1Y33_A,0.6755
1Y33_B,0.5617
1Y34_A,0.6546
1Y34_B,0.5891
1Y3B_A,0.6714
1Y3B_B,0.6297
1Z7X_A,0.7041
1Z7X_B,0.5057
2A9K_A,0.4577
2A9K_B,0.5948
2AJF_A,0.4215
2AJF_B,0.4538
2B0Z_A,0.5124
2B0Z_B,0.5491
2B10_A,0.4930
2B10_B,0.6267
2B11_A,0.5582
2B11_B,0.6069
2B12_A,0.5293
2B12_B,0.4977
2B42_A,0.6097
2B42_B,0.4828
2BTF_A,0.4739
2BTF_B,0.5690
2FTL_A,0.6021
2FTL_B,0.6461
2G2U_A,0.6883
2G2U_B,0.5504
2G2W_A,0.6678
2G2W_B,0.5683
2GYK_A,0.5618
2GYK_B,0.5474
2HLE_A,0.6304
2HLE_B,0.6315
2HRK_A,0.6028
2HRK_B,0.6877
2I26_A,0.5161
2I26_B,0.5614
2J0T_A,0.5722
2J0T_B,0.7065
2J1K_A,0.4608
2J1K_B,0.5829
2NU0_A,0.6752
2NU0_B,0.6154
2NU1_A,0.6804
2NU1_B,0.6080
2NU2_A,0.6825
2NU2_B,0.6025
2NU4_A,0.6807
2NU4_B,0.6169
2O3B_A,0.7358
2O3B_B,0.7200
2OOB_A,0.6905
2OOB_B,0.3894
2PCB_A,0.6062
2PCB_B,0.5257
2PCC_A,0.5214
2PCC_B,0.6299
2SGP_A,0.6753
2SGP_B,0.6481
2SGQ_A,0.6959
2SGQ_B,0.6169
2SIC_A,0.6662
2SIC_B,0.5979
2VLN_A,0.5222
2VLN_B,0.5985
2VLO_A,0.6335
2VLO_B,0.5829
2VLQ_A,0.5664
2VLQ_B,0.5821
2WPT_A,0.5667
2WPT_B,0.5480
3BK3_A,0.3853
3BK3_B,0.5853
3BP8_A,0.5253
3BP8_B,0.6645
3BTD_A,0.5727
3BTD_B,0.6188
3BTE_A,0.5826
3BTE_B,0.6125
3BTF_A,0.5896
3BTF_B,0.6344
3BTG_A,0.5781
3BTG_B,0.6083
3BTH_A,0.5860
3BTH_B,0.6181
3BTM_A,0.5804
3BTM_B,0.6344
3BTQ_A,0.5724
3BTQ_B,0.6139
3BTT_A,0.5761
3BTT_B,0.6139
3BTW_A,0.5866
3BTW_B,0.6344
3SGB_A,0.6878
3SGB_B,0.5984
4CPA_A,0.5856
4CPA_B,0.8235
