chain,auroc
1AHW.AB.C_AB,0.6841
1AHW.AB.C_C,0.5798
1AO7.ABC.DE_ABC,0.4721
1AO7.ABC.DE_DE,0.5221
1BD2.ABC.DE_ABC,0.4629
1BD2.ABC.DE_DE,0.5962
1BJ1.HL.VW_HL,0.7157
1BJ1.HL.VW_VW,0.3701
1C4Z.ABC.D_ABC,0.5145
1C4Z.ABC.D_D,0.4548
1CBW.FGH.I_FGH,0.7049
1CBW.FGH.I_I,0.7864
1CHO.EFG.I_EFG,0.7138
1CHO.EFG.I_I,0.8319
1CZ8.HL.VW_HL,0.7099
1CZ8.HL.VW_VW,0.3735
1DQJ.AB.C_AB,0.6970
1DQJ.AB.C_C,0.2688
1DVF.AB.CD_AB,0.8087
1DVF.AB.CD_CD,0.7618
1GCQ.AB.C_AB,0.6248
1GCQ.AB.C_C,0.5870
1JRH.LH.I_I,0.2185
1JRH.LH.I_LH,0.7645
1KIP.AB.C_AB,0.8295
1KIP.AB.C_C,0.3563
1KIQ.AB.C_AB,0.8381
1KIQ.AB.C_C,0.3563
1KIR.AB.C_AB,0.8334
1KIR.AB.C_C,0.3704
1LP9.ABC.EF_ABC,0.4781
1LP9.ABC.EF_EF,0.6320
1MHP.HL.A_A,0.7733
1MHP.HL.A_HL,0.7128
1MI5.ABC.DE_ABC,0.4224
1MI5.ABC.DE_DE,0.6111
1MLC.AB.E_AB,0.6979
1MLC.AB.E_E,0.6532
1N8O.ABC.E_ABC,0.7519
1N8O.ABC.E_E,0.8408
1N8Z.AB.C_AB,0.7550
1N8Z.AB.C_C,0.7336
1NCA.N.LH_LH,0.6716
1NCA.N.LH_N,0.3962
1NMB.N.LH_LH,0.7670
1NMB.N.LH_N,0.4344
1OGA.ABC.DE_ABC,0.4896
1OGA.ABC.DE_DE,0.6663
1QSE.ABC.DE_ABC,0.4696
1QSE.ABC.DE_DE,0.5948
1REW.AB.C_AB,0.4317
1REW.AB.C_C,0.6403
1VFB.AB.C_AB,0.8400
1VFB.AB.C_C,0.3563
1XGP.AB.C_AB,0.7010
1XGP.AB.C_C,0.2736
1XGQ.AB.C_AB,0.6974
1XGQ.AB.C_C,0.2652
1XGR.AB.C_AB,0.6973
1XGR.AB.C_C,0.2736
1XGT.AB.C_AB,0.6918
1XGT.AB.C_C,0.2736
1XGU.AB.C_AB,0.6911
1XGU.AB.C_C,0.2688
1YQV.HL.Y_HL,0.6481
1YQV.HL.Y_Y,0.6269
1YY9.CD.A_A,0.4150
1YY9.CD.A_CD,0.6661
2AK4.ABC.DE_ABC,0.5120
2AK4.ABC.DE_DE,0.6589
2B0U.AB.C_AB,0.3655
2B0U.AB.C_C,0.3728
2B2X.HL.A_A,0.8396
2B2X.HL.A_HL,0.6762
2BDN.HL.A_A,0.4904
2BDN.HL.A_HL,0.6167
2BNQ.ABC.DE_ABC,0.4646
2BNQ.ABC.DE_DE,0.6500
2BNR.ABC.DE_ABC,0.4733
2BNR.ABC.DE_DE,0.6649
2E7L.EQ.AD_AD,0.7556
2E7L.EQ.AD_EQ,0.5078
2J8U.ABC.EF_ABC,0.4764
2J8U.ABC.EF_EF,0.6392
2JCC.ABC.EF_ABC,0.4751
2JCC.ABC.EF_EF,0.6303
2JEL.LH.P_LH,0.6842
2JEL.LH.P_P,0.2457
2NYY.DC.A_A,0.7812
2NYY.DC.A_DC,0.7343
2NZ9.DC.A_A,0.7812
2NZ9.DC.A_DC,0.7536
2OI9.AQ.BC_AQ,0.4885
2OI9.AQ.BC_BC,0.7207
2P5E.ABC.DE_ABC,0.4647
2P5E.ABC.DE_DE,0.7206
2UWE.ABC.EF_ABC,0.4454
2UWE.ABC.EF_EF,0.6291
2VIR.AB.C_AB,0.6878
2VIR.AB.C_C,0.5622
2VIS.AB.C_AB,0.6844
2VIS.AB.C_C,0.5652
2VLR.ABC.DE_ABC,0.4742
2VLR.ABC.DE_DE,0.6812
3AAA.AB.C_AB,0.6348
3AAA.AB.C_C,0.7826
3B4V.AB.C_AB,0.2995
3B4V.AB.C_C,0.3488
3BN9.B.CD_B,0.7417
3BN9.B.CD_CD,0.7282
3C60.CD.AB_AB,0.6560
3C60.CD.AB_CD,0.3173
3D3V.ABC.DE_ABC,0.4469
3D3V.ABC.DE_DE,0.6081
3G6D.LH.A_A,0.2357
3G6D.LH.A_LH,0.7189
3H9S.ABC.DE_ABC,0.4877
3H9S.ABC.DE_DE,0.5930
3HFM.HL.Y_HL,0.6685
3HFM.HL.Y_Y,0.2537
3HH2.AB.C_AB,0.3750
3HH2.AB.C_C,0.3971
3LZF.AB.HL_AB,0.3859
3LZF.AB.HL_HL,0.6606
3N85.A.LH_A,0.5000
3N85.A.LH_LH,0.7725
3NGB.HL.G_G,0.4160
3NGB.HL.G_HL,0.5306
3NPS.A.BC_A,0.7519
3NPS.A.BC_BC,0.6462
3PWP.ABC.DE_ABC,0.4797
3PWP.ABC.DE_DE,0.5991
3QDG.ABC.DE_ABC,0.4475
3QDG.ABC.DE_DE,0.5953
3QDJ.ABC.DE_ABC,0.4466
3QDJ.ABC.DE_DE,0.6077
3QFJ.ABC.DE_ABC,0.4828
3QFJ.ABC.DE_DE,0.5991
3QIB.ABP.CD_ABP,0.4637
3QIB.ABP.CD_CD,0.5531
3SE8.HL.G_G,0.4417
3SE8.HL.G_HL,0.5755
3SE9.HL.G_G,0.4329
3SE9.HL.G_HL,0.5601
3SZK.AB.C_AB,0.2755
3SZK.AB.C_C,0.8086
3VR6.ABCDEF.GH_ABCDEF,0.5058
3VR6.ABCDEF.GH_GH,0.5955
3W2D.A.HL_A,0.4738
3W2D.A.HL_HL,0.6165
4B0M.A.BM_A,0.6625
4B0M.A.BM_BM,0.7633
4E6K.AB.G_AB,0.5949
4E6K.AB.G_G,0.8625
4FTV.ABC.DE_ABC,0.4601
4FTV.ABC.DE_DE,0.5878
4HFK.A.BD_A,0.6598
4HFK.A.BD_BD,0.3730
4HSA.AB.C_AB,0.4110
4HSA.AB.C_C,0.3909
4I77.HL.Z_HL,0.7426
4I77.HL.Z_Z,0.5206
4J2L.A.CD_A,0.4949
4J2L.A.CD_CD,0.5503
4JFD.ABC.DE_ABC,0.4582
4JFD.ABC.DE_DE,0.6330
4JFE.ABC.DE_ABC,0.4521
4JFE.ABC.DE_DE,0.6455
4JFF.ABC.DE_ABC,0.4420
4JFF.ABC.DE_DE,0.6526
4JGH.ABC.D_ABC,0.4385
4JGH.ABC.D_D,0.6937
4JPK.HL.A_A,0.3934
4JPK.HL.A_HL,0.5389
4K71.A.BC_A,0.5210
4K71.A.BC_BC,0.4118
4L3E.ABC.DE_ABC,0.4607
4L3E.ABC.DE_DE,0.6496
4LRX.AB.CD_AB,0.7089
4LRX.AB.CD_CD,0.4882
4MNQ.ABC.DE_ABC,0.4486
4MNQ.ABC.DE_DE,0.6632
4N8V.G.ABC_ABC,0.3526
4N8V.G.ABC_G,0.5186
4NM8.ABCDEF.HL_ABCDEF,0.4423
4NM8.ABCDEF.HL_HL,0.6722
4OZG.ABJ.GH_ABJ,0.4588
4OZG.ABJ.GH_GH,0.6032
4P23.CD.AB_AB,0.6309
4P23.CD.AB_CD,0.2862
4P5T.CD.AB_AB,0.6108
4P5T.CD.AB_CD,0.3372
4PWX.AB.CD_AB,0.3726
4PWX.AB.CD_CD,0.2647
4U6H.AB.E_AB,0.6746
4U6H.AB.E_E,0.5248
4X4M.AB.E_AB,0.3953
4X4M.AB.E_E,0.5918
4ZS6.HL.A_A,0.7223
4ZS6.HL.A_HL,0.7179
5C6T.HL.A_A,0.3129
5C6T.HL.A_HL,0.7287
5E9D.AB.CDE_AB,0.3933
5E9D.AB.CDE_CDE,0.3743
