chain,auroc
1AHW.AB.C_AB,0.3396
1AHW.AB.C_C,0.4877
1AO7.ABC.DE_ABC,0.3480
1AO7.ABC.DE_DE,0.2831
1BD2.ABC.DE_ABC,0.3213
1BD2.ABC.DE_DE,0.2214
1BJ1.HL.VW_HL,0.2264
1BJ1.HL.VW_VW,0.4409
1C4Z.ABC.D_ABC,0.5710
1C4Z.ABC.D_D,0.5096
1CBW.FGH.I_FGH,0.6069
1CBW.FGH.I_I,0.7928
1CHO.EFG.I_EFG,0.6126
1CHO.EFG.I_I,0.6866
1CZ8.HL.VW_HL,0.2015
1CZ8.HL.VW_VW,0.4233
1DQJ.AB.C_AB,0.3649
1DQJ.AB.C_C,0.4581
1DVF.AB.CD_AB,0.3753
1DVF.AB.CD_CD,0.2953
1GCQ.AB.C_AB,0.5557
1GCQ.AB.C_C,0.3509
1JRH.LH.I_I,0.4431
1JRH.LH.I_LH,0.5513
1KIP.AB.C_AB,0.3653
1KIP.AB.C_C,0.4083
1KIQ.AB.C_AB,0.3408
1KIQ.AB.C_C,0.4083
1KIR.AB.C_AB,0.3523
1KIR.AB.C_C,0.4125
1LP9.ABC.EF_ABC,0.3607
1LP9.ABC.EF_EF,0.2401
1MHP.HL.A_A,0.5705
1MHP.HL.A_HL,0.1899
1MI5.ABC.DE_ABC,0.4669
1MI5.ABC.DE_DE,0.2320
1MLC.AB.E_AB,0.3007
1MLC.AB.E_E,0.4702
1N8O.ABC.E_ABC,0.6078
1N8O.ABC.E_E,0.5559
1N8Z.AB.C_AB,0.1571
1N8Z.AB.C_C,0.2947
1NCA.N.LH_LH,0.2824
1NCA.N.LH_N,0.3812
1NMB.N.LH_LH,0.3279
1NMB.N.LH_N,0.4006
1OGA.ABC.DE_ABC,0.3207
1OGA.ABC.DE_DE,0.1952
1QSE.ABC.DE_ABC,0.3487
1QSE.ABC.DE_DE,0.1820
1REW.AB.C_AB,0.5304
1REW.AB.C_C,0.7160
1VFB.AB.C_AB,0.3507
1VFB.AB.C_C,0.4083
1XGP.AB.C_AB,0.3413
1XGP.AB.C_C,0.4829
1XGQ.AB.C_AB,0.3424
1XGQ.AB.C_C,0.4723
1XGR.AB.C_AB,0.3388
1XGR.AB.C_C,0.4829
1XGT.AB.C_AB,0.3466
1XGT.AB.C_C,0.4829
1XGU.AB.C_AB,0.3588
1XGU.AB.C_C,0.4581
1YQV.HL.Y_HL,0.2519
1YQV.HL.Y_Y,0.4746
1YY9.CD.A_A,0.4686
1YY9.CD.A_CD,0.2899
