chain,auroc
1A22_A,0.6171
1A22_B,0.7117
1A4Y_A,0.8393
1A4Y_B,0.6507
1ACB_A,0.8338
1ACB_B,0.7869
1AK4_A,0.7547
1AK4_B,0.9060
1B2S_A,0.8386
1B2S_B,0.7434
1B2U_A,0.8344
1B2U_B,0.7471
1B3S_A,0.8357
1B3S_B,0.7429
1BRS_A,0.8480
1BRS_B,0.7621
1CSE_A,0.8206
1CSE_B,0.8803
1CSO_A,0.8132
1CSO_B,0.8447
1CT0_A,0.8286
1CT0_B,0.8462
1CT2_A,0.8017
1CT2_B,0.8431
1CT4_A,0.8337
1CT4_B,0.8462
1E96_A,0.7953
1E96_B,0.7389
1EAW_A,0.7943
1EAW_B,0.7192
1EFN_A,0.9325
1EFN_B,0.4037
1EMV_A,0.8076
1EMV_B,0.7872
1F47_A,0.6250
1F47_B,0.8637
1FC2_A,0.1857
1FC2_B,0.6331
1FCC_A,0.5268
1FCC_B,0.5363
1FFW_A,0.5520
1FFW_B,0.7171
1FR2_A,0.8198
1FR2_B,0.7754
1GC1_A,0.6838
1GC1_B,0.6999
1GL0_A,0.7930
1GL0_B,0.8621
1GL1_A,0.8239
1GL1_B,0.9226
1H9D_A,0.4472
1H9D_B,0.5728
1HE8_A,0.4823
1HE8_B,0.8292
1IAR_A,0.5994
1IAR_B,0.8396
1JCK_A,0.5771
1JCK_B,0.7502
1JTG_A,0.7987
1JTG_B,0.7844
1KAC_A,0.5303
1KAC_B,0.7973
1KTZ_A,0.5469
1KTZ_B,0.7689
1LFD_A,0.5420
1LFD_B,0.7882
1M9E_A,0.7406
1M9E_B,0.9031
1MAH_A,0.7662
1MAH_B,0.4429
1P69_A,0.5159
1P69_B,0.7907
1P6A_A,0.5398
1P6A_B,0.8191
1PPF_A,0.8398
1PPF_B,0.8348
1R0R_A,0.8146
1R0R_B,0.8769
1S0W_A,0.7797
1S0W_B,0.7952
1S1Q_A,0.6612
1S1Q_B,0.5246
1SBB_A,0.5363
1SBB_B,0.7533
1SBN_A,0.8631
1SBN_B,0.8632
1SGD_A,0.8393
1SGD_B,0.8395
1SGE_A,0.8175
1SGE_B,0.8441
1SGN_A,0.8256
1SGN_B,0.8380
1SGP_A,0.8102
1SGP_B,0.8477
1SGQ_A,0.8054
1SGQ_B,0.8380
1SGY_A,0.8253
1SGY_B,0.8462
1SIB_A,0.8532
1SIB_B,0.8665
1TM1_A,0.8547
1TM1_B,0.8077
1TM3_A,0.8367
1TM3_B,0.8082
1TM4_A,0.8391
1TM4_B,0.8077
1TM5_A,0.8412
1TM5_B,0.7976
1TM7_A,0.8369
1TM7_B,0.8148
1TMG_A,0.8436
1TMG_B,0.8000
1TO1_A,0.8419
1TO1_B,0.8164
1UUZ_A,0.8759
1UUZ_B,0.6008
1X1X_A,0.8395
1X1X_B,0.7559
1XD3_A,0.8350
1XD3_B,0.7215
1Y1K_A,0.8504
1Y1K_B,0.7834
1Y33_A,0.8487
1Y33_B,0.7915
1Y34_A,0.8455
1Y34_B,0.8148
1Y3B_A,0.8554
1Y3B_B,0.8174
1Z7X_A,0.8277
1Z7X_B,0.6724
2A9K_A,0.7020
2A9K_B,0.5383
2AJF_A,0.4272
2AJF_B,0.7559
2B0Z_A,0.4914
2B0Z_B,0.8056
2B10_A,0.6422
2B10_B,0.6837
2B11_A,0.6711
2B11_B,0.6856
2B12_A,0.5352
2B12_B,0.8017
2B42_A,0.5988
2B42_B,0.8429
2BTF_A,0.4289
2BTF_B,0.7260
2FTL_A,0.8722
2FTL_B,0.8395
2G2U_A,0.8226
2G2U_B,0.8005
2G2W_A,0.8140
2G2W_B,0.8084
2GYK_A,0.8077
2GYK_B,0.7582
2HLE_A,0.6342
2HLE_B,0.7315
2HRK_A,0.7356
2HRK_B,0.8364
2I26_A,0.9276
2I26_B,0.7981
2J0T_A,0.8837
2J0T_B,0.8940
2J1K_A,0.6081
2J1K_B,0.7617
2NU0_A,0.8465
2NU0_B,0.8477
2NU1_A,0.8004
2NU1_B,0.8519
2NU2_A,0.8219
2NU2_B,0.8494
2NU4_A,0.8285
2NU4_B,0.8462
2O3B_A,0.8357
2O3B_B,0.8929
2OOB_A,0.3411
2OOB_B,0.7068
2PCB_A,0.7136
2PCB_B,0.5072
2PCC_A,0.6473
2PCC_B,0.7152
2SGP_A,0.8269
2SGP_B,0.8210
2SGQ_A,0.8257
2SGQ_B,0.8415
2SIC_A,0.8673
2SIC_B,0.8845
2VLN_A,0.7911
2VLN_B,0.7863
2VLO_A,0.7778
2VLO_B,0.7707
2VLQ_A,0.8131
2VLQ_B,0.7871
2WPT_A,0.7935
2WPT_B,0.7788
3BK3_A,0.3521
3BK3_B,0.6252
3BP8_A,0.2814
3BP8_B,0.7006
3BTD_A,0.8708
3BTD_B,0.8151
3BTE_A,0.8792
3BTE_B,0.8403
3BTF_A,0.8654
3BTF_B,0.8165
3BTG_A,0.8783
3BTG_B,0.8347
3BTH_A,0.8655
3BTH_B,0.8403
3BTM_A,0.8798
3BTM_B,0.8222
3BTQ_A,0.8627
3BTQ_B,0.8458
3BTT_A,0.8726
3BTT_B,0.8319
3BTW_A,0.8538
3BTW_B,0.8279
3SGB_A,0.8232
3SGB_B,0.8320
4CPA_A,0.8862
4CPA_B,0.7265
