chain,auroc
1A22_A,0.6086
1A22_B,0.4876
1A4Y_A,0.6436
1A4Y_B,0.7024
1ACB_A,0.4945
1ACB_B,0.8773
1AK4_A,0.4249
1AK4_B,0.8779
1B2S_A,0.5861
1B2S_B,0.6483
1B2U_A,0.5888
1B2U_B,0.6129
1B3S_A,0.5775
1B3S_B,0.6732
1BRS_A,0.5994
1BRS_B,0.6923
1CSE_A,0.6121
1CSE_B,0.8750
1CSO_A,0.5335
1CSO_B,0.8540
1CT0_A,0.5338
1CT0_B,0.8215
1CT2_A,0.5263
1CT2_B,0.8215
1CT4_A,0.5219
1CT4_B,0.8246
1E96_A,0.7296
1E96_B,0.7202
1EAW_A,0.5455
1EAW_B,0.6397
1EFN_A,0.6562
1EFN_B,0.5922
1EMV_A,0.7158
1EMV_B,0.8772
1F47_A,0.8750
1F47_B,0.6589
1FC2_A,0.4071
1FC2_B,0.5350
1FCC_A,0.3926
1FCC_B,0.5832
1FFW_A,0.3515
1FFW_B,0.5597
1FR2_A,0.7227
1FR2_B,0.8818
1GC1_A,0.5461
1GC1_B,0.4555
1GL0_A,0.5433
1GL0_B,0.2759
1GL1_A,0.5080
1GL1_B,0.5952
1H9D_A,0.3434
1H9D_B,0.6659
1HE8_A,0.4418
1HE8_B,0.7730
1IAR_A,0.5098
1IAR_B,0.4448
1JCK_A,0.6311
1JCK_B,0.5935
1JTG_A,0.6849
1JTG_B,0.7259
1KAC_A,0.6065
1KAC_B,0.5444
1KTZ_A,0.4358
1KTZ_B,0.5662
1LFD_A,0.6827
1LFD_B,0.7472
1M9E_A,0.4479
1M9E_B,0.8930
1MAH_A,0.7621
1MAH_B,0.5744
1P69_A,0.6021
1P69_B,0.5507
1P6A_A,0.6057
1P6A_B,0.5507
1PPF_A,0.4782
1PPF_B,0.7574
1R0R_A,0.5970
1R0R_B,0.8354
1S0W_A,0.6728
1S0W_B,0.7141
1S1Q_A,0.6043
1S1Q_B,0.6063
1SBB_A,0.6081
1SBB_B,0.5870
1SBN_A,0.6280
1SBN_B,0.8835
1SGD_A,0.5459
1SGD_B,0.8349
1SGE_A,0.5581
1SGE_B,0.8333
1SGN_A,0.5467
1SGN_B,0.8395
1SGP_A,0.5207
1SGP_B,0.8215
1SGQ_A,0.5188
1SGQ_B,0.8410
1SGY_A,0.5404
1SGY_B,0.8277
1SIB_A,0.6250
1SIB_B,0.8825
1TM1_A,0.5948
1TM1_B,0.8522
1TM3_A,0.5895
1TM3_B,0.8718
1TM4_A,0.6069
1TM4_B,0.8664
1TM5_A,0.5835
1TM5_B,0.8573
1TM7_A,0.5899
1TM7_B,0.8532
1TMG_A,0.5958
1TMG_B,0.8626
1TO1_A,0.5870
1TO1_B,0.8646
1UUZ_A,0.6472
1UUZ_B,0.7206
1X1X_A,0.5958
1X1X_B,0.6868
1XD3_A,0.6619
1XD3_B,0.6125
1Y1K_A,0.5863
1Y1K_B,0.8603
1Y33_A,0.5996
1Y33_B,0.8593
1Y34_A,0.5870
1Y34_B,0.8553
1Y3B_A,0.5952
1Y3B_B,0.8574
1Z7X_A,0.6045
1Z7X_B,0.4685
2A9K_A,0.6280
2A9K_B,0.3272
2AJF_A,0.7153
2AJF_B,0.4548
2B0Z_A,0.2665
2B0Z_B,0.7604
2B10_A,0.4931
2B10_B,0.8157
2B11_A,0.5006
2B11_B,0.7687
2B12_A,0.2869
2B12_B,0.7744
2B42_A,0.3539
2B42_B,0.5237
2BTF_A,0.4223
2BTF_B,0.5032
2FTL_A,0.4271
2FTL_B,0.8145
2G2U_A,0.6942
2G2U_B,0.7361
2G2W_A,0.6933
2G2W_B,0.7382
2GYK_A,0.7145
2GYK_B,0.8794
2HLE_A,0.6714
2HLE_B,0.6435
2HRK_A,0.4046
2HRK_B,0.6139
2I26_A,0.6675
2I26_B,0.4246
2J0T_A,0.4169
2J0T_B,0.8346
2J1K_A,0.5830
2J1K_B,0.5253
2NU0_A,0.5465
2NU0_B,0.8292
2NU1_A,0.5636
2NU1_B,0.8272
2NU2_A,0.5576
2NU2_B,0.8432
2NU4_A,0.5548
2NU4_B,0.8185
2O3B_A,0.6834
2O3B_B,0.6951
2OOB_A,0.3179
2OOB_B,0.6760
2PCB_A,0.5685
2PCB_B,0.7041
2PCC_A,0.4735
2PCC_B,0.8308
2SGP_A,0.5424
2SGP_B,0.7870
2SGQ_A,0.5474
2SGQ_B,0.8169
2SIC_A,0.5880
2SIC_B,0.8379
2VLN_A,0.6973
2VLN_B,0.8821
2VLO_A,0.6561
2VLO_B,0.8913
2VLQ_A,0.6689
2VLQ_B,0.8729
2WPT_A,0.6917
2WPT_B,0.8048
3BK3_A,0.5441
3BK3_B,0.5526
3BP8_A,0.5765
3BP8_B,0.6602
3BTD_A,0.4157
3BTD_B,0.8108
3BTE_A,0.4325
3BTE_B,0.8278
3BTF_A,0.4201
3BTF_B,0.8137
3BTG_A,0.4624
3BTG_B,0.8278
3BTH_A,0.4222
3BTH_B,0.8250
3BTM_A,0.4365
3BTM_B,0.8080
3BTQ_A,0.4492
3BTQ_B,0.8222
3BTT_A,0.4335
3BTT_B,0.8250
3BTW_A,0.4208
3BTW_B,0.8094
3SGB_A,0.5367
3SGB_B,0.8480
4CPA_A,0.6388
4CPA_B,0.5059
